Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.003100	0.006666	0.005286	0.001262	0.002807	0.013362	0.011058	0.089706	0.046180	0.029925	0.010617	0.017989	0.007968	0.745367	-78560.378
20	0.003280	0.005277	0.005593	0.001335	0.014243	0.037634	0.001396	0.094900	0.068536	0.031658	0.011232	0.007113	0.004999	0.614607	-78730.107
30	0.003775	0.008968	0.002800	0.002358	0.001964	0.008733	0.003977	0.081796	0.045784	0.029474	0.010457	0.012448	0.009818	0.867675	-78760.382
40	0.003644	0.007198	0.003066	0.002934	0.001930	0.001824	0.003620	0.078960	0.037496	0.026280	0.010095	0.021093	0.007750	0.766532	-78873.721
50	0.002463	0.006733	0.001902	0.002556	0.005898	0.002513	0.003154	0.079243	0.032671	0.022899	0.008796	0.011665	0.005033	0.909845	-78259.873
60	0.004291	0.004978	0.002354	0.003396	0.003824	0.004460	0.009575	0.085296	0.038482	0.022937	0.009869	0.014437	0.005696	0.886318	-78493.184
70	0.003125	0.004539	0.002585	0.003990	0.004467	0.004671	0.004571	0.079356	0.030313	0.019048	0.008526	0.012782	0.006889	0.608643	-78659.049
80	0.003075	0.009763	0.002106	0.001857	0.001945	0.003716	0.002744	0.078091	0.029829	0.018744	0.011926	0.014472	0.004269	0.877274	-78587.394
90	0.002409	0.012399	0.001975	0.003317	0.004915	0.002120	0.004197	0.094692	0.030460	0.022908	0.008171	0.011819	0.007935	0.805105	-78748.758
100	0.004755	0.011053	0.001719	0.002681	0.001616	0.005967	0.001585	0.074308	0.026509	0.019937	0.007431	0.005264	0.003291	0.984539	-78820.813
110	0.004394	0.013194	0.001899	0.003397	0.002612	0.009209	0.004412	0.100958	0.033589	0.025750	0.009415	0.006670	0.004070	0.514943	-78412.764
120	0.004146	0.006092	0.002106	0.002286	0.002676	0.004467	0.004796	0.103341	0.039329	0.031645	0.010952	0.006633	0.005294	0.726054	-78519.938
130	0.004116	0.004836	0.003654	0.004523	0.002237	0.004518	0.008261	0.095735	0.045064	0.032570	0.008773	0.007600	0.003577	0.541782	-78544.904
140	0.004141	0.008761	0.006546	0.006899	0.004363	0.005631	0.001762	0.111406	0.049830	0.026817	0.008011	0.006099	0.003039	0.698733	-78549.341
150	0.004236	0.007798	0.002830	0.003316	0.001972	0.004428	0.002894	0.079461	0.035542	0.027527	0.006239	0.006286	0.004142	0.698733	-78721.497
160	0.002620	0.008549	0.004093	0.001719	0.005728	0.001373	0.005065	0.077317	0.036828	0.029154	0.008930	0.007884	0.007113	0.747834	-78588.129
