Gen	theta_6PmunDintDgolDcelDlud	theta_7DintDgolDcelDlud	theta_8DgolDcelDlud	theta_9DcelDlud	tau_6PmunDintDgolDcelDlud	tau_7DintDgolDcelDlud	tau_8DgolDcelDlud	tau_9DcelDlud	lnL
10	0.004691	0.004450	0.005491	0.014768	0.063316	0.051391	0.008737	0.000264	-95536.178
20	0.002519	0.003755	0.001309	0.006120	0.052313	0.033409	0.008528	0.000210	-94637.571
30	0.003573	0.003381	0.003954	0.006225	0.080750	0.063100	0.008403	0.000354	-95935.436
40	0.003369	0.002456	0.005422	0.001827	0.077269	0.059325	0.003859	0.000511	-93243.801
50	0.009553	0.004496	0.005284	0.004481	0.117610	0.088894	0.006369	0.000843	-95669.659
60	0.009725	0.003482	0.007450	0.008313	0.116972	0.076798	0.005579	0.000739	-92562.071
70	0.003584	0.002261	0.003027	0.002353	0.053125	0.021145	0.002531	0.000306	-92201.206
80	0.002537	0.002996	0.003885	0.001905	0.074078	0.023261	0.003249	0.000392	-93839.455
90	0.005056	0.003204	0.002514	0.002572	0.077477	0.021942	0.005439	0.000530	-93742.921
100	0.004125	0.002481	0.004197	0.001601	0.045653	0.017104	0.004365	0.000408	-94984.263
110	0.005920	0.005053	0.002243	0.001320	0.069701	0.035662	0.008139	0.001584	-94174.353
120	0.010570	0.007576	0.005320	0.001533	0.119739	0.059740	0.013629	0.005583	-94370.621
130	0.003852	0.002271	0.002117	0.002861	0.069172	0.031381	0.010186	0.001073	-92228.620
140	0.009042	0.002159	0.002647	0.003515	0.074553	0.044932	0.019929	0.001091	-94026.772
150	0.007592	0.001385	0.001420	0.002775	0.048568	0.030611	0.014613	0.000984	-94530.891
160	0.011167	0.001687	0.001797	0.002534	0.058078	0.034244	0.016812	0.001970	-92118.155
170	0.011729	0.001966	0.002595	0.006276	0.077738	0.050390	0.015467	0.002095	-94312.359
180	0.010830	0.001400	0.003406	0.002278	0.082459	0.064447	0.013320	0.007089	-93746.076
190	0.017552	0.001849	0.004753	0.001880	0.107305	0.079241	0.012456	0.004374	-92946.112
200	0.018269	0.001654	0.002679	0.005881	0.112107	0.093478	0.024652	0.001546	-89376.654
210	0.017035	0.001520	0.001513	0.003977	0.071088	0.052700	0.018740	0.001098	-93701.762
220	0.017231	0.002771	0.002096	0.005192	0.095925	0.057444	0.023130	0.001433	-93870.182
230	0.011154	0.002166	0.002193	0.003994	0.074377	0.046988	0.013377	0.001102	-95662.891
240	0.009580	0.003196	0.001657	0.006479	0.105889	0.064223	0.035184	0.001586	-93956.594
250	0.003676	0.002385	0.002366	0.003367	0.073554	0.047902	0.022291	0.000651	-93504.519
260	0.003391	0.003312	0.005300	0.001149	0.079882	0.040548	0.010700	0.002022	-95043.866
270	0.004523	0.003038	0.002753	0.001239	0.075930	0.040099	0.020104	0.001874	-92767.560
280	0.005936	0.003133	0.004018	0.001619	0.084310	0.031809	0.015527	0.001793	-95125.564
290	0.005894	0.005791	0.006744	0.001774	0.082910	0.028508	0.020179	0.001637	-91699.210
300	0.004727	0.003945	0.005411	0.001143	0.046929	0.017276	0.011557	0.000995	-90413.949
310	0.005193	0.004043	0.004804	0.001445	0.045689	0.015145	0.010863	0.000706	-94235.210
320	0.003092	0.005512	0.008965	0.002950	0.067073	0.019867	0.018006	0.000926	-93933.131
330	0.004218	0.004726	0.003459	0.002205	0.047479	0.014851	0.014103	0.000692	-90571.509
340	0.002641	0.002903	0.003537	0.002435	0.045124	0.010254	0.008241	0.000455	-90339.736
350	0.002696	0.002563	0.003664	0.002517	0.047092	0.011294	0.007731	0.000471	-94885.600
360	0.006356	0.002112	0.009080	0.008910	0.065877	0.020502	0.011878	0.000723	-90948.550
370	0.002756	0.001485	0.006381	0.009773	0.038729	0.012693	0.004737	0.000450	-94633.498
380	0.005330	0.001366	0.012136	0.006208	0.070711	0.027577	0.014188	0.000916	-91325.692
390	0.004507	0.001901	0.017976	0.005175	0.071144	0.023573	0.011573	0.000916	-91597.347
400	0.002190	0.001554	0.008113	0.002495	0.065148	0.014050	0.010226	0.000722	-93698.527
410	0.002812	0.001516	0.014739	0.002599	0.057753	0.013767	0.009194	0.000752	-93628.801
420	0.004004	0.002155	0.012661	0.004287	0.051768	0.010877	0.009219	0.000353	-92108.315
430	0.002392	0.002296	0.001985	0.003986	0.028626	0.007100	0.006497	0.000231	-97556.432
440	0.002405	0.004231	0.003913	0.004955	0.046301	0.011987	0.010664	0.000393	-96600.396
450	0.001879	0.002389	0.007596	0.002257	0.035658	0.009289	0.005566	0.000327	-94755.092
460	0.002573	0.006609	0.004868	0.007535	0.062509	0.014232	0.011980	0.000515	-94745.079
470	0.001756	0.005679	0.001506	0.004737	0.034584	0.009391	0.008671	0.000307	-94857.068
480	0.003017	0.006719	0.002775	0.002446	0.032290	0.010664	0.008827	0.000348	-92114.780
490	0.002483	0.006482	0.003405	0.002446	0.030825	0.011349	0.008827	0.000348	-94561.074
500	0.004228	0.003163	0.006287	0.004842	0.029696	0.011809	0.007903	0.000385	-95330.781
510	0.003943	0.001841	0.004218	0.001989	0.016604	0.006319	0.003061	0.000210	-95717.820
