Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.110745	0.034466	0.029593	0.001989	0.005445	0.014906	0.008497	0.039835	0.019735	0.007143	0.003091	0.002060	0.002010	0.488537	-75419.902
20	0.108738	0.032099	0.036014	0.002052	0.008676	0.009894	0.005823	0.041095	0.021758	0.007369	0.003189	0.002125	0.001335	0.485543	-75438.348
30	0.119159	0.040640	0.043232	0.002109	0.003723	0.004201	0.001212	0.042252	0.020570	0.008498	0.003279	0.003405	0.000334	0.480398	-75446.588
40	0.108199	0.038223	0.017227	0.006152	0.004340	0.006994	0.004846	0.042252	0.016689	0.010925	0.002698	0.001779	0.000664	0.448685	-75421.704
50	0.116703	0.030818	0.015644	0.005020	0.005042	0.004246	0.002232	0.037404	0.015156	0.009921	0.001392	0.000938	0.000464	0.630515	-75401.555
60	0.136617	0.050309	0.009290	0.004356	0.005356	0.003014	0.002466	0.039241	0.017251	0.010802	0.002129	0.001021	0.000179	0.688585	-75427.194
70	0.136733	0.027838	0.017639	0.002754	0.002820	0.001888	0.002340	0.034897	0.016369	0.009105	0.002474	0.002601	0.000257	0.504019	-75418.801
80	0.149834	0.027150	0.014607	0.002686	0.007641	0.007379	0.001590	0.034034	0.015964	0.007690	0.002413	0.002908	0.000251	0.487710	-75438.746
90	0.118474	0.032227	0.015944	0.002119	0.008028	0.004815	0.009361	0.037149	0.018219	0.008394	0.002317	0.002074	0.001967	0.639617	-75481.204
100	0.125802	0.056419	0.020022	0.002223	0.003878	0.002187	0.006092	0.038965	0.015464	0.007755	0.002431	0.002176	0.001275	0.336882	-75410.793
110	0.147052	0.040127	0.025999	0.001774	0.003968	0.003151	0.003350	0.043453	0.019339	0.008537	0.004140	0.003399	0.002854	0.372848	-75450.318
120	0.125355	0.042726	0.019325	0.001437	0.004592	0.004818	0.003168	0.043521	0.019123	0.010133	0.004451	0.003183	0.002788	0.400133	-75420.239
130	0.098753	0.038823	0.013357	0.001321	0.003777	0.002937	0.002615	0.039003	0.017590	0.012709	0.004094	0.002928	0.002762	0.361553	-75404.222
140	0.111807	0.023961	0.012929	0.001220	0.002836	0.002257	0.016909	0.034128	0.017498	0.011361	0.003779	0.002620	0.002077	0.490702	-75423.333
150	0.118164	0.046142	0.016808	0.001084	0.004496	0.002516	0.003417	0.037420	0.020004	0.010459	0.004292	0.002298	0.002053	0.382478	-75421.909
160	0.120372	0.033844	0.023138	0.001927	0.004595	0.003775	0.004851	0.035606	0.020318	0.009952	0.002556	0.001581	0.001577	0.527738	-75443.538
170	0.146005	0.029574	0.011470	0.001968	0.009218	0.003778	0.004817	0.034532	0.017258	0.010686	0.002511	0.001534	0.000524	0.537250	-75417.091
180	0.123947	0.029834	0.028305	0.001227	0.002883	0.003520	0.009154	0.034532	0.017258	0.008384	0.003410	0.002959	0.001069	0.678080	-75447.112
190	0.128780	0.020508	0.036120	0.001078	0.003034	0.005050	0.002395	0.035085	0.022369	0.010566	0.003755	0.002960	0.002718	0.649270	-75430.938
200	0.143754	0.017236	0.027664	0.001126	0.004649	0.009971	0.002500	0.035204	0.022942	0.008976	0.003919	0.003090	0.001500	0.698520	-75439.506
210	0.184408	0.012472	0.028056	0.001096	0.006080	0.008313	0.001620	0.033084	0.025259	0.010222	0.003619	0.002439	0.000566	0.602658	-75413.319
220	0.173308	0.008095	0.039445	0.001233	0.005227	0.002011	0.002687	0.032085	0.024495	0.009090	0.003268	0.002512	0.002347	0.503317	-75429.193
230	0.207945	0.008900	0.027796	0.001243	0.004487	0.004845	0.002710	0.032356	0.023418	0.009167	0.003296	0.002533	0.001389	0.607345	-75422.432
240	0.187644	0.005966	0.046566	0.000794	0.007910	0.008681	0.002610	0.031161	0.026004	0.009064	0.003834	0.002661	0.000732	0.715272	-75445.098
250	0.167843	0.004976	0.032149	0.000838	0.007223	0.005165	0.001688	0.032896	0.027452	0.009859	0.004047	0.001933	0.000711	0.551217	-75421.107
260	0.129033	0.008380	0.026296	0.000788	0.005440	0.002532	0.012583	0.030909	0.026725	0.012278	0.003803	0.001816	0.001628	0.411917	-75419.150
270	0.187678	0.004704	0.023839	0.000800	0.005619	0.002752	0.002775	0.031410	0.027158	0.010824	0.003864	0.001809	0.001499	0.512235	-75424.120
280	0.198707	0.009074	0.026195	0.000839	0.003787	0.003519	0.003382	0.032932	0.026662	0.009019	0.004052	0.001509	0.000988	0.629435	-75456.237
290	0.160206	0.013410	0.037553	0.001348	0.006040	0.003974	0.002082	0.034754	0.026849	0.010574	0.003091	0.002675	0.001301	0.470942	-75422.166
300	0.146993	0.026620	0.012919	0.001161	0.004022	0.006045	0.005705	0.035989	0.023976	0.013285	0.003612	0.003628	0.000917	0.751709	-75431.502
310	0.171466	0.030056	0.022608	0.002296	0.002952	0.007843	0.003957	0.037858	0.017875	0.010165	0.002561	0.004522	0.000260	0.553667	-75426.006
320	0.159967	0.026480	0.014964	0.001728	0.002527	0.001708	0.003124	0.036330	0.014690	0.009474	0.002336	0.003621	0.002018	0.660599	-75464.588
330	0.112585	0.050705	0.015835	0.001828	0.004548	0.011745	0.004547	0.038445	0.015545	0.010025	0.002472	0.003633	0.000402	0.415383	-75404.314
340	0.123033	0.022664	0.054092	0.001727	0.006895	0.002064	0.011987	0.036309	0.018041	0.007558	0.002335	0.002280	0.000888	0.471917	-75391.419
350	0.138247	0.033680	0.019425	0.002304	0.003673	0.002297	0.003570	0.034746	0.017264	0.009589	0.002352	0.002571	0.000731	0.696806	-75390.748
360	0.145639	0.046370	0.014178	0.004200	0.003236	0.004594	0.021580	0.045908	0.018095	0.011951	0.002325	0.002990	0.000225	0.540882	-75395.822
370	0.118129	0.041374	0.008869	0.004864	0.003016	0.003928	0.004497	0.037659	0.015466	0.010858	0.001987	0.002383	0.000196	0.383605	-75440.415
380	0.152862	0.052582	0.015617	0.012433	0.001946	0.002060	0.006691	0.040249	0.014845	0.008720	0.001735	0.002645	0.000218	0.723128	-75429.037
390	0.135110	0.052960	0.023622	0.006649	0.002711	0.002129	0.008248	0.041594	0.014468	0.009012	0.002363	0.002086	0.000225	0.571059	-75430.641
400	0.128282	0.020775	0.023400	0.003703	0.002385	0.001337	0.013688	0.040025	0.017223	0.008903	0.002812	0.002283	0.002061	0.548780	-75433.138
410	0.127700	0.033583	0.021113	0.003703	0.003516	0.001895	0.006093	0.041138	0.017223	0.007509	0.002812	0.001585	0.000704	0.415489	-75436.389
420	0.125878	0.034427	0.019408	0.006129	0.003255	0.006634	0.002021	0.040337	0.014831	0.006981	0.001567	0.001479	0.000131	0.597036	-75423.279
430	0.122880	0.037905	0.022941	0.002868	0.002937	0.005246	0.002705	0.045575	0.017531	0.008252	0.001853	0.002130	0.000247	0.429232	-75401.676
440	0.131014	0.039440	0.014988	0.002935	0.006410	0.003013	0.002751	0.047233	0.015745	0.009806	0.001896	0.001597	0.000797	0.433380	-75399.039
450	0.107669	0.066225	0.013432	0.001515	0.003344	0.003565	0.002857	0.052380	0.016357	0.008004	0.003127	0.002749	0.000316	0.381499	-75453.091
460	0.085030	0.060068	0.024551	0.001435	0.004098	0.003411	0.002551	0.054257	0.013626	0.007658	0.003019	0.002080	0.000302	0.619581	-75404.548
470	0.092003	0.046788	0.019052	0.002603	0.006100	0.003577	0.004653	0.057523	0.015971	0.009088	0.002056	0.002438	0.000839	0.374968	-75443.941
480	0.060974	0.022436	0.038425	0.002389	0.006767	0.002743	0.007556	0.051125	0.016686	0.007438	0.001888	0.002300	0.000922	0.629204	-75446.637
490	0.059329	0.053419	0.017350	0.001450	0.005533	0.003159	0.003921	0.054942	0.014325	0.007206	0.002557	0.001866	0.000436	0.484198	-75404.185
500	0.082935	0.047342	0.013351	0.001457	0.003826	0.001589	0.002631	0.054539	0.012836	0.008669	0.002570	0.002530	0.002117	0.460567	-75398.702
510	0.064033	0.042987	0.007827	0.001369	0.003434	0.007595	0.002472	0.049758	0.012060	0.009752	0.002414	0.002377	0.001033	0.602912	-75416.142
520	0.095300	0.043490	0.004859	0.001442	0.007525	0.002789	0.003876	0.050960	0.012702	0.010120	0.002543	0.002551	0.002096	0.657476	-75390.864
530	0.080371	0.061529	0.004943	0.003604	0.006017	0.006918	0.004140	0.057305	0.013567	0.011213	0.002818	0.002299	0.000976	0.642713	-75423.637
540	0.062046	0.043783	0.006948	0.007381	0.003772	0.002105	0.005403	0.053762	0.013567	0.011213	0.002202	0.002707	0.001947	0.752935	-75448.824
550	0.063398	0.056654	0.011712	0.005544	0.004189	0.003106	0.005943	0.059119	0.014923	0.009083	0.002422	0.002977	0.001726	0.536060	-75441.699
560	0.070995	0.041544	0.021245	0.002905	0.003662	0.003263	0.005051	0.052035	0.016911	0.008728	0.003453	0.004561	0.003123	0.663474	-75446.834
570	0.098074	0.039791	0.016247	0.003010	0.007570	0.012733	0.005477	0.055256	0.015529	0.010375	0.003005	0.002790	0.002231	0.533575	-75407.222
580	0.080641	0.038712	0.013928	0.003242	0.008561	0.005810	0.002334	0.053427	0.021093	0.013401	0.003375	0.003106	0.002484	0.285150	-75459.505
590	0.084020	0.047671	0.015451	0.002248	0.004214	0.001627	0.022338	0.048853	0.018275	0.010614	0.003581	0.002436	0.002404	0.496086	-75414.294
600	0.081065	0.047855	0.007343	0.002188	0.007810	0.002584	0.001322	0.048900	0.015264	0.010346	0.003493	0.002423	0.002101	0.456847	-75408.066
610	0.088908	0.053053	0.008383	0.002146	0.004666	0.012905	0.004068	0.046024	0.012588	0.010641	0.003861	0.002556	0.002414	0.579354	-75460.571
620	0.124857	0.045062	0.008063	0.002045	0.004483	0.001545	0.004251	0.045090	0.011999	0.010086	0.003681	0.002436	0.000897	0.614777	-75431.740
630	0.088719	0.057150	0.004936	0.004299	0.005129	0.001763	0.006095	0.044258	0.012038	0.010823	0.002287	0.002146	0.001126	0.590648	-75436.487
640	0.113066	0.048122	0.003874	0.002778	0.007998	0.001908	0.003340	0.044224	0.012029	0.010905	0.003040	0.001930	0.001123	0.320972	-75422.075
650	0.097111	0.048365	0.003034	0.002529	0.004964	0.008517	0.004161	0.040474	0.012137	0.010898	0.003209	0.001929	0.000537	0.421272	-75429.978
660	0.112742	0.066233	0.002840	0.001457	0.003950	0.001907	0.004894	0.039454	0.011633	0.010308	0.003022	0.001816	0.000655	0.542555	-75412.440
670	0.160315	0.038157	0.008184	0.001526	0.004900	0.001617	0.001882	0.039297	0.012185	0.009614	0.003166	0.003269	0.002851	0.557934	-75451.848
