Gen	theta_6PmunDintDludDcelDgol	theta_7DintDludDcelDgol	theta_8DludDcelDgol	theta_9DcelDgol	tau_6PmunDintDludDcelDgol	tau_7DintDludDcelDgol	tau_8DludDcelDgol	tau_9DcelDgol	lnL
10	0.004215	0.003937	0.001894	0.003124	0.013700	0.012483	0.006801	0.001404	-100205.528
20	0.006489	0.003934	0.003852	0.002757	0.017271	0.015286	0.008926	0.003443	-99520.499
30	0.007693	0.003406	0.004635	0.002875	0.023828	0.021886	0.017401	0.008471	-96389.846
40	0.012944	0.003901	0.004516	0.006452	0.044004	0.039347	0.033752	0.025134	-94269.155
50	0.007615	0.006251	0.002410	0.004226	0.042353	0.035280	0.031523	0.026769	-96174.650
60	0.007783	0.004728	0.001489	0.007289	0.038255	0.031866	0.030304	0.019720	-91569.148
70	0.010360	0.004606	0.003272	0.002750	0.023293	0.019336	0.017793	0.015554	-95689.193
80	0.006432	0.004681	0.001638	0.002309	0.017888	0.014622	0.013892	0.010923	-96998.615
90	0.002961	0.004880	0.001501	0.004185	0.018045	0.013972	0.013439	0.010981	-100857.657
100	0.001698	0.004826	0.001449	0.004234	0.018860	0.014603	0.014321	0.009666	-97694.061
110	0.002072	0.005808	0.001768	0.003948	0.023016	0.017821	0.017477	0.013271	-99366.682
120	0.002722	0.008276	0.007526	0.012721	0.038773	0.028593	0.026580	0.008791	-95542.730
130	0.001767	0.005371	0.009516	0.006370	0.025164	0.018557	0.013797	0.006440	-95278.937
140	0.001360	0.003306	0.010697	0.006080	0.020795	0.015393	0.011567	0.007276	-94437.071
150	0.001789	0.003873	0.007144	0.005821	0.027357	0.018484	0.016875	0.008567	-92994.354
160	0.002402	0.003270	0.010744	0.005735	0.033417	0.025799	0.017472	0.006928	-96717.711
170	0.002764	0.005979	0.007001	0.003563	0.059079	0.046897	0.043875	0.032771	-95395.981
180	0.000984	0.003602	0.002191	0.006246	0.021032	0.016480	0.015619	0.007586	-95392.406
190	0.001248	0.003731	0.004306	0.031068	0.026686	0.020910	0.018265	0.004114	-97799.111
200	0.001762	0.002711	0.004677	0.022740	0.031871	0.025500	0.021814	0.009190	-94850.046
210	0.001174	0.003302	0.013803	0.009754	0.021228	0.015292	0.008856	0.004617	-97131.706
220	0.001019	0.005508	0.007403	0.005277	0.018752	0.013658	0.007823	0.006491	-95442.253
230	0.001691	0.003515	0.002247	0.005410	0.026432	0.015069	0.012053	0.008739	-95265.423
240	0.001500	0.005240	0.004900	0.004939	0.023444	0.013366	0.010636	0.008387	-94580.050
250	0.002425	0.009066	0.005111	0.003623	0.036532	0.023226	0.016574	0.013099	-92294.046
260	0.004279	0.009294	0.003482	0.001433	0.041234	0.029024	0.019020	0.014732	-93246.742
270	0.006209	0.032369	0.002743	0.001770	0.052787	0.032387	0.023467	0.017978	-94901.019
280	0.005071	0.015797	0.007844	0.002310	0.048220	0.046949	0.018766	0.013788	-95380.800
290	0.003060	0.018482	0.005091	0.003063	0.029100	0.024518	0.012446	0.003788	-93681.529
300	0.002935	0.011495	0.002361	0.002882	0.017629	0.014854	0.008991	0.001478	-99372.245
310	0.006644	0.017822	0.002820	0.005509	0.036857	0.031053	0.018361	0.004630	-97647.289
320	0.004188	0.026749	0.004033	0.003360	0.031398	0.025373	0.011053	0.005510	-95020.352
330	0.003616	0.011216	0.002682	0.002417	0.021549	0.020197	0.008445	0.006366	-93764.710
340	0.003680	0.014723	0.001941	0.005372	0.026476	0.025845	0.013405	0.004324	-92808.771
350	0.002847	0.021761	0.002699	0.002153	0.028580	0.025251	0.012180	0.005628	-94412.502
360	0.002787	0.023912	0.002604	0.004003	0.027983	0.023626	0.010118	0.002902	-96595.829
370	0.001812	0.014219	0.004329	0.003837	0.018196	0.018068	0.004945	0.002190	-93500.471
380	0.001812	0.010632	0.003791	0.003220	0.018196	0.018068	0.004581	0.003300	-97562.998
390	0.004032	0.004411	0.011877	0.007136	0.040479	0.040193	0.007681	0.006364	-92413.621
