Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.004678	0.001677	0.009568	0.005124	0.002680	0.002766	0.002807	0.006360	0.002826	0.002102	0.001064	0.001818	0.000211	0.302680	-113285.789
20	0.004678	0.002296	0.003989	0.003453	0.001831	0.002494	0.002647	0.006360	0.002826	0.002189	0.001282	0.000573	0.000513	0.407138	-110648.725
30	0.004423	0.001588	0.017352	0.001628	0.002041	0.003098	0.005167	0.006014	0.002879	0.002296	0.001147	0.000542	0.000297	0.330572	-104671.182
40	0.006074	0.002040	0.007339	0.001893	0.003239	0.007123	0.004535	0.008258	0.004046	0.003084	0.001051	0.000744	0.000559	0.502234	-109521.968
50	0.004959	0.002397	0.002377	0.004832	0.002736	0.008172	0.007530	0.009701	0.004754	0.004320	0.001171	0.000976	0.000128	0.597298	-103547.174
60	0.006799	0.003388	0.002387	0.008239	0.006565	0.005124	0.003646	0.013300	0.006517	0.005793	0.003535	0.000615	0.000235	0.701688	-107534.656
70	0.005256	0.003048	0.004275	0.001614	0.002402	0.001728	0.003137	0.010283	0.005039	0.003630	0.001904	0.001214	0.000110	0.483377	-110180.374
80	0.005298	0.002564	0.005214	0.019903	0.002397	0.008309	0.006642	0.010365	0.004750	0.003641	0.000330	0.001235	0.000223	0.515823	-106326.029
90	0.002674	0.001106	0.002894	0.002347	0.003179	0.003503	0.004930	0.004314	0.001950	0.001349	0.000239	0.000194	0.000039	0.163444	-111427.469
100	0.004946	0.004200	0.003056	0.002469	0.005369	0.002289	0.008385	0.007260	0.003282	0.002913	0.002338	0.000327	0.000092	0.720952	-106764.191
110	0.002874	0.002920	0.007549	0.003340	0.003002	0.002449	0.002886	0.004218	0.001920	0.001787	0.000421	0.000203	0.000080	0.635640	-108222.033
120	0.001951	0.002099	0.006390	0.004398	0.002935	0.005127	0.005731	0.003077	0.001411	0.001269	0.000359	0.000122	0.000105	0.213520	-110030.594
130	0.003015	0.004564	0.005734	0.005398	0.001696	0.001973	0.006737	0.006690	0.003067	0.002552	0.001567	0.001761	0.000051	0.466233	-102238.717
