Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.002706	0.003657	0.003257	0.003259	0.001891	0.001845	0.005019	0.094428	0.041248	0.024290	0.022778	0.016760	0.000935	0.066231	-79205.596
20	0.002706	0.003657	0.003575	0.004029	0.001937	0.005695	0.003650	0.094428	0.041248	0.024290	0.014228	0.018203	0.000935	0.039134	-78804.740
30	0.002597	0.002918	0.003156	0.003204	0.002813	0.003712	0.003786	0.077805	0.033987	0.019526	0.012444	0.009740	0.000770	0.039134	-79070.774
40	0.002564	0.003263	0.002671	0.002719	0.001638	0.002921	0.003378	0.077021	0.033616	0.019786	0.015008	0.015864	0.000412	0.044213	-78692.234
50	0.003678	0.003101	0.004316	0.007255	0.003521	0.003666	0.006679	0.082193	0.044051	0.022532	0.010460	0.015717	0.000488	0.043325	-78900.636
60	0.004146	0.002405	0.003275	0.005535	0.004057	0.003537	0.001803	0.067961	0.033433	0.017101	0.016456	0.012803	0.000371	0.130430	-79092.299
70	0.005973	0.001994	0.005107	0.002015	0.008632	0.001519	0.001857	0.076605	0.041722	0.019276	0.018549	0.014431	0.000418	0.212571	-78899.506
80	0.004569	0.001424	0.010175	0.009659	0.002517	0.002985	0.006007	0.079221	0.045714	0.018075	0.003757	0.015119	0.000451	0.018218	-79014.383
90	0.004536	0.003567	0.008539	0.001698	0.017825	0.004005	0.002070	0.078646	0.036571	0.014811	0.004383	0.003783	0.002134	0.018218	-78879.285
100	0.004938	0.002623	0.009296	0.006593	0.031192	0.014240	0.003448	0.085618	0.039813	0.016124	0.004772	0.003862	0.002746	0.127015	-78967.719
110	0.008220	0.003333	0.013446	0.003340	0.008024	0.003811	0.004185	0.079907	0.037101	0.015608	0.015407	0.009668	0.003130	0.139478	-79080.763
120	0.007092	0.003592	0.011247	0.003797	0.017576	0.001764	0.013605	0.078274	0.039986	0.016821	0.016605	0.007402	0.004561	0.225788	-79038.516
130	0.007092	0.002214	0.014302	0.002722	0.004758	0.004414	0.002137	0.078274	0.039986	0.016821	0.016605	0.014809	0.004460	0.286929	-78827.263
140	0.008909	0.001709	0.009502	0.010214	0.007095	0.005261	0.005364	0.081716	0.037216	0.015656	0.015591	0.012310	0.011949	0.700994	-78503.131
150	0.011123	0.001467	0.014826	0.004245	0.003140	0.004759	0.008975	0.095280	0.052407	0.018255	0.018179	0.011752	0.009178	0.973617	-78654.619
160	0.009496	0.002023	0.006924	0.005073	0.007356	0.001464	0.016780	0.077243	0.037270	0.016656	0.016546	0.007955	0.005340	0.761087	-78617.128
170	0.016026	0.002043	0.008385	0.002126	0.003396	0.005900	0.019740	0.078015	0.037643	0.016822	0.016712	0.011401	0.007340	0.446328	-79136.044
180	0.011562	0.002482	0.006835	0.003423	0.004320	0.003843	0.008738	0.059331	0.023399	0.013713	0.013623	0.008036	0.002318	0.523606	-78704.325
190	0.013330	0.003505	0.004950	0.002444	0.002540	0.002548	0.005115	0.090173	0.032059	0.018788	0.018665	0.009093	0.003587	0.539007	-78813.679
200	0.010900	0.004230	0.004373	0.004232	0.000754	0.003231	0.003856	0.094858	0.038693	0.022675	0.022526	0.015194	0.008591	0.366365	-78834.846
210	0.007273	0.003838	0.003968	0.005626	0.001065	0.002699	0.002426	0.088587	0.035107	0.020574	0.020439	0.010747	0.010055	0.284226	-78880.111
220	0.009482	0.002355	0.004649	0.001718	0.001529	0.002943	0.002795	0.096720	0.053954	0.024108	0.023949	0.012593	0.003602	0.296629	-79083.511
230	0.013589	0.002718	0.003071	0.005833	0.001239	0.003018	0.006707	0.085043	0.036238	0.019289	0.019163	0.009870	0.007054	0.357602	-78578.014
240	0.010421	0.003430	0.002937	0.009053	0.002093	0.004927	0.002242	0.099880	0.036238	0.019289	0.019163	0.009870	0.006172	0.474347	-78652.056
250	0.005712	0.003638	0.002810	0.001644	0.001337	0.010838	0.003559	0.083917	0.036238	0.019289	0.019163	0.010744	0.006837	0.189139	-78868.213
260	0.005509	0.003662	0.002140	0.002659	0.001889	0.016613	0.001554	0.074047	0.036484	0.019420	0.019292	0.011877	0.003112	0.271195	-79075.989
270	0.009967	0.004945	0.002075	0.001987	0.002502	0.003949	0.001558	0.084902	0.041637	0.024128	0.023970	0.014756	0.011916	0.037920	-79044.509
280	0.010371	0.004570	0.002306	0.004234	0.002961	0.002014	0.001416	0.078461	0.038478	0.022298	0.016918	0.017159	0.004097	0.071114	-79260.354
290	0.009921	0.004650	0.002555	0.002629	0.004334	0.003343	0.008814	0.079835	0.039152	0.022688	0.011729	0.014176	0.010160	0.067877	-79179.918
300	0.009294	0.004250	0.003005	0.001310	0.003125	0.010067	0.010528	0.084567	0.035644	0.025797	0.022462	0.020798	0.016198	0.026218	-78927.525
310	0.004741	0.001946	0.003228	0.009284	0.003065	0.002047	0.004278	0.079939	0.031959	0.023034	0.019891	0.019049	0.009994	0.352232	-78890.576
