Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10k	theta_11u	theta_12j	theta_13l	theta_14j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10k	tau_11u	tau_12j	tau_13l	phi_j<-i	phi_l<-k	lnL
10	0.059278	0.033427	0.002343	0.002184	0.003251	0.002471	0.003558	0.009983	0.002151	0.063202	0.022715	0.021206	0.006172	0.001656	0.002496	0.000513	0.001656	0.790065	0.003814	-76397.979
20	0.049059	0.049805	0.002214	0.002063	0.002541	0.002334	0.004587	0.003333	0.005556	0.071422	0.021458	0.020033	0.005831	0.000856	0.002358	0.000370	0.000856	0.648355	0.003814	-76505.606
30	0.061573	0.040378	0.002385	0.001343	0.010020	0.005523	0.004910	0.006863	0.004851	0.073678	0.022136	0.020159	0.008699	0.002317	0.002432	0.000300	0.002317	0.533391	0.003814	-76513.021
40	0.071636	0.036920	0.002017	0.001235	0.003212	0.005563	0.009604	0.005760	0.004638	0.065427	0.019657	0.018409	0.007491	0.000749	0.002160	0.000259	0.000749	0.579991	0.003814	-76570.613
50	0.079816	0.053282	0.001873	0.001375	0.001966	0.002672	0.002377	0.005268	0.003186	0.060758	0.018254	0.017096	0.006064	0.001412	0.002006	0.000795	0.001412	0.693567	0.003814	-76414.777
60	0.097389	0.033366	0.001859	0.001957	0.005781	0.003201	0.004654	0.005437	0.001001	0.060758	0.018254	0.017177	0.004496	0.001985	0.002006	0.001948	0.001985	0.608874	0.095659	-76457.236
70	0.096230	0.033708	0.001655	0.001265	0.001969	0.002850	0.004196	0.006044	0.013655	0.054098	0.016253	0.015294	0.004011	0.001571	0.001786	0.000894	0.001571	0.642632	0.051677	-76395.521
80	0.057750	0.043227	0.001976	0.001510	0.002891	0.005539	0.003646	0.004920	0.002911	0.076972	0.019404	0.018259	0.004788	0.000372	0.002132	0.002044	0.000372	0.744191	0.061392	-76452.991
90	0.047284	0.042600	0.001982	0.001411	0.008976	0.005214	0.002436	0.007768	0.005551	0.077194	0.019459	0.018312	0.005030	0.000295	0.002138	0.001161	0.000295	0.651313	0.005477	-76582.648
100	0.035004	0.028462	0.001806	0.000893	0.004252	0.002422	0.010164	0.002088	0.002750	0.071416	0.018003	0.017131	0.006662	0.000162	0.002373	0.000312	0.000162	0.768873	0.005477	-76377.869
110	0.046180	0.044512	0.001613	0.001339	0.003926	0.004321	0.007084	0.003256	0.023691	0.064782	0.016331	0.015689	0.004319	0.000126	0.002152	0.000943	0.000126	0.700522	0.005477	-76287.789
120	0.030395	0.046581	0.001842	0.001547	0.002823	0.007317	0.003300	0.011156	0.005198	0.073980	0.018649	0.017916	0.004898	0.000315	0.002458	0.001949	0.000315	0.750241	0.005477	-76278.126
130	0.032779	0.039842	0.001846	0.001904	0.003647	0.008123	0.004951	0.003388	0.006896	0.083114	0.020703	0.019889	0.005025	0.000299	0.002729	0.001433	0.000299	0.602045	0.005477	-76377.585
140	0.031278	0.036153	0.001790	0.002960	0.008469	0.005744	0.002183	0.010505	0.002759	0.080587	0.020073	0.019284	0.004873	0.000153	0.002646	0.001958	0.000153	0.731272	0.128482	-76302.034
150	0.027421	0.027532	0.001805	0.003198	0.002544	0.002601	0.001889	0.002377	0.005496	0.081263	0.020241	0.019446	0.004913	0.000614	0.002668	0.001025	0.000614	0.638086	0.019242	-76638.462
160	0.016647	0.031978	0.002254	0.004475	0.001915	0.003248	0.003024	0.003384	0.001660	0.101483	0.025278	0.024284	0.006136	0.003268	0.003332	0.003242	0.003268	0.576526	0.058585	-76598.751
170	0.012783	0.053915	0.001977	0.002744	0.004204	0.004744	0.002945	0.007316	0.001456	0.098569	0.022178	0.021306	0.005383	0.001911	0.002923	0.002331	0.001911	0.547289	0.025797	-76594.984
180	0.013266	0.028950	0.002347	0.002155	0.007029	0.002785	0.003361	0.003183	0.003207	0.077429	0.017421	0.016736	0.004229	0.001504	0.002296	0.000953	0.001504	0.443686	0.029256	-76595.561
190	0.009245	0.023665	0.002499	0.002261	0.005433	0.002198	0.005407	0.001728	0.006332	0.071946	0.018276	0.017557	0.004436	0.001326	0.002892	0.000485	0.001326	0.471032	0.011522	-76644.581
200	0.009899	0.037051	0.002676	0.002421	0.002058	0.006828	0.004053	0.002961	0.007674	0.077034	0.019568	0.018799	0.004750	0.000588	0.003096	0.000658	0.000588	0.482390	0.011522	-76415.111
210	0.009316	0.046951	0.004718	0.002497	0.004991	0.003057	0.002581	0.002414	0.002382	0.085130	0.020181	0.018612	0.004899	0.001707	0.003193	0.001443	0.001707	0.451526	0.011522	-76481.186
220	0.007418	0.036457	0.004390	0.001833	0.003228	0.002876	0.002619	0.001617	0.007154	0.091151	0.018982	0.017507	0.005096	0.001006	0.003004	0.002423	0.001006	0.558332	0.011522	-76557.571
230	0.006594	0.038154	0.003908	0.004354	0.003598	0.007392	0.007834	0.004348	0.003973	0.081031	0.016875	0.014716	0.003079	0.002412	0.002670	0.001068	0.002412	0.509082	0.116080	-76472.433
240	0.007221	0.026114	0.003580	0.002902	0.008941	0.001651	0.006152	0.004391	0.007474	0.088734	0.018479	0.016951	0.004876	0.002702	0.002924	0.002575	0.002702	0.616756	0.010747	-76531.778
