Gen	theta_6PmunDintDludDcelDgol	theta_7DintDludDcelDgol	theta_8DludDcelDgol	theta_9DcelDgol	tau_6PmunDintDludDcelDgol	tau_7DintDludDcelDgol	tau_8DludDcelDgol	tau_9DcelDgol	lnL
10	0.105483	0.033075	0.024883	0.002692	0.043663	0.019314	0.001407	0.001280	-75445.476
20	0.135843	0.027955	0.026191	0.012902	0.046068	0.017861	0.001481	0.000900	-75444.608
30	0.121955	0.035016	0.025296	0.001758	0.046075	0.016115	0.001607	0.001564	-75439.621
40	0.105605	0.052218	0.029926	0.001704	0.044769	0.012870	0.001422	0.001262	-75425.680
50	0.130721	0.046076	0.021639	0.011606	0.044248	0.015059	0.001229	0.000694	-75431.848
60	0.088980	0.032694	0.020652	0.007060	0.041346	0.014051	0.001173	0.000832	-75444.930
70	0.104890	0.039524	0.027458	0.005496	0.046096	0.016605	0.001073	0.000919	-75408.128
80	0.083329	0.059697	0.031181	0.002924	0.050218	0.013094	0.001068	0.000846	-75425.371
90	0.096584	0.043324	0.023008	0.006612	0.049740	0.014697	0.001057	0.000271	-75449.615
100	0.084027	0.031850	0.025829	0.007116	0.041287	0.013890	0.001003	0.000528	-75425.202
110	0.070451	0.021859	0.026898	0.004953	0.041067	0.016750	0.001045	0.000822	-75388.935
120	0.079842	0.036674	0.027436	0.004893	0.045084	0.017531	0.001066	0.001035	-75413.661
130	0.096242	0.023857	0.026008	0.002062	0.043756	0.019061	0.001010	0.000886	-75481.265
140	0.133829	0.024555	0.026008	0.002207	0.045378	0.018548	0.001010	0.000828	-75437.006
150	0.105471	0.035503	0.026685	0.005421	0.038516	0.018005	0.000836	0.000387	-75424.502
160	0.107459	0.038073	0.026671	0.002170	0.043291	0.016828	0.000836	0.000579	-75395.582
170	0.083121	0.030916	0.025619	0.022143	0.043694	0.018976	0.000803	0.000303	-75420.991
180	0.088999	0.052137	0.021151	0.003067	0.045513	0.014646	0.000775	0.000428	-75391.923
190	0.098177	0.042083	0.042035	0.002536	0.044656	0.015179	0.000783	0.000529	-75433.923
200	0.095682	0.054629	0.034992	0.002770	0.048409	0.017061	0.000846	0.000500	-75428.773
210	0.105650	0.040062	0.031213	0.001870	0.050620	0.018041	0.000860	0.000764	-75426.738
220	0.101388	0.038961	0.031213	0.002942	0.050620	0.018527	0.000860	0.000521	-75426.817
230	0.110133	0.039926	0.017315	0.002092	0.052669	0.017761	0.000948	0.000711	-75448.504
240	0.077365	0.036590	0.032082	0.004429	0.051328	0.015121	0.000949	0.000655	-75450.499
250	0.078266	0.039576	0.022370	0.007638	0.053038	0.015325	0.001015	0.000434	-75468.054
260	0.091832	0.035051	0.024774	0.012207	0.060726	0.018930	0.001124	0.000390	-75426.174
270	0.087849	0.064407	0.039425	0.010477	0.062694	0.016570	0.001177	0.000752	-75408.943
280	0.077682	0.047711	0.032495	0.005899	0.066870	0.014223	0.001202	0.000575	-75410.700
290	0.040500	0.049213	0.028093	0.011106	0.075853	0.016882	0.001253	0.000341	-75428.545
300	0.044168	0.054733	0.021908	0.009363	0.071873	0.016871	0.001203	0.000518	-75422.928
310	0.049458	0.031191	0.027246	0.016512	0.064179	0.016751	0.001813	0.000940	-75433.697
320	0.062010	0.041141	0.028550	0.009470	0.063292	0.015367	0.001899	0.000416	-75392.836
330	0.057980	0.039270	0.031431	0.001921	0.062801	0.016814	0.001518	0.001247	-75411.911
340	0.084817	0.049271	0.021192	0.002571	0.062568	0.015830	0.001603	0.001040	-75426.869
350	0.063401	0.040152	0.023012	0.002096	0.066348	0.018800	0.001741	0.001504	-75418.461
360	0.074638	0.042818	0.033790	0.004797	0.065729	0.022855	0.001813	0.001108	-75460.192
370	0.098203	0.042128	0.032858	0.004497	0.062516	0.019648	0.001894	0.001460	-75395.579
380	0.091784	0.033256	0.023015	0.004870	0.064694	0.019897	0.001972	0.001362	-75464.197
390	0.080656	0.049513	0.021436	0.005628	0.059263	0.016951	0.002017	0.001447	-75464.587
400	0.070352	0.042392	0.027349	0.003552	0.058512	0.014546	0.002091	0.000987	-75385.742
