Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10k	theta_11u	theta_12j	theta_13l	theta_14j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10k	tau_11u	tau_12j	tau_13l	phi_j<-i	phi_l<-k	lnL
10	0.007184	0.002504	0.006629	0.004540	0.009184	0.005690	0.002898	0.004281	0.002552	0.075124	0.052658	0.027100	0.019772	0.015028	0.026353	0.009899	0.015028	0.993884	0.170057	-82490.129
20	0.007239	0.001341	0.007075	0.003185	0.002439	0.010435	0.009022	0.002044	0.003192	0.065149	0.054749	0.023086	0.019631	0.007151	0.009480	0.004293	0.007151	0.993884	0.040876	-83851.137
30	0.005947	0.001866	0.005813	0.004755	0.003298	0.004221	0.004787	0.005725	0.006004	0.053523	0.034927	0.018966	0.011590	0.003113	0.013588	0.005112	0.003113	0.993884	0.122674	-85309.091
40	0.006874	0.003547	0.006719	0.003174	0.002062	0.002507	0.004118	0.002080	0.011487	0.061863	0.040369	0.021922	0.018610	0.006540	0.010211	0.008111	0.006540	0.993884	0.019452	-83302.106
50	0.013012	0.003043	0.008372	0.002409	0.003499	0.003879	0.001636	0.003714	0.003353	0.079201	0.069541	0.028065	0.024963	0.011570	0.024429	0.003845	0.011570	0.993884	0.192286	-83865.547
60	0.006307	0.002693	0.005543	0.003046	0.005550	0.006464	0.005104	0.003518	0.003570	0.052434	0.041002	0.018581	0.008399	0.006800	0.012847	0.002231	0.006800	0.909091	0.192286	-86213.752
70	0.007803	0.005622	0.007433	0.002326	0.006866	0.004757	0.003558	0.005545	0.003868	0.064869	0.050726	0.027827	0.010391	0.007885	0.015214	0.009924	0.007885	0.800417	0.115123	-82751.916
80	0.010370	0.009643	0.005496	0.003794	0.001852	0.005185	0.003460	0.002474	0.003770	0.081114	0.064113	0.035171	0.013134	0.006597	0.020139	0.005531	0.006597	0.726185	0.124581	-83598.648
90	0.010981	0.008223	0.004687	0.002174	0.009111	0.002636	0.008034	0.004700	0.005864	0.069176	0.054677	0.029995	0.012586	0.009473	0.010762	0.006496	0.009473	0.703992	0.075872	-83251.101
100	0.011507	0.003802	0.002941	0.001856	0.003555	0.002894	0.002895	0.027019	0.005666	0.076693	0.064830	0.032926	0.013816	0.010534	0.011813	0.001431	0.010534	0.603244	0.288129	-83729.061
110	0.004743	0.003248	0.004144	0.004017	0.003067	0.003430	0.005731	0.036800	0.009982	0.093138	0.083875	0.038823	0.016004	0.007625	0.014003	0.001843	0.007625	0.603244	0.171892	-84451.795
120	0.003328	0.002367	0.007084	0.001246	0.001258	0.001381	0.001871	0.007669	0.002111	0.065351	0.057456	0.021928	0.017046	0.005817	0.015672	0.011652	0.005817	0.819320	0.171892	-83759.068
130	0.003784	0.003772	0.002995	0.002279	0.003537	0.005760	0.002762	0.001678	0.012257	0.088440	0.062135	0.038794	0.011938	0.006417	0.023635	0.003383	0.006417	0.862572	0.171892	-82888.098
140	0.003292	0.002183	0.002605	0.001982	0.004051	0.007938	0.002554	0.002181	0.002708	0.076931	0.065609	0.033746	0.010385	0.001553	0.016089	0.004777	0.001553	0.771532	0.057890	-85393.357
150	0.007644	0.004198	0.002956	0.002040	0.005127	0.010686	0.005135	0.006075	0.007487	0.079172	0.067519	0.033280	0.010687	0.001598	0.011342	0.010067	0.001598	0.957797	0.210713	-82181.903
160	0.014390	0.005720	0.004252	0.002391	0.008028	0.006004	0.004640	0.002824	0.005345	0.069512	0.048594	0.026867	0.009383	0.003936	0.016046	0.005550	0.003936	0.942044	0.231245	-83860.974
170	0.012767	0.018570	0.003828	0.002498	0.004816	0.002425	0.012863	0.006976	0.006587	0.072612	0.041183	0.026577	0.009802	0.007509	0.021943	0.001983	0.007509	0.855406	0.198733	-83293.425
180	0.012522	0.008489	0.002919	0.001657	0.001446	0.005227	0.002895	0.008827	0.008924	0.055791	0.040124	0.022231	0.007531	0.005010	0.014254	0.005143	0.005010	0.986031	0.316345	-82668.311
190	0.013414	0.004671	0.002472	0.002000	0.004724	0.002872	0.003916	0.003745	0.005451	0.067333	0.048425	0.026830	0.009089	0.005097	0.010908	0.007911	0.005097	0.986031	0.262375	-82613.714
200	0.010993	0.007183	0.002804	0.002132	0.003477	0.005958	0.014817	0.002579	0.006182	0.076340	0.054924	0.030431	0.010309	0.004058	0.012795	0.005349	0.004058	0.882251	0.149762	-82320.618
210	0.014189	0.005784	0.002802	0.003547	0.004998	0.001689	0.002191	0.001262	0.004725	0.085421	0.068340	0.034051	0.009719	0.000466	0.020646	0.005126	0.000466	0.880833	0.223991	-81572.721
220	0.017552	0.004124	0.002000	0.002528	0.002698	0.003128	0.003451	0.002334	0.002982	0.060898	0.048721	0.024276	0.006929	0.003151	0.008913	0.005696	0.003151	0.981835	0.145724	-83259.844
230	0.035153	0.004611	0.001934	0.003117	0.001500	0.003835	0.005547	0.002000	0.005959	0.070904	0.057714	0.034040	0.008067	0.007294	0.020974	0.002578	0.007294	0.967365	0.184516	-82791.779
240	0.023639	0.006237	0.001900	0.001988	0.001348	0.001677	0.005974	0.003572	0.001646	0.057706	0.044188	0.024837	0.006048	0.000524	0.018865	0.002021	0.000524	0.897349	0.184516	-82235.759
250	0.043774	0.005826	0.001892	0.002949	0.002000	0.004333	0.002883	0.001823	0.006301	0.085593	0.065543	0.043803	0.008971	0.005610	0.033390	0.002710	0.005610	0.908883	0.213189	-82570.748
260	0.020923	0.002475	0.001096	0.002552	0.002426	0.001753	0.006160	0.003346	0.004429	0.053362	0.040862	0.027809	0.005593	0.004300	0.020750	0.005363	0.004300	0.976184	0.146031	-83491.862
