Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.005739	0.003516	0.003394	0.003243	0.009751	0.003714	0.002349	0.078496	0.056047	0.031183	0.027167	0.004483	0.001185	0.961841	-84150.766
20	0.002386	0.006619	0.002400	0.004728	0.003071	0.001956	0.004077	0.059192	0.042264	0.027318	0.011722	0.024219	0.002427	0.902620	-82972.120
30	0.003261	0.006419	0.003066	0.003320	0.005054	0.001650	0.006432	0.068210	0.048703	0.031129	0.020136	0.015834	0.009680	0.955527	-83251.071
40	0.003306	0.006624	0.003679	0.003689	0.001035	0.004878	0.004027	0.069137	0.049365	0.030748	0.022048	0.016050	0.012008	0.982271	-82841.975
50	0.002753	0.004720	0.002463	0.003934	0.010417	0.002140	0.001810	0.055269	0.035776	0.027283	0.014884	0.007670	0.003099	0.982635	-83059.421
60	0.003302	0.003911	0.001621	0.002988	0.009925	0.002623	0.004633	0.052141	0.034663	0.027176	0.011426	0.006762	0.002637	0.888773	-85246.674
70	0.002490	0.009350	0.003309	0.006524	0.003686	0.009951	0.006251	0.076003	0.050526	0.036408	0.015255	0.012915	0.003129	0.965485	-84432.386
80	0.002423	0.007244	0.006487	0.004391	0.004132	0.001587	0.003911	0.073960	0.047827	0.034146	0.019244	0.020162	0.010772	0.921163	-83307.838
90	0.001858	0.003291	0.005393	0.003741	0.004735	0.006902	0.003449	0.063034	0.040762	0.027598	0.019521	0.017575	0.013021	0.676171	-85226.683
100	0.002350	0.003286	0.004723	0.003659	0.004053	0.003623	0.001973	0.064344	0.041876	0.029545	0.024381	0.025687	0.024211	0.997599	-83952.595
110	0.001690	0.002407	0.004247	0.003521	0.004248	0.001980	0.001372	0.057870	0.040190	0.026572	0.020841	0.009658	0.009073	0.829578	-83253.345
120	0.002408	0.002205	0.005687	0.010146	0.001052	0.004685	0.006076	0.077491	0.051292	0.035581	0.011151	0.030313	0.002901	0.851728	-82666.816
130	0.002136	0.003006	0.005458	0.006739	0.003641	0.001111	0.001219	0.068732	0.045495	0.027033	0.010797	0.017461	0.000977	0.839472	-83207.387
140	0.002241	0.007991	0.002474	0.001532	0.003318	0.002065	0.004525	0.072112	0.047732	0.028362	0.025437	0.005848	0.003063	0.697572	-84431.470
150	0.002004	0.002794	0.004138	0.004623	0.019559	0.002995	0.014214	0.063780	0.050783	0.025085	0.014842	0.010426	0.007593	0.957958	-84304.732
160	0.002123	0.002090	0.002846	0.003200	0.004250	0.001684	0.003107	0.043870	0.033505	0.017255	0.008065	0.007939	0.006222	0.844609	-82975.178
170	0.002774	0.003212	0.003719	0.001622	0.003465	0.011060	0.004166	0.057323	0.043779	0.022546	0.019498	0.010726	0.003253	0.427125	-84917.698
180	0.002817	0.004044	0.003123	0.003954	0.003501	0.001992	0.001852	0.058212	0.040642	0.024734	0.012337	0.011814	0.006234	0.720077	-83034.004
190	0.004684	0.003599	0.004106	0.007709	0.004789	0.003302	0.001511	0.104853	0.073205	0.044040	0.023386	0.024302	0.010579	0.338890	-84119.628
200	0.004376	0.002700	0.003206	0.001765	0.005135	0.006836	0.003910	0.081891	0.057174	0.034395	0.027588	0.027663	0.007703	0.490489	-84327.193
210	0.002730	0.002685	0.003189	0.001815	0.003738	0.002750	0.005023	0.081444	0.056862	0.034208	0.026533	0.028368	0.025176	0.490489	-82326.467
220	0.002576	0.002155	0.003010	0.001213	0.002730	0.026478	0.001953	0.076863	0.053664	0.032284	0.025579	0.023759	0.017953	0.684285	-83045.444
230	0.002570	0.002231	0.002840	0.002922	0.003373	0.007369	0.004815	0.072523	0.050634	0.030461	0.018520	0.025080	0.012560	0.679701	-84394.218
240	0.001862	0.002339	0.003369	0.006289	0.001083	0.002060	0.002077	0.076970	0.053738	0.032353	0.024681	0.026222	0.020506	0.645393	-82435.709
