Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10k	theta_11u	theta_12j	theta_13l	theta_14j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10k	tau_11u	tau_12j	tau_13l	phi_j<-i	phi_l<-k	lnL
10	0.002776	0.002728	0.001589	0.003660	0.006216	0.009270	0.006695	0.013348	0.010368	0.083064	0.048095	0.028499	0.007791	0.000620	0.007258	0.001826	0.000620	0.401194	0.018425	-78191.702
20	0.002874	0.002989	0.001565	0.006155	0.001994	0.007177	0.004423	0.005804	0.001865	0.091019	0.052701	0.036453	0.008642	0.002328	0.010274	0.001766	0.002328	0.357281	0.018425	-78591.640
30	0.002313	0.002307	0.001479	0.009243	0.006308	0.004716	0.005378	0.005634	0.003744	0.085131	0.049292	0.034095	0.005608	0.002099	0.012162	0.001604	0.002099	0.627915	0.031590	-78100.608
40	0.001916	0.002126	0.001698	0.003007	0.003446	0.006351	0.004162	0.001083	0.002064	0.080225	0.046451	0.028428	0.008821	0.001935	0.006398	0.002446	0.001935	0.687171	0.016056	-78223.846
50	0.001649	0.002265	0.002188	0.002648	0.004282	0.007647	0.004614	0.002741	0.021035	0.069461	0.040219	0.019094	0.007793	0.004467	0.004579	0.002095	0.004467	0.773183	0.180861	-78669.774
60	0.002957	0.002046	0.002778	0.002189	0.003918	0.018184	0.009592	0.008682	0.013309	0.088169	0.051051	0.024237	0.014010	0.002690	0.005812	0.004475	0.002690	0.735330	0.028520	-78720.493
70	0.003295	0.002537	0.002891	0.001316	0.002003	0.005127	0.005910	0.004815	0.002336	0.090385	0.047570	0.024846	0.015271	0.001349	0.022059	0.009324	0.001349	0.735330	0.055261	-78638.900
80	0.003424	0.002637	0.002650	0.002524	0.002178	0.007165	0.003114	0.008856	0.001814	0.093924	0.049432	0.027424	0.008825	0.000786	0.023912	0.005596	0.000786	0.846850	0.020284	-78951.615
90	0.003828	0.003621	0.007237	0.002822	0.004693	0.001865	0.006429	0.003272	0.003159	0.105013	0.055268	0.021687	0.009867	0.005320	0.014985	0.000889	0.005320	0.651298	0.054543	-78952.940
100	0.002729	0.002757	0.010030	0.001991	0.002220	0.001536	0.004018	0.002880	0.014632	0.096717	0.046957	0.019973	0.010450	0.007947	0.016701	0.002873	0.007947	0.888342	0.064638	-78597.462
110	0.003530	0.002578	0.003219	0.002666	0.006072	0.002642	0.010078	0.003020	0.005630	0.088464	0.048099	0.027804	0.012948	0.003151	0.015630	0.011040	0.003151	0.911292	0.064638	-79103.023
120	0.004966	0.001854	0.003737	0.002104	0.005160	0.002659	0.002758	0.004820	0.001966	0.076805	0.036816	0.020597	0.009910	0.003893	0.016446	0.008979	0.003893	0.919300	0.026736	-78728.464
130	0.005042	0.001724	0.002208	0.002389	0.002249	0.003979	0.003633	0.009470	0.003075	0.077980	0.037379	0.026543	0.009353	0.001345	0.015942	0.006935	0.001345	0.676194	0.026736	-78296.935
140	0.004916	0.001656	0.003350	0.002285	0.002288	0.003675	0.003963	0.001613	0.001124	0.076036	0.036447	0.024442	0.009119	0.006255	0.010214	0.006719	0.006255	0.290221	0.026736	-78417.057
150	0.004686	0.001497	0.002758	0.001754	0.003067	0.007634	0.006171	0.015665	0.005907	0.072479	0.034742	0.024694	0.009722	0.001014	0.008085	0.004459	0.001014	0.624475	0.001712	-78650.262
160	0.005569	0.002040	0.002742	0.002179	0.003831	0.005079	0.006292	0.006403	0.008132	0.086137	0.043132	0.031816	0.010693	0.002901	0.017660	0.005723	0.002901	0.451765	0.071743	-78588.756
170	0.005333	0.003306	0.001604	0.001871	0.003958	0.008609	0.001463	0.002014	0.003929	0.082478	0.049623	0.030926	0.015124	0.010086	0.016130	0.012965	0.010086	0.771647	0.018668	-78307.284
180	0.005333	0.002380	0.003538	0.002358	0.011330	0.003258	0.002483	0.001824	0.004864	0.082478	0.049623	0.030926	0.015124	0.004284	0.016130	0.011744	0.004284	0.586198	0.046062	-78743.463
190	0.002484	0.002624	0.002982	0.003236	0.003719	0.003588	0.001967	0.002078	0.001746	0.069498	0.047136	0.026059	0.012088	0.004260	0.008607	0.008518	0.004260	0.536237	0.006846	-79118.051
200	0.003434	0.002582	0.003918	0.007061	0.002524	0.006458	0.012774	0.007816	0.005462	0.096074	0.067068	0.036024	0.018205	0.001986	0.011898	0.009884	0.001986	0.795560	0.006846	-78973.530
210	0.002578	0.002732	0.002941	0.004345	0.004847	0.002791	0.006951	0.006470	0.003592	0.072119	0.045325	0.027042	0.012883	0.000925	0.004031	0.001729	0.000925	0.965148	0.006846	-79134.983
220	0.003420	0.003463	0.002740	0.005446	0.006027	0.002674	0.001193	0.003432	0.002405	0.095490	0.056807	0.033893	0.016146	0.002927	0.005052	0.003558	0.002927	0.945563	0.006846	-78952.788
230	0.002973	0.001504	0.002229	0.003399	0.004272	0.005030	0.008182	0.004827	0.002287	0.082997	0.055288	0.029311	0.019573	0.001325	0.004391	0.000815	0.001325	0.931775	0.006846	-78706.154
240	0.002578	0.001972	0.003328	0.002377	0.003324	0.004644	0.002207	0.003883	0.004970	0.087240	0.048455	0.026501	0.017033	0.004284	0.004391	0.002904	0.004284	0.536056	0.076030	-78960.200
250	0.002633	0.002153	0.002646	0.004450	0.002813	0.001469	0.002474	0.003664	0.002956	0.087839	0.048787	0.026095	0.016684	0.002765	0.004421	0.001629	0.002765	0.736794	0.014006	-78799.984
260	0.002234	0.001888	0.004126	0.008433	0.002517	0.005540	0.001800	0.007258	0.004271	0.089590	0.051313	0.026616	0.008330	0.004171	0.004509	0.003873	0.004171	0.766380	0.094140	-78776.165
270	0.001982	0.001721	0.004097	0.003271	0.002294	0.002475	0.005387	0.002880	0.003085	0.089057	0.046767	0.024258	0.013170	0.004030	0.004110	0.003073	0.004030	0.671634	0.058907	-78717.732
280	0.002129	0.002119	0.007570	0.003400	0.003070	0.003998	0.003797	0.006652	0.003499	0.090580	0.043206	0.026495	0.013673	0.003912	0.004267	0.000431	0.003912	0.799648	0.127774	-78328.143
290	0.001646	0.001305	0.008260	0.004201	0.009247	0.001766	0.006096	0.001733	0.015680	0.090576	0.037863	0.023218	0.010809	0.003061	0.003739	0.001890	0.003061	0.687833	0.005266	-78612.474
300	0.001285	0.001365	0.004907	0.003056	0.002118	0.001554	0.002028	0.006530	0.024155	0.101670	0.036704	0.021296	0.013331	0.000831	0.003787	0.001818	0.000831	0.904359	0.073895	-78482.748
310	0.001746	0.002152	0.004547	0.006255	0.005229	0.001954	0.005119	0.004649	0.004002	0.082047	0.036015	0.021457	0.009130	0.000772	0.003716	0.002298	0.000772	0.739904	0.068572	-78523.183
320	0.003932	0.003113	0.008587	0.002744	0.006666	0.002316	0.004147	0.004529	0.006663	0.082984	0.038653	0.019151	0.011192	0.002903	0.004206	0.003257	0.002903	0.786780	0.003970	-78501.143
330	0.001848	0.003051	0.009592	0.003876	0.002113	0.001725	0.003229	0.002320	0.002565	0.097298	0.045320	0.022455	0.013126	0.003531	0.006849	0.005687	0.003531	0.651114	0.068776	-78685.388
340	0.001595	0.002840	0.004413	0.004580	0.004061	0.001785	0.009365	0.001622	0.002041	0.077270	0.041534	0.029058	0.007700	0.004976	0.006277	0.002580	0.004976	0.732984	0.086699	-78294.673
