Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.003641	0.006476	0.003996	0.002433	0.008247	0.003031	0.019866	0.007893	0.005534	0.004733	0.002650	0.003474	0.000387	0.464242	-106653.928
20	0.003448	0.003658	0.003670	0.002500	0.006728	0.004815	0.004471	0.005361	0.004190	0.003319	0.001887	0.001543	0.000045	0.822346	-107450.849
30	0.002385	0.002285	0.005871	0.002545	0.003309	0.005049	0.002281	0.003708	0.002929	0.002017	0.000731	0.001968	0.000031	0.832175	-110644.502
40	0.002559	0.011840	0.003011	0.005957	0.003312	0.004335	0.002687	0.008802	0.005804	0.004994	0.001781	0.004555	0.000057	0.832175	-108893.434
50	0.002296	0.007111	0.003327	0.002793	0.002603	0.002534	0.003511	0.006962	0.004643	0.003908	0.001822	0.003861	0.000769	0.804475	-112124.757
60	0.002175	0.003822	0.004066	0.002924	0.006654	0.002127	0.001811	0.008484	0.006587	0.004758	0.003252	0.003037	0.001434	0.847299	-108687.385
70	0.002912	0.006588	0.003534	0.004687	0.005450	0.003459	0.002937	0.011360	0.009196	0.006371	0.004545	0.005706	0.004020	0.699230	-103173.348
80	0.002520	0.006043	0.003409	0.008433	0.005419	0.002321	0.004421	0.008849	0.006831	0.004426	0.004127	0.003511	0.001981	0.785702	-103960.161
90	0.002131	0.004800	0.006612	0.001324	0.004201	0.008326	0.004179	0.007631	0.006837	0.003817	0.003694	0.003627	0.000152	0.935319	-104602.756
100	0.002204	0.010846	0.008428	0.002538	0.003360	0.006031	0.002353	0.007533	0.006033	0.003768	0.003576	0.001308	0.000081	0.922977	-109684.520
110	0.001663	0.004842	0.006054	0.005856	0.003127	0.002862	0.006461	0.006149	0.004925	0.003142	0.002112	0.001751	0.000490	0.763887	-107096.140
120	0.001440	0.004628	0.007934	0.003237	0.003205	0.004894	0.008428	0.004381	0.003461	0.002510	0.002456	0.000847	0.000730	0.961357	-103274.723
130	0.003640	0.009209	0.011326	0.002361	0.006583	0.005889	0.003452	0.011070	0.009390	0.006361	0.006207	0.003208	0.002546	0.953986	-103615.643
140	0.001809	0.008217	0.005044	0.011989	0.003744	0.005782	0.003789	0.004930	0.004215	0.002833	0.001454	0.000919	0.000847	0.932976	-107955.096
150	0.002842	0.006880	0.011375	0.002935	0.010866	0.007939	0.002162	0.006179	0.005618	0.003961	0.002955	0.001287	0.000226	0.886500	-108767.439
160	0.003319	0.008558	0.006523	0.012397	0.003313	0.019535	0.001732	0.006243	0.005510	0.004994	0.001005	0.002870	0.000104	0.772855	-106289.103
170	0.004109	0.005204	0.008919	0.006136	0.003001	0.008276	0.001764	0.007729	0.007332	0.005982	0.005002	0.004670	0.004389	0.514898	-106185.447
180	0.002876	0.003290	0.006128	0.008702	0.003229	0.003360	0.007016	0.005410	0.004518	0.004198	0.003802	0.002682	0.001077	0.704223	-105012.863
190	0.003357	0.003599	0.005786	0.006527	0.004802	0.002367	0.006640	0.006314	0.005290	0.005254	0.004284	0.004621	0.001327	0.794356	-104428.346
200	0.006700	0.004267	0.005966	0.003026	0.017470	0.002680	0.016197	0.008649	0.007327	0.007272	0.006621	0.006897	0.003927	0.349437	-100513.313
