Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.006224	0.002856	0.001056	0.003842	0.002920	0.008391	0.006225	0.077796	0.045382	0.020147	0.016337	0.014552	0.009768	0.032081	-83381.877
20	0.014380	0.002771	0.001460	0.006528	0.017596	0.007038	0.005397	0.093026	0.054875	0.024091	0.017586	0.014162	0.005389	0.016884	-84081.835
30	0.007371	0.001690	0.001209	0.003188	0.011400	0.007995	0.004072	0.077005	0.054539	0.019942	0.011077	0.014141	0.009188	0.302966	-84279.164
40	0.014222	0.001685	0.001209	0.003038	0.003964	0.013080	0.002231	0.070403	0.037981	0.018232	0.013014	0.014976	0.006555	0.071071	-82664.373
50	0.014848	0.002281	0.001999	0.002996	0.003385	0.003804	0.003354	0.086479	0.044410	0.021266	0.018556	0.018002	0.005918	0.155176	-82371.536
60	0.015432	0.002422	0.001614	0.003168	0.003728	0.004456	0.002626	0.069812	0.030488	0.017167	0.014391	0.010595	0.009203	0.095633	-84466.763
70	0.037794	0.002165	0.001527	0.010405	0.002543	0.004163	0.002900	0.095512	0.046059	0.024483	0.022910	0.022548	0.011910	0.253629	-84004.692
80	0.031524	0.002137	0.001924	0.010183	0.007455	0.007295	0.005376	0.108701	0.045891	0.024560	0.020226	0.020514	0.015694	0.448497	-84577.223
90	0.014198	0.001450	0.002205	0.003184	0.004463	0.007230	0.002586	0.085864	0.033108	0.019400	0.016320	0.017995	0.006276	0.757522	-83473.252
100	0.017720	0.001788	0.002996	0.008012	0.008299	0.003222	0.001257	0.111152	0.042484	0.023822	0.020012	0.015423	0.007084	0.784301	-82910.682
110	0.016305	0.001127	0.001944	0.003160	0.002932	0.002354	0.006407	0.064132	0.025436	0.013745	0.009626	0.011786	0.007271	0.267022	-84411.183
120	0.011359	0.001474	0.002064	0.003917	0.002989	0.003679	0.002661	0.083889	0.033271	0.018350	0.014366	0.015327	0.013744	0.548197	-83807.742
130	0.016550	0.003045	0.002119	0.002595	0.004650	0.006767	0.002109	0.122396	0.042246	0.028293	0.025026	0.013677	0.005368	0.561070	-83488.458
140	0.013249	0.002608	0.002306	0.004073	0.003597	0.005044	0.002694	0.104838	0.036186	0.023254	0.014929	0.007824	0.001439	0.693516	-83492.200
150	0.007730	0.002998	0.002848	0.004999	0.003125	0.004901	0.002598	0.126127	0.036763	0.019479	0.011234	0.006710	0.004832	0.584213	-83525.825
160	0.004836	0.002494	0.002793	0.001975	0.005678	0.004075	0.013671	0.081016	0.030576	0.016201	0.013494	0.004183	0.002995	0.835351	-84067.575
170	0.002135	0.002869	0.003493	0.007810	0.001884	0.001945	0.006840	0.096605	0.036459	0.019318	0.016020	0.016622	0.012980	0.890989	-82311.197
180	0.002970	0.001488	0.003883	0.012362	0.007640	0.004941	0.003311	0.095575	0.048433	0.021479	0.020082	0.017025	0.015404	0.900977	-85474.114
190	0.002398	0.001587	0.004608	0.004981	0.003977	0.004671	0.004443	0.113423	0.057477	0.025490	0.023831	0.016316	0.015184	0.747021	-82876.968
200	0.002154	0.001319	0.005078	0.002646	0.002119	0.003900	0.003981	0.071145	0.036053	0.015989	0.014753	0.009531	0.008418	0.381130	-85115.436
210	0.002938	0.001933	0.005629	0.006039	0.003718	0.007590	0.003856	0.097033	0.049172	0.021807	0.017826	0.014729	0.008649	0.206398	-83128.516
220	0.001980	0.001621	0.005760	0.005926	0.003185	0.005023	0.006224	0.124794	0.050315	0.022314	0.017710	0.018517	0.012984	0.384993	-82732.682
230	0.001544	0.001475	0.004635	0.002494	0.031529	0.003493	0.002829	0.115431	0.035868	0.017956	0.012462	0.009215	0.007659	0.026979	-82072.791
240	0.002540	0.001036	0.003401	0.001482	0.007464	0.005139	0.001661	0.086108	0.030820	0.017013	0.013954	0.009716	0.006573	0.176400	-83589.389
250	0.004253	0.001143	0.002593	0.004865	0.003037	0.002415	0.003423	0.065633	0.023492	0.012968	0.009703	0.011294	0.006284	0.106529	-82668.365
260	0.003794	0.001530	0.001905	0.024214	0.004877	0.004419	0.006021	0.095502	0.031443	0.017357	0.016159	0.015496	0.009086	0.207040	-82867.667
270	0.002463	0.001140	0.001599	0.013184	0.003571	0.006788	0.008213	0.092927	0.033843	0.016889	0.012778	0.010178	0.008737	0.400511	-83443.848
280	0.002375	0.001220	0.001473	0.005585	0.001297	0.002818	0.002726	0.076495	0.026027	0.012781	0.009609	0.009627	0.006637	0.267880	-83758.366
290	0.005392	0.001469	0.001758	0.003548	0.005367	0.002039	0.006676	0.079980	0.036430	0.018653	0.017563	0.012542	0.008459	0.549312	-82743.655
300	0.006371	0.001736	0.002819	0.008019	0.003957	0.004174	0.001391	0.094502	0.043044	0.022040	0.021536	0.019862	0.018756	0.786983	-84075.874
310	0.007186	0.001992	0.002562	0.025094	0.002848	0.010557	0.002840	0.085905	0.039128	0.020035	0.019697	0.016771	0.009417	0.625152	-82983.556
320	0.003812	0.001897	0.001683	0.020759	0.003857	0.002189	0.002001	0.081809	0.033859	0.017337	0.017044	0.016038	0.007740	0.742289	-82938.783
330	0.003641	0.002117	0.002495	0.005164	0.004500	0.004980	0.006646	0.091275	0.037777	0.019343	0.019220	0.017808	0.017035	0.680165	-83822.710
