Gen	theta_6PmunDintDcelDludDgol	theta_7DintDcelDludDgol	theta_8DcelDludDgol	theta_9DludDgol	tau_6PmunDintDcelDludDgol	tau_7DintDcelDludDgol	tau_8DcelDludDgol	tau_9DludDgol	lnL
10	0.007631	0.001898	0.002961	0.001915	0.014674	0.008136	0.005968	0.002129	-105255.100
20	0.004671	0.001874	0.001811	0.001784	0.016523	0.008046	0.005900	0.003273	-101764.798
30	0.008209	0.003004	0.002547	0.002988	0.026488	0.012898	0.010185	0.004258	-101839.261
40	0.008352	0.001527	0.002435	0.003496	0.029760	0.014973	0.009540	0.001853	-100346.047
50	0.004031	0.002332	0.002168	0.001727	0.033944	0.016657	0.010015	0.003306	-103768.270
60	0.002913	0.006448	0.002514	0.003520	0.039352	0.022123	0.016050	0.003130	-98871.552
70	0.002249	0.005691	0.003226	0.001737	0.034200	0.019787	0.014692	0.002865	-104445.044
80	0.002896	0.009881	0.004894	0.003388	0.047792	0.026983	0.020035	0.002731	-96188.482
90	0.001863	0.003312	0.004961	0.001124	0.030738	0.017355	0.013185	0.002687	-99059.793
100	0.001626	0.004923	0.003688	0.002453	0.028816	0.015790	0.010932	0.001082	-103168.826
110	0.002851	0.004473	0.002218	0.003964	0.033160	0.018170	0.012580	0.001245	-102842.016
120	0.002652	0.005553	0.001822	0.001432	0.023264	0.012747	0.007873	0.002265	-99704.974
130	0.005149	0.013473	0.002881	0.003003	0.036131	0.019723	0.015169	0.002606	-101081.341
140	0.002272	0.002966	0.002683	0.001212	0.011045	0.007048	0.005307	0.000778	-106614.588
150	0.003343	0.003955	0.002062	0.001274	0.013423	0.008666	0.006871	0.001072	-105571.181
160	0.007898	0.003854	0.004820	0.001955	0.013183	0.008512	0.006194	0.001099	-109369.724
170	0.005263	0.006542	0.003764	0.001154	0.009011	0.007098	0.004077	0.000705	-110921.530
180	0.005112	0.002298	0.002640	0.002449	0.010388	0.008911	0.005427	0.000793	-103972.657
190	0.005398	0.006330	0.002649	0.001728	0.012004	0.009971	0.006443	0.000932	-107560.066
200	0.003270	0.005006	0.002614	0.002187	0.009388	0.006698	0.004561	0.000807	-104158.427
210	0.004450	0.007260	0.008595	0.002671	0.012778	0.010052	0.004613	0.001224	-100771.673
220	0.004446	0.006054	0.008504	0.003080	0.012766	0.010468	0.006618	0.000809	-105683.940
230	0.001284	0.001769	0.002072	0.001669	0.002790	0.002315	0.001755	0.000176	-106505.457
240	0.001690	0.004360	0.002739	0.004204	0.008119	0.007047	0.005220	0.000512	-106798.242
250	0.002414	0.002969	0.005192	0.002930	0.005310	0.005037	0.002096	0.000335	-107242.928
260	0.003622	0.013611	0.003812	0.003660	0.007968	0.005563	0.003657	0.000350	-105972.078
270	0.004398	0.018153	0.006024	0.002723	0.009676	0.007032	0.004759	0.000450	-108835.502
280	0.004186	0.026257	0.002357	0.002464	0.008178	0.005053	0.003645	0.000381	-103991.577
290	0.002864	0.006195	0.006317	0.001312	0.005085	0.003820	0.001432	0.000276	-105671.228
300	0.003720	0.007810	0.004010	0.002989	0.006604	0.004961	0.001573	0.000126	-108705.000
310	0.004164	0.003470	0.009770	0.004326	0.006453	0.004847	0.001537	0.000122	-107225.915
320	0.001867	0.003889	0.005595	0.002597	0.003543	0.002026	0.000918	0.000067	-111070.205
330	0.002262	0.005093	0.003231	0.001698	0.003587	0.002237	0.000795	0.000119	-110094.582
340	0.002791	0.002284	0.002654	0.002735	0.005840	0.004743	0.002197	0.000192	-105971.145
350	0.002406	0.002944	0.003855	0.001253	0.006539	0.005079	0.003027	0.000211	-106216.108
360	0.005030	0.001765	0.002093	0.002057	0.007701	0.005921	0.002462	0.000242	-102713.838
370	0.008659	0.002991	0.004262	0.003055	0.017596	0.011351	0.005009	0.000554	-106234.844
380	0.007623	0.002713	0.001980	0.001298	0.010574	0.006821	0.002170	0.000333	-107525.495
390	0.008402	0.001910	0.001691	0.002127	0.009783	0.006096	0.002016	0.000297	-104957.838
400	0.012838	0.003522	0.002566	0.003837	0.013119	0.007939	0.002435	0.000763	-107043.109
410	0.005541	0.001907	0.002662	0.002997	0.010192	0.008050	0.001893	0.001176	-108013.199
420	0.003586	0.002039	0.003532	0.004440	0.010192	0.007651	0.001893	0.001329	-107750.836
430	0.002079	0.001763	0.004956	0.004885	0.006999	0.005130	0.001256	0.001243	-105372.235
440	0.008912	0.003828	0.007828	0.003114	0.014729	0.010548	0.002644	0.002565	-105811.961
450	0.002695	0.001323	0.002442	0.004477	0.005052	0.004044	0.000907	0.000401	-106342.586
460	0.006742	0.003398	0.005231	0.005076	0.009302	0.005812	0.001670	0.000829	-105949.352
470	0.003655	0.002231	0.002888	0.002988	0.003811	0.001743	0.000684	0.000222	-109307.996
480	0.004693	0.002264	0.003075	0.002093	0.004256	0.001791	0.000784	0.000395	-112539.146
490	0.007020	0.006409	0.002685	0.002935	0.010856	0.004604	0.003873	0.002392	-102095.059
500	0.003345	0.002065	0.002769	0.006385	0.003785	0.001605	0.001190	0.000216	-107629.361
510	0.011497	0.004396	0.004023	0.003603	0.008059	0.003417	0.002887	0.002402	-99044.817
520	0.003304	0.003420	0.002266	0.011524	0.004593	0.001948	0.001483	0.000139	-103308.054
530	0.002625	0.003812	0.006973	0.001988	0.005120	0.002171	0.001397	0.001049	-109670.084
540	0.003052	0.005107	0.004532	0.005975	0.004252	0.001857	0.001286	0.000395	-109322.707
550	0.005546	0.002739	0.011664	0.003930	0.004436	0.003432	0.000843	0.000420	-103924.119
560	0.005058	0.002279	0.005827	0.004929	0.003643	0.002792	0.000598	0.000331	-105315.234
570	0.007684	0.003040	0.009728	0.002460	0.005127	0.004125	0.000842	0.000747	-103895.872
580	0.005148	0.006473	0.005236	0.002973	0.003979	0.001807	0.000557	0.000495	-107458.120
590	0.005324	0.003123	0.012946	0.004679	0.007339	0.004859	0.000970	0.000727	-101617.309
600	0.008033	0.001955	0.006137	0.004635	0.005107	0.003684	0.000675	0.000575	-102807.285
610	0.007289	0.002120	0.004601	0.007141	0.006741	0.003731	0.000922	0.000746	-105377.105
620	0.006159	0.001116	0.005196	0.005867	0.004930	0.003529	0.000674	0.000652	-106023.852
630	0.005829	0.001838	0.006201	0.003224	0.004291	0.002384	0.000590	0.000448	-107800.435
640	0.005948	0.002060	0.009976	0.006175	0.004766	0.002630	0.000635	0.000568	-112800.958
650	0.003845	0.002400	0.003506	0.003680	0.003838	0.001622	0.000511	0.000349	-111200.377
660	0.006292	0.003610	0.003362	0.002689	0.005168	0.001982	0.000926	0.000538	-106137.093
670	0.017722	0.007572	0.008392	0.008212	0.010698	0.004374	0.002155	0.002006	-108397.555
680	0.006428	0.003365	0.002808	0.004451	0.002796	0.001107	0.000536	0.000263	-110458.601
690	0.012619	0.003891	0.003880	0.003141	0.004619	0.001829	0.001049	0.000463	-108982.636
700	0.027943	0.003437	0.006537	0.001703	0.009331	0.003669	0.002621	0.002524	-105049.867
710	0.008516	0.001760	0.002271	0.002668	0.003217	0.001265	0.000887	0.000811	-107633.150
720	0.013191	0.003053	0.001805	0.001729	0.004517	0.001776	0.001246	0.001138	-104937.221
730	0.009440	0.002316	0.003353	0.003592	0.003427	0.001347	0.000826	0.000686	-104660.540
740	0.011306	0.003344	0.009757	0.004350	0.004948	0.001945	0.001359	0.000726	-99110.737
750	0.023705	0.006031	0.006262	0.003902	0.009058	0.003779	0.002757	0.001945	-102611.827
760	0.016581	0.002401	0.002314	0.003033	0.005712	0.002383	0.001886	0.001572	-106097.808
770	0.011479	0.002212	0.001561	0.003616	0.005262	0.002196	0.001956	0.001854	-103098.935
780	0.024882	0.007368	0.003996	0.002147	0.012207	0.005093	0.004548	0.004453	-103121.619
790	0.016043	0.002048	0.002420	0.003873	0.006305	0.002848	0.002324	0.002222	-99680.976
800	0.017760	0.002828	0.003197	0.007619	0.008709	0.003934	0.003210	0.002420	-103450.496
810	0.014521	0.003158	0.002428	0.002989	0.009723	0.004392	0.003897	0.003551	-103437.264
820	0.008752	0.001594	0.002764	0.003160	0.004909	0.002217	0.001856	0.001507	-105111.688
830	0.005733	0.001393	0.004498	0.010171	0.004288	0.001937	0.001483	0.000513	-107566.498
840	0.020228	0.003617	0.009390	0.020625	0.008268	0.004009	0.002701	0.001163	-99691.222
850	0.013812	0.001665	0.001904	0.003560	0.005639	0.002726	0.001852	0.001643	-100069.646
860	0.009726	0.002407	0.001904	0.007115	0.005639	0.002456	0.001852	0.001304	-108116.865
870	0.019309	0.002181	0.003028	0.010761	0.006059	0.003036	0.002198	0.001012	-104075.327
880	0.012350	0.002120	0.001821	0.007464	0.005985	0.003011	0.002354	0.001692	-102843.908
890	0.019969	0.002914	0.003709	0.008521	0.008227	0.004139	0.002695	0.002051	-106397.200
900	0.008987	0.000982	0.003035	0.003891	0.003746	0.002115	0.001227	0.001033	-103702.203
910	0.007517	0.001413	0.002162	0.004128	0.005497	0.003130	0.001801	0.001528	-105399.737
920	0.011424	0.001304	0.003083	0.011247	0.007441	0.004122	0.002131	0.001865	-101514.044
930	0.012035	0.002017	0.008608	0.005589	0.009673	0.005264	0.002892	0.002784	-103008.119
940	0.006640	0.002231	0.004563	0.004213	0.007631	0.003727	0.002914	0.001035	-104569.088
950	0.006276	0.002458	0.004331	0.001545	0.008405	0.004105	0.003471	0.002180	-105926.462
960	0.004854	0.002458	0.006351	0.002900	0.008698	0.004105	0.003576	0.001161	-106854.780
970	0.005112	0.002534	0.004021	0.001544	0.008968	0.004232	0.003854	0.001451	-103328.301
980	0.005227	0.004306	0.005008	0.001690	0.011590	0.005588	0.004769	0.002215	-104760.519
990	0.007064	0.004076	0.004277	0.003043	0.016316	0.007866	0.007165	0.003463	-102684.369
1000	0.008635	0.003130	0.002468	0.003613	0.012529	0.006040	0.005502	0.003729	-102411.105
1010	0.003930	0.002381	0.008397	0.002791	0.009530	0.004594	0.003373	0.002851	-97734.633
1020	0.003543	0.001283	0.005656	0.003428	0.004988	0.002753	0.002401	0.001518	-110503.602
1030	0.003609	0.002098	0.003277	0.008730	0.008154	0.004500	0.004196	0.001383	-107011.974
1040	0.003590	0.002087	0.007107	0.013013	0.008113	0.004478	0.004202	0.002940	-102595.320
1050	0.003363	0.001853	0.009748	0.004225	0.007033	0.003975	0.003633	0.003296	-107319.477
1060	0.002362	0.002357	0.012320	0.002327	0.008947	0.005056	0.004807	0.004193	-109534.475
1070	0.002553	0.001549	0.004555	0.003358	0.005880	0.003323	0.003234	0.002756	-108281.184
1080	0.004190	0.003313	0.001549	0.004223	0.012575	0.007107	0.007035	0.005894	-101600.890
1090	0.004370	0.001499	0.005442	0.001051	0.005691	0.003216	0.003127	0.002808	-105379.870
1100	0.014110	0.005867	0.007037	0.011921	0.020580	0.012587	0.012084	0.006001	-104279.221
1110	0.011160	0.003768	0.002051	0.005637	0.013218	0.008084	0.008062	0.004307	-103616.813
1120	0.003286	0.002183	0.004095	0.002049	0.007611	0.004683	0.004642	0.003376	-110637.646
1130	0.003649	0.002056	0.004563	0.003779	0.009027	0.005399	0.005342	0.001433	-104371.360
1140	0.005620	0.003227	0.007546	0.002962	0.009809	0.005867	0.005750	0.001659	-110474.949
1150	0.007671	0.003736	0.009237	0.001736	0.009729	0.005819	0.005379	0.003864	-109228.920
1160	0.007251	0.003634	0.003449	0.002370	0.006698	0.004006	0.003978	0.001709	-106044.676
1170	0.005721	0.005533	0.003434	0.003489	0.004854	0.002903	0.002883	0.000610	-107508.464
1180	0.004335	0.006908	0.005946	0.003290	0.004508	0.002701	0.002682	0.000539	-102285.036
1190	0.003940	0.006401	0.002487	0.005616	0.004508	0.002701	0.002682	0.000526	-105508.474
1200	0.004641	0.006430	0.003274	0.002625	0.004912	0.002943	0.002922	0.000982	-105825.768
1210	0.004592	0.005519	0.003806	0.004221	0.004934	0.002943	0.002922	0.000721	-105443.368
1220	0.006042	0.005465	0.003898	0.003488	0.004934	0.002943	0.002804	0.000581	-106883.938
1230	0.005185	0.010606	0.016851	0.001846	0.006201	0.003665	0.003588	0.001748	-104901.888
1240	0.006669	0.009061	0.003220	0.004537	0.005540	0.003274	0.003202	0.002480	-108957.022
1250	0.002458	0.007837	0.003059	0.008034	0.004344	0.002527	0.002018	0.001318	-109130.045
1260	0.002132	0.002337	0.004519	0.010141	0.003768	0.003086	0.001439	0.000386	-108582.817
1270	0.001288	0.002312	0.005181	0.002336	0.004547	0.004125	0.001736	0.001703	-108725.052
1280	0.001811	0.003358	0.007501	0.007691	0.008359	0.007339	0.003192	0.003087	-103112.436
1290	0.002400	0.010230	0.009586	0.002282	0.011079	0.008245	0.004231	0.004001	-101109.278
1300	0.002429	0.003501	0.006146	0.002475	0.013111	0.011182	0.004864	0.004601	-103377.165
1310	0.002793	0.003058	0.003008	0.003260	0.010402	0.007186	0.004733	0.001388	-106411.453
1320	0.004296	0.005289	0.003438	0.006478	0.011224	0.007679	0.005645	0.000918	-102135.248
1330	0.002430	0.003207	0.003871	0.003680	0.010347	0.006934	0.004556	0.002356	-99846.635
1340	0.002345	0.005488	0.009105	0.003999	0.010427	0.008092	0.005202	0.002917	-98188.773
1350	0.002665	0.004125	0.047512	0.005921	0.011097	0.008755	0.003760	0.002764	-102628.855
1360	0.001471	0.001848	0.018600	0.004933	0.006125	0.004012	0.002216	0.000412	-106579.677
1370	0.002078	0.002125	0.011957	0.005429	0.007636	0.005191	0.002700	0.000605	-108088.067
1380	0.003444	0.002813	0.009290	0.004419	0.011187	0.006712	0.004095	0.001117	-99831.850
1390	0.004850	0.002679	0.003959	0.008212	0.010897	0.006566	0.005316	0.000586	-103642.905
1400	0.002684	0.001496	0.002352	0.001725	0.006827	0.004292	0.002643	0.001865	-104167.571
1410	0.002376	0.001864	0.006264	0.003605	0.010999	0.007849	0.004346	0.002130	-110030.388
1420	0.001342	0.001530	0.003178	0.004142	0.011121	0.008655	0.006235	0.001854	-99672.462
1430	0.001723	0.003457	0.004672	0.003585	0.020664	0.015795	0.012008	0.005071	-103030.950
1440	0.002376	0.005448	0.004380	0.002522	0.028485	0.020284	0.016898	0.013557	-100679.964
1450	0.002376	0.002558	0.003442	0.001798	0.028485	0.024109	0.016637	0.014417	-100206.895
1460	0.002790	0.003531	0.006567	0.002439	0.033455	0.026930	0.019038	0.014664	-100342.921
1470	0.001328	0.006981	0.004436	0.003315	0.020702	0.014503	0.010138	0.004930	-103086.169
1480	0.001077	0.002580	0.007043	0.004666	0.016794	0.011927	0.009482	0.005030	-103934.620
1490	0.001198	0.002142	0.004386	0.003324	0.013945	0.009904	0.008685	0.004935	-103908.917
1500	0.001144	0.001708	0.008137	0.006360	0.020112	0.015697	0.012887	0.006728	-102257.362
1510	0.000844	0.001907	0.003207	0.005159	0.014837	0.010877	0.009384	0.004801	-97064.004
1520	0.000901	0.002453	0.003806	0.004871	0.015854	0.011622	0.010027	0.006937	-102015.469
1530	0.001101	0.001625	0.004954	0.005917	0.015491	0.011356	0.009512	0.006958	-105518.994
1540	0.001334	0.001418	0.012738	0.002559	0.018768	0.013758	0.011153	0.009669	-107985.481
1550	0.002171	0.001795	0.016655	0.006389	0.023753	0.017412	0.014013	0.009730	-101246.504
1560	0.001464	0.001134	0.006465	0.004704	0.015000	0.010996	0.009071	0.002939	-100689.406
1570	0.001709	0.001280	0.009666	0.002438	0.013641	0.010109	0.007605	0.003107	-101448.581
1580	0.001789	0.001402	0.011950	0.004636	0.016656	0.011829	0.008354	0.001720	-100731.338
1590	0.002240	0.001270	0.010753	0.004065	0.020856	0.014811	0.009726	0.002914	-101035.819
1600	0.002240	0.001270	0.010542	0.002207	0.020856	0.014811	0.011819	0.006455	-101239.730
1610	0.002465	0.000932	0.010956	0.002081	0.017752	0.012921	0.010638	0.005428	-103830.921
1620	0.002752	0.000982	0.013409	0.002456	0.018697	0.013609	0.011580	0.003470	-100764.583
1630	0.006015	0.002022	0.006273	0.006944	0.025066	0.018246	0.017455	0.003613	-101161.872
1640	0.004136	0.001316	0.003329	0.001910	0.017399	0.011872	0.011358	0.006850	-106048.492
1650	0.007117	0.001853	0.003920	0.001510	0.024496	0.016715	0.015991	0.011158	-97685.578
1660	0.008643	0.003418	0.012056	0.002932	0.029305	0.021693	0.020754	0.008485	-99037.819
1670	0.005686	0.002298	0.002303	0.001420	0.021368	0.015515	0.014961	0.006120	-101860.385
1680	0.005312	0.004474	0.004164	0.002315	0.034847	0.025301	0.024399	0.009980	-104438.707
1690	0.004522	0.004930	0.002269	0.003690	0.019541	0.014188	0.013682	0.003609	-98600.707
1700	0.005719	0.002943	0.003847	0.002100	0.024984	0.018109	0.017493	0.010331	-104534.859
1710	0.004534	0.002941	0.006817	0.002640	0.024969	0.018098	0.017483	0.004906	-103695.698
1720	0.006982	0.002739	0.002118	0.002440	0.023251	0.016853	0.016280	0.004602	-104624.671
1730	0.002970	0.003102	0.011814	0.003701	0.026331	0.019085	0.018436	0.005212	-106770.359
1740	0.003400	0.004031	0.005212	0.002280	0.032284	0.023400	0.022604	0.007751	-106464.800
1750	0.003754	0.008759	0.007181	0.004575	0.064245	0.046567	0.044982	0.030338	-100680.863
1760	0.003382	0.003981	0.003672	0.002917	0.042024	0.030460	0.026773	0.014046	-101678.241
1770	0.003292	0.006328	0.005707	0.002650	0.027311	0.019462	0.017400	0.010126	-98745.316
1780	0.001297	0.008799	0.002979	0.001596	0.016447	0.011720	0.010130	0.006098	-105897.290
1790	0.001227	0.007653	0.005829	0.004744	0.015554	0.011431	0.009580	0.001149	-103612.472
1800	0.001936	0.003700	0.004631	0.004957	0.025845	0.023176	0.012305	0.001924	-102954.845
1810	0.006661	0.004123	0.005160	0.012974	0.057497	0.054170	0.039492	0.002919	-102729.172
1820	0.001940	0.002834	0.001593	0.003371	0.018370	0.017160	0.007917	0.000834	-101566.220
1830	0.002072	0.003678	0.001085	0.002844	0.011720	0.008286	0.005054	0.000532	-106026.121
1840	0.003333	0.005490	0.001746	0.003657	0.018852	0.014419	0.008129	0.000856	-98777.063
