Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10k	theta_11u	theta_12j	theta_13l	theta_14j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10k	tau_11u	tau_12j	tau_13l	phi_j<-i	phi_l<-k	lnL
10	0.169675	0.007806	0.021834	0.003805	0.002435	0.001723	0.007199	0.002816	0.003509	0.024154	0.019788	0.010130	0.003528	0.002145	0.003619	0.002735	0.002145	0.477400	0.023694	-75737.696
20	0.163197	0.008274	0.036862	0.004875	0.010075	0.001320	0.006926	0.005568	0.004997	0.025602	0.020974	0.010085	0.003520	0.003464	0.003836	0.002523	0.003464	0.630323	0.033380	-75709.302
30	0.150268	0.007741	0.015842	0.006029	0.002405	0.002340	0.004898	0.006732	0.001437	0.023584	0.019104	0.011129	0.003226	0.002668	0.003344	0.002304	0.002668	0.630628	0.019826	-75697.717
40	0.181937	0.014492	0.012195	0.003589	0.006040	0.001157	0.002871	0.002761	0.001547	0.024773	0.016035	0.010690	0.003585	0.001219	0.005371	0.003437	0.001219	0.737635	0.069896	-75820.082
50	0.187782	0.018891	0.010963	0.003903	0.005523	0.004392	0.002542	0.004281	0.002738	0.026940	0.016675	0.012900	0.003899	0.001312	0.004504	0.003324	0.001312	0.476038	0.045477	-75647.599
60	0.157269	0.008339	0.032376	0.004710	0.009758	0.002876	0.001436	0.003704	0.001936	0.028823	0.023313	0.010917	0.004257	0.000676	0.005541	0.001620	0.000676	0.517294	0.055227	-75675.195
70	0.169919	0.007019	0.016162	0.007361	0.003640	0.003685	0.006054	0.007771	0.012556	0.024853	0.020112	0.011776	0.003267	0.001920	0.004101	0.000704	0.001920	0.418906	0.009097	-75698.461
80	0.110582	0.006129	0.011048	0.007962	0.001960	0.002997	0.004711	0.007470	0.016860	0.023974	0.019334	0.011360	0.003073	0.000681	0.003626	0.002438	0.000681	0.530671	0.009097	-75754.536
90	0.160753	0.007971	0.025848	0.005887	0.004612	0.005937	0.026385	0.002181	0.003649	0.024581	0.019504	0.011949	0.003154	0.001162	0.003037	0.000458	0.001162	0.687289	0.027309	-75671.443
100	0.107214	0.006249	0.016677	0.005887	0.003202	0.004203	0.004365	0.001301	0.000979	0.024581	0.021307	0.011949	0.003154	0.002747	0.003037	0.001996	0.002747	0.671838	0.043756	-75753.537
110	0.174352	0.004152	0.028602	0.008780	0.003398	0.002962	0.003093	0.002759	0.003281	0.024382	0.021135	0.008777	0.003615	0.001856	0.003228	0.003076	0.001856	0.717093	0.077414	-75691.619
120	0.195657	0.004699	0.017728	0.007291	0.002784	0.003054	0.003694	0.004209	0.002006	0.023810	0.021041	0.009919	0.002441	0.002262	0.003152	0.002037	0.002262	0.494271	0.054798	-75739.480
130	0.228060	0.005820	0.035125	0.010863	0.002856	0.002103	0.004361	0.019916	0.001339	0.024430	0.020699	0.011146	0.002308	0.001435	0.003234	0.002057	0.001435	0.587719	0.032194	-75840.654
140	0.210803	0.005257	0.015903	0.009245	0.004026	0.003065	0.003841	0.002699	0.007193	0.020791	0.017456	0.010640	0.001964	0.001713	0.002422	0.001692	0.001713	0.556656	0.193347	-75724.962
150	0.170648	0.008433	0.012098	0.003774	0.006518	0.004487	0.003160	0.016484	0.001566	0.020915	0.015708	0.012042	0.001976	0.000261	0.002337	0.001468	0.000261	0.577183	0.054260	-75781.549
160	0.147561	0.010856	0.014699	0.003062	0.003900	0.007562	0.011487	0.002490	0.004218	0.022022	0.017059	0.009304	0.002009	0.001936	0.002376	0.001532	0.001936	0.549758	0.054260	-75730.261
170	0.140975	0.014839	0.014339	0.001395	0.002609	0.004918	0.004230	0.002988	0.004091	0.020925	0.016209	0.009632	0.001909	0.001806	0.002919	0.000973	0.001806	0.478134	0.080753	-75607.323
180	0.135499	0.011072	0.022549	0.001395	0.004775	0.006258	0.002792	0.003260	0.003261	0.020545	0.015620	0.010327	0.001909	0.001363	0.002919	0.001518	0.001363	0.353397	0.017899	-75699.610
190	0.142601	0.006267	0.023030	0.001368	0.003131	0.007515	0.001666	0.004679	0.001387	0.020150	0.018168	0.010128	0.001872	0.001612	0.003187	0.000531	0.001612	0.538721	0.017899	-75784.749
200	0.179332	0.002775	0.035287	0.001488	0.004077	0.004761	0.003457	0.003377	0.010354	0.021920	0.020168	0.009793	0.002036	0.000821	0.004697	0.000272	0.000821	0.408756	0.017899	-75655.098
210	0.201281	0.003148	0.017888	0.001688	0.003686	0.003873	0.003357	0.010797	0.001602	0.024864	0.022876	0.009441	0.002310	0.001131	0.004016	0.001254	0.001131	0.470654	0.017899	-75613.739
220	0.194742	0.003297	0.026433	0.001094	0.003233	0.004613	0.002558	0.024285	0.009314	0.026038	0.023956	0.009444	0.003100	0.001215	0.003727	0.000312	0.001215	0.511875	0.017899	-75710.426
230	0.192240	0.003481	0.024708	0.001131	0.008914	0.004770	0.004590	0.007840	0.007445	0.026922	0.024770	0.009765	0.003205	0.000344	0.003853	0.000619	0.000344	0.545509	0.017899	-75734.679
240	0.154264	0.003455	0.018280	0.001153	0.003883	0.007228	0.002710	0.003725	0.002876	0.025282	0.023261	0.010931	0.003080	0.000215	0.001880	0.000626	0.000215	0.417200	0.017899	-75667.024
250	0.149871	0.004003	0.022389	0.001045	0.002929	0.004110	0.003525	0.002132	0.004632	0.022925	0.021092	0.007549	0.002793	0.000608	0.001705	0.000132	0.000608	0.480346	0.017899	-75732.610
260	0.116781	0.003721	0.026038	0.000700	0.003612	0.003768	0.001610	0.003007	0.004704	0.021031	0.019349	0.006925	0.003334	0.000167	0.001564	0.000420	0.000167	0.482964	0.017899	-75697.679
270	0.133093	0.003882	0.026085	0.000942	0.001918	0.003930	0.005428	0.001571	0.011060	0.021938	0.020184	0.007946	0.003042	0.000072	0.001632	0.001535	0.000072	0.449175	0.049129	-75614.031
280	0.153799	0.004085	0.014032	0.000991	0.003905	0.005009	0.002380	0.003013	0.003816	0.023089	0.021243	0.008272	0.003202	0.000207	0.001717	0.001674	0.000207	0.668324	0.036792	-75636.602
290	0.186399	0.002329	0.016189	0.001414	0.003209	0.006396	0.003402	0.001350	0.009700	0.023156	0.021314	0.009624	0.002756	0.000216	0.001722	0.000574	0.000216	0.586236	0.021067	-75727.420
300	0.189844	0.002824	0.023682	0.002257	0.006225	0.005688	0.004354	0.001583	0.010136	0.025421	0.023398	0.012495	0.002263	0.000222	0.001891	0.001325	0.000222	0.423858	0.021067	-75723.995
310	0.153890	0.004128	0.011879	0.001824	0.002643	0.004465	0.002355	0.004040	0.007395	0.026123	0.024554	0.012841	0.002326	0.000092	0.001943	0.000577	0.000092	0.465537	0.017240	-75739.887
320	0.145107	0.003761	0.010805	0.001661	0.005912	0.003373	0.000825	0.004606	0.002130	0.023798	0.022368	0.011712	0.002119	0.001270	0.001770	0.001257	0.001270	0.446722	0.109483	-75684.489
330	0.135637	0.003573	0.011471	0.007010	0.005871	0.005314	0.002672	0.008109	0.002295	0.025646	0.024106	0.012776	0.002374	0.001036	0.001907	0.000371	0.001036	0.431051	0.028690	-75784.679
340	0.120746	0.003509	0.028446	0.005249	0.001901	0.004871	0.002967	0.003483	0.003341	0.023507	0.022095	0.009455	0.002693	0.000803	0.001748	0.001449	0.000803	0.589654	0.007858	-75639.425
350	0.142760	0.004092	0.020754	0.004412	0.007570	0.006164	0.007518	0.001281	0.004001	0.024853	0.022997	0.010277	0.003226	0.000844	0.001849	0.001250	0.000844	0.600005	0.007858	-75683.293
360	0.167433	0.004251	0.032840	0.005250	0.031818	0.002575	0.006671	0.001645	0.004595	0.025819	0.023891	0.010676	0.003211	0.002732	0.003078	0.002768	0.002732	0.444866	0.071315	-75649.045
370	0.182155	0.003080	0.026025	0.004192	0.066974	0.002738	0.008751	0.006113	0.002077	0.027459	0.025408	0.010557	0.002594	0.001643	0.003273	0.002066	0.001643	0.555369	0.008380	-75622.923
380	0.149381	0.003117	0.018238	0.004383	0.029455	0.003309	0.003301	0.006105	0.002543	0.027788	0.025712	0.010061	0.002625	0.000927	0.003118	0.002082	0.000927	0.652504	0.008380	-75636.397
390	0.203444	0.004855	0.019763	0.004291	0.011952	0.002558	0.002209	0.008535	0.008782	0.024484	0.022655	0.008865	0.003012	0.002081	0.002747	0.000610	0.002081	0.466768	0.002309	-75697.974
400	0.163912	0.003215	0.023678	0.003385	0.003835	0.002575	0.006049	0.005951	0.025420	0.024484	0.022655	0.008865	0.003571	0.001030	0.002745	0.000401	0.001030	0.583777	0.002309	-75770.307
410	0.170657	0.002849	0.019674	0.002057	0.003166	0.003007	0.002766	0.004572	0.045932	0.021700	0.020079	0.008388	0.004009	0.000390	0.002433	0.000714	0.000390	0.430113	0.002309	-75670.187
420	0.135298	0.002700	0.030840	0.003678	0.003882	0.002034	0.009602	0.001577	0.001581	0.020563	0.019027	0.006476	0.002367	0.002144	0.002315	0.001079	0.002144	0.533282	0.040343	-75676.712
