Gen	theta_6PmunDintDgolDcelDlud	theta_7DintDgolDcelDlud	theta_8DgolDcelDlud	theta_9DcelDlud	tau_6PmunDintDgolDcelDlud	tau_7DintDgolDcelDlud	tau_8DgolDcelDlud	tau_9DcelDlud	lnL
10	0.001480	0.005169	0.005761	0.004067	0.005383	0.003400	0.002687	0.001079	-109340.314
20	0.001666	0.003652	0.001314	0.004191	0.003728	0.002705	0.001969	0.000846	-105706.403
30	0.002460	0.005234	0.001904	0.005968	0.008004	0.005883	0.004339	0.003488	-106415.038
40	0.003082	0.016097	0.002279	0.008242	0.010027	0.007371	0.005547	0.004268	-97726.292
50	0.001973	0.010996	0.001146	0.005282	0.005994	0.004978	0.003532	0.002170	-109150.918
60	0.001943	0.003143	0.001762	0.003550	0.004684	0.004558	0.002858	0.001263	-111668.111
70	0.003201	0.007515	0.003524	0.004008	0.005311	0.005167	0.002221	0.001401	-111074.931
80	0.003201	0.010900	0.001391	0.003061	0.005311	0.004695	0.004166	0.000725	-106284.430
90	0.004406	0.002823	0.006704	0.001598	0.007310	0.007008	0.005396	0.002788	-110122.631
100	0.008991	0.011156	0.007364	0.002882	0.014916	0.014694	0.012443	0.006437	-104683.831
110	0.009635	0.012205	0.007933	0.003019	0.016442	0.016197	0.013264	0.007465	-98118.171
120	0.003197	0.002997	0.003380	0.002422	0.007228	0.007126	0.005736	0.002765	-98574.799
130	0.004478	0.002356	0.009684	0.007054	0.008729	0.008605	0.005614	0.001063	-105116.563
140	0.007468	0.002783	0.006791	0.001842	0.009963	0.009751	0.007487	0.006491	-103786.093
150	0.005349	0.002147	0.006395	0.008506	0.006023	0.005895	0.004526	0.000403	-106981.134
160	0.003285	0.002869	0.006417	0.003747	0.002594	0.002385	0.001838	0.000173	-105366.681
170	0.003743	0.003893	0.005151	0.004520	0.002955	0.002727	0.002094	0.000337	-109063.262
180	0.003639	0.005369	0.008606	0.001977	0.003308	0.002302	0.001731	0.001337	-114132.569
190	0.003717	0.007323	0.005933	0.002445	0.004245	0.003333	0.002964	0.002141	-108073.283
200	0.007419	0.003368	0.012597	0.003571	0.003722	0.003192	0.002177	0.001061	-106587.826
210	0.004896	0.006087	0.007005	0.002969	0.002666	0.001968	0.001714	0.000457	-110617.301
220	0.004083	0.003638	0.003466	0.002657	0.002788	0.002227	0.001596	0.000426	-106350.386
230	0.005143	0.003093	0.003446	0.003520	0.002990	0.002453	0.001267	0.000711	-110318.664
240	0.005143	0.007803	0.004730	0.004073	0.002990	0.002092	0.000990	0.000467	-112051.696
250	0.004339	0.004188	0.005817	0.002160	0.004228	0.003140	0.001846	0.001065	-108817.993
260	0.009125	0.007880	0.008086	0.005090	0.009680	0.006322	0.005220	0.002877	-104496.731
270	0.003200	0.004035	0.003616	0.007889	0.005078	0.003316	0.002983	0.000471	-106070.201
280	0.005410	0.003076	0.003287	0.003459	0.005529	0.003611	0.003580	0.000682	-103376.991
290	0.003674	0.003282	0.002412	0.001665	0.005244	0.003393	0.003364	0.001250	-103292.595
300	0.003430	0.003856	0.002025	0.001884	0.005610	0.003630	0.003598	0.001264	-105718.233
310	0.002997	0.005569	0.003963	0.002511	0.006720	0.004336	0.004002	0.000904	-102970.120
