Gen	theta_6PmunDintDludDcelDgol	theta_7DintDludDcelDgol	theta_8DludDcelDgol	theta_9DcelDgol	tau_6PmunDintDludDcelDgol	tau_7DintDludDcelDgol	tau_8DludDcelDgol	tau_9DcelDgol	lnL
10	0.004315	0.042323	0.008417	0.005340	0.079148	0.014618	0.008205	0.007548	-76601.677
20	0.003634	0.038432	0.010133	0.006194	0.098984	0.018714	0.009879	0.009087	-76487.800
30	0.001885	0.026955	0.022447	0.003076	0.088444	0.016765	0.008850	0.008141	-76771.548
40	0.001695	0.027604	0.012373	0.004643	0.089983	0.018496	0.008850	0.008141	-76630.181
50	0.001833	0.018331	0.014868	0.004347	0.075615	0.018808	0.007732	0.007113	-76650.619
60	0.002678	0.059196	0.013423	0.005564	0.092957	0.023009	0.009485	0.008363	-76517.475
70	0.002121	0.033260	0.018523	0.006164	0.093421	0.020856	0.008597	0.007580	-76601.351
80	0.002072	0.055540	0.013933	0.002690	0.089492	0.016843	0.008307	0.007614	-76478.760
90	0.002290	0.046564	0.013519	0.018097	0.090411	0.023274	0.008711	0.006155	-76657.585
100	0.001942	0.026749	0.017742	0.008687	0.091140	0.023057	0.008152	0.006458	-76401.533
110	0.001656	0.031914	0.019927	0.010940	0.079518	0.019921	0.007043	0.003828	-76464.555
120	0.002355	0.046433	0.022554	0.015343	0.102318	0.018294	0.008133	0.004420	-76502.601
130	0.001652	0.025164	0.018998	0.003707	0.078127	0.020085	0.006433	0.004757	-76587.576
140	0.002137	0.028232	0.017653	0.004740	0.079932	0.019068	0.006348	0.005112	-76389.849
150	0.002345	0.035227	0.024303	0.002332	0.099340	0.019719	0.007537	0.006294	-76534.442
160	0.002164	0.035493	0.023165	0.002125	0.096201	0.026634	0.007139	0.006197	-76582.752
170	0.003738	0.055342	0.014048	0.003943	0.090840	0.018087	0.007052	0.005296	-76488.257
180	0.003284	0.052916	0.016144	0.005536	0.079921	0.014589	0.005863	0.004980	-76475.184
190	0.002759	0.042680	0.015676	0.008219	0.092111	0.014391	0.005863	0.002043	-76500.788
200	0.003759	0.036747	0.011847	0.009688	0.097263	0.017064	0.006952	0.003994	-76540.063
210	0.002325	0.034769	0.010065	0.005876	0.098310	0.018230	0.007571	0.005803	-76626.514
220	0.001837	0.018288	0.017380	0.008214	0.080235	0.023934	0.006085	0.003265	-76459.797
230	0.002236	0.037654	0.023514	0.005710	0.097854	0.024816	0.006803	0.005686	-76762.875
240	0.003612	0.038299	0.021588	0.006876	0.090635	0.017275	0.006164	0.005247	-76605.669
250	0.002970	0.043097	0.023956	0.005120	0.086405	0.016609	0.006164	0.004301	-76453.500
260	0.002340	0.055698	0.016020	0.008286	0.092580	0.014289	0.006384	0.003706	-76359.568
270	0.002388	0.054216	0.011332	0.008366	0.079313	0.012483	0.005414	0.003143	-76354.889
280	0.002663	0.056021	0.017768	0.012618	0.092452	0.014870	0.005701	0.003177	-76363.136
290	0.003706	0.039164	0.019854	0.006386	0.105958	0.017807	0.007653	0.005254	-76444.191
300	0.003410	0.048204	0.018411	0.019988	0.085374	0.019946	0.006492	0.004017	-76591.986
310	0.003571	0.049757	0.013676	0.004167	0.092089	0.014952	0.006733	0.006092	-76620.761
320	0.003463	0.052228	0.008588	0.004879	0.087511	0.012927	0.006247	0.004142	-76630.223
330	0.005003	0.043206	0.022940	0.002926	0.086186	0.016796	0.004958	0.004152	-76664.998
340	0.004042	0.043887	0.017620	0.005201	0.092170	0.019971	0.005135	0.003565	-76625.322
350	0.004416	0.048634	0.015787	0.002861	0.088399	0.013611	0.004600	0.003862	-76519.377
360	0.003449	0.035946	0.013697	0.002546	0.083710	0.015923	0.003991	0.003266	-76277.065
370	0.006739	0.046871	0.019691	0.003074	0.100928	0.020911	0.004543	0.003943	-76847.814
380	0.006365	0.031916	0.038812	0.003478	0.095064	0.027840	0.004566	0.003755	-76687.645
390	0.007289	0.048020	0.028744	0.014287	0.115529	0.021524	0.005514	0.004117	-76644.470
400	0.005649	0.024182	0.026284	0.005218	0.084371	0.019617	0.004574	0.003791	-76378.727
410	0.005763	0.028919	0.021856	0.007432	0.091205	0.026482	0.005116	0.004083	-76624.936
420	0.004032	0.050147	0.020051	0.019490	0.075273	0.015333	0.003936	0.001266	-76512.143
430	0.004410	0.021500	0.027060	0.004854	0.079884	0.021286	0.004239	0.003707	-76489.424
440	0.003795	0.031636	0.026836	0.003888	0.085594	0.017572	0.004173	0.003899	-76475.124
450	0.004668	0.043008	0.022065	0.004460	0.101168	0.023413	0.004787	0.004473	-76606.358
460	0.004645	0.030073	0.029600	0.004884	0.095755	0.032539	0.004537	0.004067	-76517.546
470	0.003756	0.042482	0.036382	0.005952	0.092022	0.022960	0.004148	0.003104	-76337.115
480	0.003833	0.060400	0.028598	0.009898	0.105482	0.020394	0.004538	0.001639	-76316.194
490	0.003122	0.029851	0.019565	0.017824	0.089729	0.023591	0.004238	0.002346	-76418.215
500	0.004018	0.027436	0.018816	0.012300	0.085232	0.023506	0.004176	0.001063	-76603.403
510	0.002988	0.037515	0.031662	0.004185	0.089510	0.031505	0.004688	0.003938	-76635.548
520	0.002697	0.019197	0.032822	0.005121	0.094907	0.034948	0.004728	0.003972	-76564.397
530	0.002452	0.010849	0.021887	0.028995	0.097923	0.040455	0.005353	0.004548	-76538.207
540	0.002387	0.011449	0.022967	0.020845	0.093222	0.035789	0.005814	0.004470	-76689.770
550	0.003584	0.008267	0.029070	0.009041	0.079474	0.035591	0.005683	0.004454	-76673.870
560	0.003877	0.007572	0.022926	0.006130	0.088994	0.037412	0.006306	0.005546	-76670.640
570	0.003497	0.004078	0.027497	0.003175	0.087717	0.033081	0.006030	0.005604	-76723.064
580	0.003605	0.003251	0.028572	0.003004	0.081553	0.035923	0.005706	0.005303	-76761.680
590	0.004517	0.003015	0.031515	0.007837	0.093192	0.040670	0.006922	0.005802	-76702.465
600	0.004831	0.003021	0.034228	0.008778	0.102208	0.043853	0.007134	0.004412	-76699.465
610	0.004243	0.003922	0.029652	0.003802	0.087380	0.038451	0.006301	0.005802	-76836.770
620	0.005948	0.004046	0.023938	0.007100	0.088641	0.039978	0.006110	0.002821	-76633.226
630	0.004356	0.002712	0.028142	0.002938	0.084849	0.035742	0.005278	0.004368	-76685.864
640	0.003951	0.005984	0.030495	0.003211	0.093640	0.032277	0.005566	0.004473	-76659.653
650	0.007164	0.004673	0.026931	0.006870	0.097681	0.039769	0.005566	0.003169	-76599.820
660	0.006189	0.002974	0.043697	0.003061	0.091461	0.037212	0.004794	0.004072	-76660.725
670	0.005213	0.004304	0.029497	0.020175	0.088470	0.039524	0.004958	0.001458	-76630.095
680	0.006640	0.004874	0.042585	0.006800	0.089814	0.039867	0.005278	0.003812	-76669.620
690	0.005192	0.005628	0.024427	0.004021	0.098823	0.043294	0.005494	0.004106	-76775.082
700	0.005142	0.002629	0.033510	0.005328	0.080984	0.036469	0.004707	0.003499	-76782.504
710	0.004503	0.002537	0.027823	0.004604	0.082556	0.042141	0.004463	0.003328	-76741.763
720	0.004506	0.002752	0.027912	0.005021	0.092008	0.040140	0.004801	0.003651	-76741.802
730	0.004360	0.003286	0.027186	0.007538	0.094142	0.034557	0.004364	0.003879	-76558.703
740	0.003612	0.003424	0.035193	0.002391	0.096311	0.036091	0.004125	0.003667	-76569.535
750	0.005206	0.003439	0.019822	0.014125	0.088613	0.034280	0.004125	0.000439	-76642.270
760	0.003668	0.003353	0.025078	0.004705	0.085184	0.034072	0.004063	0.003778	-76655.142
770	0.004646	0.002931	0.027574	0.003367	0.091174	0.042010	0.004624	0.004300	-76667.906
780	0.003625	0.002775	0.024905	0.002683	0.092922	0.034028	0.004267	0.003968	-76606.586
