Gen	theta_6PmunDintDgolDcelDlud	theta_7DintDgolDcelDlud	theta_8DgolDcelDlud	theta_9DcelDlud	tau_6PmunDintDgolDcelDlud	tau_7DintDgolDcelDlud	tau_8DgolDcelDlud	tau_9DcelDlud	lnL
10	0.007210	0.004349	0.003238	0.005016	0.063511	0.034376	0.024125	0.002769	-83978.450
20	0.005827	0.004409	0.007706	0.004076	0.061040	0.032331	0.019595	0.002702	-82372.824
30	0.005873	0.007730	0.003966	0.003390	0.064045	0.037399	0.031941	0.002601	-83761.530
40	0.006859	0.007641	0.008248	0.003532	0.065986	0.037809	0.025263	0.009345	-83756.754
50	0.006752	0.005984	0.003302	0.004742	0.068743	0.037374	0.027690	0.014127	-83091.033
60	0.007281	0.003878	0.002441	0.005776	0.069542	0.039924	0.021210	0.014841	-83793.149
70	0.005264	0.002461	0.001611	0.003474	0.069287	0.035821	0.026210	0.010311	-83116.567
80	0.003415	0.001233	0.004009	0.003322	0.084632	0.061353	0.022578	0.012933	-84261.066
90	0.003057	0.003535	0.009477	0.004656	0.125813	0.059284	0.026223	0.018817	-84288.831
100	0.004970	0.005880	0.002273	0.007311	0.113841	0.046877	0.036523	0.016072	-83762.270
110	0.002316	0.002606	0.003363	0.003289	0.076447	0.027994	0.016779	0.011052	-83677.757
120	0.005038	0.003362	0.004893	0.002873	0.067694	0.027612	0.016826	0.010186	-83985.042
130	0.006131	0.004846	0.004612	0.002446	0.085312	0.034304	0.022163	0.013153	-82749.313
140	0.003636	0.004417	0.003689	0.002646	0.052075	0.022108	0.010489	0.006279	-82789.130
150	0.002785	0.006633	0.005577	0.003624	0.073610	0.026727	0.011911	0.006634	-83199.878
160	0.004920	0.009776	0.003029	0.003363	0.088012	0.037786	0.024353	0.009596	-83499.581
170	0.005176	0.002730	0.007946	0.002044	0.075538	0.049770	0.020059	0.005192	-83549.555
180	0.011102	0.013980	0.006015	0.002649	0.121129	0.043890	0.021500	0.008065	-84022.380
190	0.012826	0.009014	0.001745	0.004247	0.099954	0.043554	0.028035	0.008649	-84802.991
200	0.008726	0.008988	0.001005	0.003214	0.066458	0.030171	0.021763	0.007843	-82855.435
210	0.022147	0.006232	0.001749	0.001374	0.084227	0.043578	0.022947	0.017090	-82702.781
220	0.016145	0.001913	0.001982	0.010422	0.079615	0.042986	0.028811	0.004923	-83553.407
230	0.011996	0.003578	0.002700	0.007133	0.073600	0.044151	0.021755	0.007489	-83435.639
240	0.012962	0.001626	0.003615	0.006492	0.073243	0.043339	0.014359	0.006496	-82943.709
250	0.015985	0.001740	0.002637	0.002944	0.075326	0.030648	0.011937	0.006418	-83133.726
260	0.013073	0.002705	0.003654	0.003650	0.076923	0.023521	0.011481	0.002243	-82962.177
270	0.017477	0.003919	0.009560	0.003267	0.115321	0.040472	0.021169	0.010763	-84821.069
280	0.012406	0.003136	0.003514	0.002477	0.061043	0.021062	0.011867	0.006821	-83602.213
290	0.015187	0.003538	0.002843	0.003991	0.081045	0.028955	0.015479	0.010917	-83114.381
300	0.012447	0.001393	0.006568	0.009221	0.056389	0.033321	0.012170	0.002213	-83047.384
310	0.022566	0.002243	0.003760	0.002215	0.097683	0.063403	0.021686	0.017864	-82790.625
320	0.009219	0.003426	0.004534	0.004828	0.052160	0.030971	0.011160	0.005370	-82262.842
330	0.006490	0.003407	0.005163	0.002950	0.070926	0.032762	0.015446	0.006129	-81959.165
340	0.010317	0.005606	0.001882	0.001649	0.077403	0.034492	0.026325	0.022004	-83509.682
350	0.017128	0.001817	0.002446	0.002282	0.061511	0.034970	0.025114	0.014619	-82090.226
360	0.013706	0.002021	0.002589	0.004135	0.064115	0.030869	0.021024	0.007423	-84241.477
370	0.007929	0.003100	0.005930	0.002509	0.045086	0.021355	0.012802	0.005370	-83583.755
380	0.011632	0.004796	0.007697	0.002758	0.073010	0.040911	0.019922	0.015323	-83898.186
390	0.014624	0.002698	0.004600	0.004033	0.053332	0.032020	0.024500	0.009361	-82461.367
400	0.024503	0.002634	0.004790	0.003844	0.071981	0.038260	0.023712	0.011034	-82984.582
410	0.027694	0.000994	0.003407	0.003754	0.065591	0.043116	0.028573	0.014568	-82858.552
420	0.029268	0.000947	0.005815	0.004983	0.061265	0.038320	0.029163	0.008733	-83769.370
430	0.022103	0.001506	0.009932	0.005911	0.054476	0.031518	0.020120	0.005151	-84234.160
440	0.029495	0.001537	0.003719	0.003752	0.051421	0.032180	0.024489	0.007253	-83252.469
450	0.026063	0.002021	0.005517	0.002233	0.051619	0.035964	0.023528	0.010498	-83096.617
460	0.017190	0.002797	0.004344	0.003957	0.043738	0.023565	0.018333	0.010158	-83890.500
470	0.030282	0.004405	0.004247	0.001675	0.050353	0.027739	0.020690	0.014965	-82736.729
480	0.038617	0.006337	0.008822	0.003663	0.065539	0.035370	0.023883	0.011718	-82189.405
490	0.024178	0.001272	0.009612	0.004290	0.052618	0.036175	0.024959	0.008644	-83502.890
500	0.023389	0.001194	0.008813	0.003077	0.067350	0.048082	0.034654	0.018817	-82824.519
510	0.020034	0.002167	0.004031	0.002283	0.064777	0.038993	0.030629	0.015860	-82148.619
520	0.011988	0.003808	0.004251	0.001995	0.087783	0.041115	0.032296	0.020778	-84419.191
530	0.011702	0.006975	0.008363	0.005991	0.107079	0.056449	0.039149	0.013042	-83615.974
540	0.005275	0.005292	0.008412	0.004138	0.088222	0.038386	0.032129	0.009487	-84198.983
550	0.004003	0.005311	0.005207	0.002064	0.070475	0.039477	0.033577	0.014084	-82435.167
560	0.003812	0.005832	0.004116	0.002325	0.061976	0.034716	0.029527	0.014840	-84537.546
570	0.004612	0.003778	0.003738	0.007941	0.079433	0.048335	0.038409	0.018067	-82382.133
580	0.003584	0.002626	0.006319	0.002539	0.074041	0.037117	0.027434	0.019097	-83095.974
590	0.007369	0.004055	0.003469	0.003616	0.079020	0.043843	0.025541	0.014521	-82778.666
600	0.011894	0.002395	0.002636	0.005310	0.072151	0.037591	0.022808	0.010057	-82564.765
610	0.018180	0.005696	0.003518	0.006192	0.098253	0.044962	0.025652	0.010804	-84197.130
620	0.007238	0.001932	0.004634	0.002561	0.066615	0.035233	0.014785	0.008950	-83295.889
630	0.006396	0.002051	0.001776	0.003880	0.071298	0.039648	0.027531	0.005846	-82499.341
640	0.005693	0.000930	0.003788	0.001706	0.058848	0.043079	0.023192	0.005531	-83461.253
650	0.009481	0.002177	0.011579	0.003613	0.098678	0.066155	0.043385	0.023379	-82848.709
660	0.008982	0.001519	0.003123	0.004781	0.078959	0.055615	0.043866	0.017792	-83138.983
670	0.007529	0.002566	0.005778	0.004141	0.079756	0.044491	0.031324	0.015127	-82765.584
680	0.011040	0.004276	0.007055	0.005261	0.084085	0.056889	0.028771	0.007725	-82265.683
690	0.007223	0.004720	0.003047	0.002890	0.074684	0.051100	0.026116	0.012465	-83688.806
700	0.008622	0.004340	0.002318	0.003301	0.060386	0.051300	0.036089	0.015095	-82947.553
710	0.007936	0.002699	0.002570	0.002175	0.057515	0.041467	0.033303	0.020790	-82645.742
720	0.010412	0.004102	0.006815	0.005783	0.065665	0.038439	0.030095	0.009093	-83939.636
730	0.006071	0.006426	0.008224	0.006586	0.059162	0.037310	0.022787	0.005740	-82894.432
740	0.005641	0.005711	0.003604	0.004269	0.058696	0.037001	0.029882	0.018486	-83683.812
750	0.004365	0.005553	0.002556	0.005401	0.043562	0.029418	0.020363	0.008782	-84201.936
760	0.004743	0.002611	0.004458	0.007169	0.047408	0.042928	0.026123	0.008345	-83453.751
770	0.003061	0.006378	0.006719	0.016259	0.042631	0.035303	0.020755	0.002613	-83584.360
780	0.004869	0.015105	0.006182	0.003986	0.056192	0.040836	0.027831	0.017079	-84066.407
790	0.003581	0.008187	0.002277	0.001976	0.040800	0.033219	0.027664	0.013777	-83871.424
800	0.003691	0.005176	0.007116	0.004059	0.057039	0.041978	0.031271	0.012919	-83206.316
810	0.002832	0.003700	0.010756	0.002264	0.075618	0.045478	0.034064	0.030817	-84715.888
820	0.001986	0.004087	0.005533	0.001352	0.070495	0.038960	0.029182	0.025666	-83247.591
830	0.002789	0.002086	0.003650	0.001798	0.091563	0.051828	0.037949	0.034143	-82251.628
840	0.003051	0.002364	0.002435	0.002949	0.061785	0.030772	0.025320	0.009892	-81850.645
850	0.007085	0.003152	0.004871	0.002536	0.088840	0.052371	0.028969	0.012697	-82060.126
860	0.006790	0.001569	0.001752	0.003288	0.063979	0.040120	0.025720	0.005342	-83658.171
870	0.005732	0.001240	0.002800	0.003531	0.097878	0.065555	0.037833	0.019612	-81937.928
880	0.006223	0.002396	0.002121	0.004451	0.083924	0.054490	0.041444	0.014023	-81570.855
890	0.005334	0.002619	0.004171	0.004053	0.087329	0.044202	0.024606	0.006374	-82683.893
900	0.006169	0.001843	0.003415	0.001865	0.064719	0.038102	0.028632	0.015088	-83728.463
910	0.004489	0.001958	0.004325	0.005330	0.063252	0.041148	0.027010	0.006475	-82415.245
920	0.002564	0.002209	0.002191	0.004357	0.046373	0.028077	0.017806	0.004974	-84048.120
930	0.003213	0.002671	0.002103	0.007783	0.060684	0.039968	0.029745	0.005581	-83458.380
940	0.002922	0.001552	0.013846	0.011126	0.056081	0.043012	0.017610	0.005558	-84259.663
950	0.002319	0.001548	0.004179	0.004907	0.041892	0.031563	0.021717	0.003386	-84495.493
960	0.009174	0.004154	0.005055	0.009251	0.092732	0.058565	0.041849	0.006545	-83851.872
970	0.009088	0.002976	0.006973	0.003356	0.064545	0.041954	0.021969	0.011139	-84040.164
980	0.009846	0.001507	0.002814	0.004710	0.050128	0.040871	0.017062	0.004787	-82922.250
990	0.012208	0.002023	0.004971	0.002350	0.069946	0.049769	0.018723	0.007659	-83258.932
1000	0.010176	0.003726	0.002108	0.002080	0.093817	0.044179	0.030814	0.011944	-83311.401
1010	0.008978	0.002386	0.003796	0.002786	0.084969	0.046699	0.023360	0.007362	-83508.089
1020	0.008386	0.002710	0.005537	0.001532	0.075169	0.048557	0.021541	0.009402	-84111.154
1030	0.005552	0.003705	0.002554	0.002443	0.057115	0.033168	0.024852	0.004480	-82167.572
1040	0.003563	0.001134	0.002224	0.002118	0.068589	0.039269	0.029690	0.017783	-83857.857
1050	0.003262	0.001535	0.001856	0.001788	0.066451	0.041628	0.028525	0.016651	-84083.333
1060	0.002713	0.002001	0.003965	0.006601	0.070225	0.050427	0.024151	0.005740	-83085.150
1070	0.001827	0.002506	0.010301	0.003885	0.092649	0.051040	0.018907	0.010826	-82696.738
1080	0.002940	0.004435	0.005182	0.002906	0.109154	0.051542	0.026464	0.016287	-83088.367
1090	0.002319	0.006833	0.001893	0.003364	0.072954	0.031244	0.023390	0.010194	-82230.205
1100	0.005660	0.003810	0.002955	0.003136	0.093041	0.038870	0.027810	0.022741	-82052.070
1110	0.004582	0.003285	0.001375	0.001394	0.075462	0.036091	0.023374	0.019905	-83764.501
1120	0.005486	0.003112	0.002446	0.005625	0.089429	0.047570	0.029861	0.012564	-82500.830
1130	0.002852	0.001856	0.003010	0.008591	0.059464	0.035250	0.019534	0.004821	-83949.221
1140	0.001711	0.001531	0.004398	0.003822	0.066207	0.041706	0.020568	0.011930	-82970.596
1150	0.002702	0.002686	0.004862	0.006237	0.081512	0.047626	0.029633	0.005638	-84158.187
1160	0.003643	0.001712	0.005453	0.004935	0.072696	0.051414	0.031280	0.004360	-83750.674
1170	0.005189	0.002084	0.002424	0.002320	0.067095	0.045820	0.031715	0.011690	-83530.805
1180	0.003108	0.004895	0.002407	0.001969	0.060367	0.035963	0.023510	0.011149	-82663.186
1190	0.006224	0.009294	0.004424	0.003610	0.081056	0.052235	0.038416	0.020044	-83913.818
1200	0.006647	0.006349	0.002388	0.006825	0.070160	0.043460	0.033101	0.011965	-81970.560
1210	0.008384	0.002774	0.002695	0.003249	0.052851	0.038592	0.032415	0.014729	-82886.580
1220	0.006610	0.002467	0.002227	0.004823	0.046472	0.031881	0.026778	0.017673	-83168.049
1230	0.003971	0.003877	0.010112	0.006360	0.052972	0.031372	0.018759	0.006059	-83224.624
1240	0.004475	0.003240	0.003704	0.003262	0.052702	0.031547	0.019512	0.008246	-84120.559
1250	0.007762	0.004067	0.002119	0.002405	0.076130	0.048565	0.032810	0.018572	-83003.604
1260	0.007788	0.004173	0.001737	0.001832	0.061295	0.035910	0.026214	0.016786	-84053.746
1270	0.004690	0.002561	0.001912	0.002951	0.095265	0.065412	0.037559	0.022122	-82125.708
1280	0.003912	0.002105	0.002600	0.001553	0.075888	0.045651	0.024545	0.018084	-82528.138
1290	0.003081	0.001905	0.003767	0.002657	0.089374	0.056378	0.027470	0.013012	-82896.176
1300	0.002834	0.001290	0.002799	0.002187	0.095337	0.069426	0.048300	0.024175	-82546.542
1310	0.003005	0.002430	0.006685	0.004602	0.087846	0.053513	0.030809	0.010647	-83091.756
1320	0.002781	0.003601	0.004053	0.005518	0.091456	0.057033	0.043985	0.011437	-84437.320
1330	0.002519	0.002425	0.008715	0.002253	0.064799	0.041622	0.017045	0.011743	-85423.822
1340	0.001770	0.001821	0.009057	0.004122	0.063893	0.051019	0.021956	0.014224	-82870.649
1350	0.001367	0.004534	0.002726	0.001200	0.051471	0.026519	0.017597	0.014357	-83200.062
1360	0.001926	0.010032	0.003016	0.007230	0.080657	0.040125	0.032320	0.016937	-83635.346
1370	0.003208	0.007670	0.005979	0.006878	0.075754	0.035581	0.018540	0.006667	-83234.841
1380	0.004587	0.004025	0.002335	0.002536	0.061890	0.035865	0.017078	0.011747	-83644.871
1390	0.004651	0.003675	0.002622	0.003625	0.051271	0.030640	0.014803	0.009971	-84435.499
1400	0.008488	0.002124	0.004344	0.005811	0.084866	0.052861	0.025760	0.020426	-83644.755
1410	0.007018	0.001768	0.001795	0.008456	0.091912	0.050439	0.028805	0.016576	-81133.203
1420	0.005698	0.002479	0.002208	0.007657	0.086595	0.051470	0.022020	0.008609	-82427.417
1430	0.005542	0.001928	0.002169	0.004599	0.083910	0.046219	0.021625	0.014324	-83259.661
1440	0.007588	0.001328	0.004016	0.005403	0.074315	0.053308	0.015749	0.011096	-83687.954
1450	0.006290	0.001108	0.004353	0.006095	0.056452	0.035102	0.011422	0.002408	-82086.303
1460	0.007284	0.002694	0.005939	0.006724	0.084622	0.035094	0.014357	0.008764	-83497.861
1470	0.003437	0.001931	0.004203	0.007693	0.066142	0.034717	0.014445	0.004382	-82043.552
1480	0.003546	0.002171	0.002873	0.005713	0.080395	0.043272	0.019753	0.009487	-82817.189
1490	0.002382	0.002517	0.002215	0.004168	0.060083	0.028741	0.020244	0.006597	-83449.256
1500	0.001800	0.002872	0.005431	0.001742	0.128448	0.066337	0.030619	0.019775	-82989.212
1510	0.001545	0.003015	0.004632	0.008417	0.069486	0.048170	0.019106	0.005295	-84222.075
1520	0.001253	0.004371	0.004099	0.005555	0.079432	0.052110	0.022651	0.006111	-83171.064
1530	0.001765	0.010312	0.004025	0.003241	0.100880	0.073057	0.030929	0.010985	-83549.514
1540	0.001347	0.011337	0.001676	0.003905	0.073382	0.040557	0.027818	0.007207	-81460.683
1550	0.001979	0.011056	0.003399	0.005923	0.077120	0.043231	0.024403	0.009477	-82195.453
1560	0.001784	0.003894	0.007048	0.003370	0.091670	0.052990	0.021927	0.008100	-82985.848
1570	0.001823	0.004024	0.006716	0.003275	0.086889	0.049052	0.020549	0.010494	-82886.381
1580	0.001959	0.005938	0.008141	0.002189	0.075553	0.030983	0.015096	0.008474	-83314.461
1590	0.002697	0.003481	0.007859	0.006891	0.096126	0.037279	0.018239	0.011087	-82860.876
1600	0.001384	0.003523	0.002475	0.007131	0.075795	0.037469	0.026430	0.006277	-83445.633
1610	0.001104	0.001877	0.003685	0.005889	0.075397	0.043168	0.017303	0.003407	-82385.217
1620	0.001802	0.006522	0.004250	0.005498	0.082468	0.055563	0.025467	0.002797	-83382.196
1630	0.002571	0.006194	0.006318	0.008612	0.088120	0.065064	0.032805	0.003206	-83366.511
1640	0.001582	0.003527	0.004908	0.003815	0.081074	0.042617	0.025508	0.004960	-83164.236
1650	0.001488	0.002603	0.004328	0.003496	0.086581	0.049243	0.029728	0.010790	-82273.099
