Gen	theta_6PmunDintDgolDcelDlud	theta_7DintDgolDcelDlud	theta_8DgolDcelDlud	theta_9DcelDlud	tau_6PmunDintDgolDcelDlud	tau_7DintDgolDcelDlud	tau_8DgolDcelDlud	tau_9DcelDlud	lnL
10	0.158974	0.015066	0.017801	0.006298	0.031368	0.020963	0.005404	0.004008	-75646.816
20	0.173288	0.017219	0.019776	0.002632	0.036029	0.022502	0.005648	0.004668	-75747.242
30	0.149317	0.030639	0.035447	0.004662	0.039911	0.027078	0.005630	0.004486	-75755.193
40	0.131392	0.020283	0.022192	0.009713	0.034035	0.020194	0.005262	0.002448	-75745.358
50	0.135640	0.015079	0.020545	0.006289	0.031509	0.022085	0.004871	0.003074	-75690.281
60	0.209366	0.014196	0.027019	0.003102	0.032950	0.025090	0.005094	0.004292	-75724.060
70	0.177136	0.011576	0.051112	0.003564	0.029824	0.024700	0.004610	0.003060	-75687.055
80	0.188784	0.011835	0.029539	0.008025	0.030759	0.025597	0.005306	0.002140	-75679.232
90	0.129193	0.011753	0.028321	0.004640	0.027359	0.020909	0.005056	0.002928	-75707.618
100	0.191065	0.033640	0.018223	0.006924	0.025734	0.015187	0.006120	0.002893	-75677.453
110	0.198991	0.014922	0.047719	0.002602	0.024968	0.017860	0.004130	0.002367	-75679.918
120	0.172498	0.005796	0.043479	0.003921	0.022907	0.020018	0.003613	0.002137	-75688.024
130	0.168269	0.003674	0.025831	0.004924	0.023385	0.020436	0.003689	0.002618	-75738.363
140	0.205977	0.006771	0.020701	0.003953	0.027401	0.023945	0.004322	0.003163	-75742.748
150	0.238157	0.006178	0.033850	0.002533	0.028442	0.024855	0.003351	0.002722	-75798.214
160	0.171609	0.006137	0.028932	0.008430	0.028256	0.024692	0.003329	0.000807	-75684.223
170	0.152059	0.007085	0.028932	0.003612	0.028256	0.024692	0.003329	0.002796	-75639.603
180	0.130394	0.005965	0.029969	0.003469	0.025092	0.022969	0.002956	0.002295	-75725.784
190	0.121772	0.006425	0.028252	0.003452	0.025639	0.022421	0.003077	0.002408	-75656.292
200	0.139849	0.006400	0.024451	0.005427	0.026459	0.023834	0.003829	0.002027	-75696.956
210	0.112667	0.005309	0.025497	0.010904	0.024463	0.022036	0.003865	0.000914	-75709.239
220	0.091697	0.006020	0.047672	0.005930	0.024805	0.022345	0.003909	0.001339	-75654.964
230	0.124025	0.007105	0.042232	0.003743	0.028011	0.024345	0.004328	0.002413	-75766.409
240	0.157661	0.006644	0.031663	0.003175	0.027366	0.024658	0.003883	0.001444	-75695.340
250	0.151885	0.006867	0.023454	0.009720	0.027301	0.023296	0.004006	0.001614	-75715.461
260	0.139652	0.006919	0.026219	0.002105	0.027071	0.022795	0.003973	0.003427	-75790.669
270	0.120485	0.010662	0.031327	0.002121	0.025915	0.021821	0.003803	0.003117	-75660.462
280	0.092531	0.012068	0.040007	0.002183	0.024981	0.018458	0.003666	0.002814	-75629.519
290	0.155780	0.018324	0.026171	0.002603	0.029793	0.018229	0.004372	0.003356	-75745.930
300	0.143021	0.014110	0.038561	0.004442	0.027258	0.019063	0.004000	0.002035	-75696.948
310	0.149180	0.017430	0.046680	0.004120	0.032498	0.022102	0.004769	0.003634	-75725.210
320	0.156555	0.018797	0.032586	0.004471	0.031326	0.019530	0.004597	0.002330	-75732.398
330	0.164356	0.017335	0.030458	0.001957	0.030615	0.019970	0.004334	0.003088	-75686.188
340	0.178756	0.008559	0.022973	0.006749	0.030615	0.025798	0.004334	0.002188	-75685.979
350	0.139915	0.007109	0.021833	0.006747	0.027573	0.024875	0.003912	0.001703	-75741.522
360	0.183857	0.006327	0.032075	0.007470	0.024538	0.022137	0.002980	0.000715	-75732.907
370	0.147430	0.006211	0.036439	0.002154	0.025519	0.023022	0.003100	0.002555	-75729.191
380	0.189100	0.007061	0.035443	0.002121	0.025808	0.023282	0.003135	0.002654	-75693.124
390	0.190102	0.008208	0.044439	0.002404	0.027516	0.023045	0.003342	0.002662	-75670.838
400	0.234950	0.010561	0.018849	0.001993	0.029283	0.020900	0.003557	0.003158	-75742.159
410	0.175562	0.009321	0.019709	0.001832	0.026927	0.019886	0.003271	0.002904	-75603.388
420	0.135383	0.007551	0.026530	0.001969	0.025303	0.021448	0.003073	0.002386	-75717.915
430	0.141097	0.003850	0.030835	0.001798	0.025303	0.023462	0.003073	0.002614	-75768.342
440	0.121736	0.004021	0.029267	0.009837	0.027994	0.025957	0.004224	0.001283	-75720.532
450	0.139688	0.004013	0.029267	0.002350	0.028124	0.026000	0.004224	0.003160	-75730.320
460	0.122862	0.004108	0.036250	0.007112	0.028501	0.026128	0.004280	0.001972	-75777.418
470	0.176402	0.007413	0.028632	0.007364	0.030273	0.025061	0.004547	0.002148	-75773.710
480	0.159587	0.007022	0.023720	0.005650	0.028675	0.023738	0.004587	0.002224	-75741.330
490	0.177695	0.006016	0.028463	0.005609	0.027486	0.024157	0.003941	0.002342	-75732.664
500	0.120680	0.007028	0.031106	0.004534	0.024652	0.021666	0.003535	0.002330	-75644.460
510	0.178438	0.003508	0.029653	0.005284	0.023115	0.020315	0.003385	0.001761	-75702.447
