Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.015567	0.003543	0.003964	0.004449	0.001299	0.001886	0.004952	0.006465	0.004333	0.002292	0.001413	0.001869	0.000038	0.529499	-100559.823
20	0.016230	0.003674	0.005875	0.005683	0.009191	0.005769	0.002734	0.008061	0.004584	0.003318	0.002232	0.000943	0.000458	0.260085	-106658.413
30	0.016125	0.002893	0.006673	0.002020	0.003964	0.006022	0.002204	0.006252	0.003541	0.002270	0.001836	0.000649	0.000353	0.804366	-107086.893
40	0.009769	0.002627	0.003668	0.005232	0.003400	0.004537	0.016997	0.004255	0.002089	0.001285	0.000453	0.000393	0.000097	0.427075	-105644.315
50	0.011789	0.003314	0.004465	0.003511	0.002673	0.017164	0.008323	0.004952	0.002341	0.001114	0.000672	0.000392	0.000381	0.411996	-100582.812
60	0.006565	0.003218	0.005358	0.001204	0.003422	0.007580	0.002963	0.004949	0.002211	0.001072	0.000808	0.000368	0.000111	0.321925	-111465.018
70	0.005215	0.001936	0.002465	0.002468	0.006475	0.002465	0.003443	0.005751	0.002597	0.001678	0.001477	0.001446	0.000129	0.176625	-105135.475
80	0.003813	0.002527	0.003241	0.007380	0.015350	0.001741	0.004214	0.004205	0.001899	0.001161	0.000479	0.000480	0.000152	0.034113	-103907.190
90	0.005150	0.003020	0.005195	0.005567	0.004560	0.001768	0.004552	0.005680	0.002517	0.001348	0.000969	0.001222	0.000887	0.151488	-111371.574
100	0.005284	0.002970	0.005180	0.003723	0.003818	0.002810	0.001349	0.005663	0.002509	0.001344	0.001210	0.001310	0.000359	0.187526	-108702.472
110	0.005768	0.003075	0.003121	0.005095	0.012848	0.002025	0.001431	0.006181	0.002807	0.001624	0.001381	0.000935	0.000739	0.340023	-105979.457
120	0.008016	0.002915	0.002648	0.004251	0.003526	0.003886	0.003220	0.006755	0.003265	0.001778	0.001702	0.001696	0.001001	0.499243	-113145.215
130	0.010535	0.004234	0.003750	0.009621	0.001899	0.002138	0.006528	0.008140	0.003629	0.002153	0.001974	0.002103	0.001514	0.422294	-104016.132
140	0.004858	0.004505	0.002817	0.002169	0.006090	0.004585	0.013979	0.006113	0.002400	0.001617	0.001059	0.001511	0.000358	0.662299	-106183.703
