Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.133385	0.044087	0.024203	0.005842	0.002902	0.004857	0.004466	0.037072	0.015614	0.003064	0.002075	0.002802	0.000916	0.972338	-75440.112
20	0.122367	0.036185	0.017638	0.005765	0.001500	0.004945	0.003030	0.038565	0.015077	0.003187	0.002089	0.002802	0.000974	0.977136	-75451.248
30	0.152510	0.035629	0.016992	0.003410	0.005215	0.007611	0.005664	0.037154	0.014525	0.003071	0.002347	0.002291	0.000781	0.977136	-75444.445
40	0.092964	0.043634	0.022819	0.002827	0.012721	0.004741	0.008943	0.036726	0.015343	0.003035	0.002313	0.002242	0.000603	0.806249	-75426.997
50	0.120123	0.027552	0.022819	0.001465	0.004446	0.002091	0.005779	0.036726	0.016207	0.003035	0.002425	0.002320	0.001971	0.954828	-75403.071
60	0.097691	0.029286	0.023290	0.001780	0.006198	0.006074	0.006599	0.037485	0.015451	0.003098	0.002104	0.002957	0.001587	0.952802	-75451.694
70	0.094231	0.025911	0.025527	0.002336	0.011771	0.002339	0.003495	0.043343	0.017866	0.003582	0.002344	0.001980	0.001280	0.793845	-75439.737
80	0.079330	0.035269	0.029274	0.001989	0.007071	0.011690	0.002271	0.042312	0.017441	0.003497	0.002369	0.002982	0.001541	0.610581	-75413.909
90	0.116271	0.046504	0.023821	0.001767	0.079498	0.003554	0.005792	0.046867	0.019319	0.003873	0.003231	0.002231	0.001321	0.765647	-75444.826
100	0.165611	0.028724	0.046528	0.003182	0.016948	0.002933	0.002698	0.044890	0.018504	0.003710	0.002132	0.002663	0.001468	0.893768	-75418.685
110	0.149376	0.027252	0.032285	0.002080	0.014203	0.002744	0.001592	0.044890	0.018504	0.003710	0.002529	0.003505	0.000985	0.679513	-75422.356
120	0.105722	0.032760	0.023128	0.007077	0.003570	0.007943	0.001592	0.044890	0.018504	0.003710	0.001362	0.002928	0.000997	0.666755	-75421.209
130	0.133262	0.034382	0.034440	0.003518	0.005453	0.015229	0.003240	0.049968	0.020597	0.004130	0.002806	0.003304	0.000079	0.899845	-75434.521
140	0.090328	0.040148	0.035817	0.002343	0.004200	0.004566	0.005303	0.045240	0.018648	0.003739	0.002745	0.002539	0.000535	0.852474	-75431.357
150	0.082864	0.035388	0.024240	0.002062	0.038809	0.005959	0.002432	0.039820	0.016414	0.003291	0.002416	0.002676	0.001086	0.515011	-75462.336
160	0.120535	0.040808	0.020666	0.001897	0.045128	0.006073	0.005635	0.041790	0.017226	0.003525	0.002572	0.002961	0.001666	0.716543	-75448.024
170	0.108965	0.031844	0.032786	0.006816	0.007508	0.002137	0.002531	0.042404	0.017479	0.003577	0.001018	0.001300	0.000391	0.869343	-75435.647
180	0.078780	0.033290	0.033445	0.002088	0.003420	0.001316	0.003709	0.044329	0.018272	0.003739	0.002641	0.003269	0.001693	0.670014	-75427.738
190	0.074759	0.038294	0.020831	0.003847	0.009934	0.005115	0.005764	0.043945	0.018114	0.003707	0.002453	0.002338	0.001039	0.947022	-75419.642
200	0.128545	0.032079	0.025505	0.002329	0.005126	0.003602	0.005031	0.047619	0.019629	0.004017	0.003261	0.001982	0.001732	0.917613	-75436.984
210	0.096867	0.046444	0.026712	0.003971	0.003131	0.006360	0.001322	0.049873	0.020558	0.004207	0.002547	0.001879	0.000231	0.940019	-75416.361
220	0.111273	0.035197	0.023306	0.004965	0.001543	0.003987	0.004709	0.049873	0.020558	0.004207	0.002707	0.003089	0.000657	0.992136	-75411.816
230	0.101240	0.033644	0.028063	0.003328	0.003548	0.016759	0.002475	0.055146	0.022731	0.004652	0.003726	0.002344	0.000971	0.965981	-75431.902
240	0.120511	0.036388	0.023913	0.003407	0.001753	0.004832	0.002360	0.052585	0.021676	0.004436	0.003294	0.003447	0.000395	0.904545	-75422.969
250	0.088777	0.031956	0.023891	0.004072	0.002794	0.001604	0.009683	0.049454	0.020385	0.004171	0.002637	0.003114	0.001053	0.995399	-75421.591
260	0.092463	0.024981	0.032150	0.004819	0.003748	0.006214	0.006647	0.048139	0.019843	0.004060	0.002294	0.003427	0.001579	0.959649	-75397.848
270	0.084534	0.028083	0.033125	0.003372	0.003194	0.006372	0.002524	0.044310	0.018265	0.003738	0.002800	0.002935	0.000826	0.967260	-75463.980
280	0.063310	0.028083	0.033242	0.004073	0.002188	0.007525	0.004029	0.044310	0.018265	0.003738	0.002456	0.003298	0.001481	0.963218	-75429.220
