Gen	theta_6PmunDintDgolDcelDlud	theta_7DintDgolDcelDlud	theta_8DgolDcelDlud	theta_9DcelDlud	tau_6PmunDintDgolDcelDlud	tau_7DintDgolDcelDlud	tau_8DgolDcelDlud	tau_9DcelDlud	lnL
56640	0.002509	0.001897	0.003021	0.002297	0.013718	0.013350	0.010776	0.002281	-105851.001
56650	0.002284	0.000892	0.001941	0.002310	0.018701	0.018199	0.015563	0.002147	-99716.821
56660	0.002485	0.001677	0.002358	0.001722	0.020349	0.019726	0.014748	0.002336	-99961.823
56670	0.002492	0.004900	0.012958	0.002961	0.033015	0.032004	0.020140	0.003576	-102813.050
56680	0.001102	0.003480	0.005961	0.003124	0.015268	0.014800	0.008695	0.000542	-102955.141
56690	0.001189	0.007098	0.003072	0.002686	0.013125	0.012723	0.006096	0.000466	-107100.851
56700	0.002044	0.021467	0.004563	0.005396	0.018885	0.018307	0.012341	0.000670	-99592.575
56710	0.001549	0.004393	0.003951	0.008515	0.014309	0.013994	0.008215	0.000508	-101994.198
56720	0.001767	0.004681	0.001559	0.005094	0.016323	0.015541	0.013410	0.000579	-108806.475
56730	0.001293	0.005367	0.002604	0.003726	0.011941	0.011444	0.007205	0.000424	-105868.753
56740	0.001745	0.013809	0.004759	0.007729	0.021818	0.020910	0.013165	0.000774	-99855.813
56750	0.001615	0.005144	0.004523	0.003675	0.023019	0.022089	0.013890	0.000817	-98486.845
56760	0.002677	0.003757	0.002740	0.002041	0.022287	0.020314	0.015865	0.000791	-104077.847
56770	0.002053	0.007124	0.004499	0.003351	0.036588	0.034340	0.026044	0.001298	-98002.304
56780	0.003122	0.007832	0.004009	0.001711	0.026653	0.024038	0.018972	0.000945	-101407.531
56790	0.001830	0.002380	0.005263	0.002431	0.015620	0.014657	0.006991	0.000554	-99278.766
56800	0.001881	0.005164	0.005872	0.002562	0.033892	0.031802	0.026116	0.001202	-99825.476
56810	0.001619	0.008065	0.004609	0.004565	0.029174	0.028302	0.022480	0.001035	-98761.751
56820	0.002189	0.008901	0.010917	0.007959	0.039440	0.038262	0.032912	0.001399	-108529.249
56830	0.001791	0.011201	0.004597	0.007922	0.031835	0.029882	0.024077	0.001129	-101053.536
56840	0.001064	0.015554	0.002327	0.007649	0.020818	0.019480	0.016542	0.000739	-104316.845
56850	0.001563	0.015620	0.004696	0.002632	0.017938	0.017042	0.013783	0.000636	-100559.055
56860	0.002013	0.019062	0.002350	0.004855	0.023111	0.021785	0.017758	0.000820	-101288.753
56870	0.001808	0.014549	0.002466	0.004244	0.020755	0.020552	0.013752	0.000736	-104451.484
56880	0.001738	0.015206	0.002504	0.004079	0.021079	0.020874	0.013968	0.000748	-104276.824
56890	0.001877	0.005911	0.002705	0.003266	0.022765	0.022543	0.015085	0.000808	-101541.640
56900	0.002199	0.001279	0.005349	0.002852	0.026670	0.026409	0.013004	0.000946	-99356.961
56910	0.002019	0.001220	0.007155	0.002618	0.024484	0.024244	0.014742	0.000869	-98281.061
56920	0.001997	0.003012	0.001554	0.001776	0.024218	0.023981	0.016434	0.000859	-103808.254
56930	0.005053	0.006027	0.003049	0.003882	0.047530	0.047066	0.032253	0.001514	-97885.553
56940	0.003558	0.009453	0.002771	0.001672	0.033036	0.029771	0.017147	0.001052	-99123.349
56950	0.003574	0.004160	0.003823	0.001601	0.031814	0.028540	0.008242	0.001008	-102119.852
56960	0.001170	0.002829	0.002973	0.002142	0.015843	0.014212	0.004104	0.000502	-105935.569
56970	0.001527	0.002269	0.002615	0.002786	0.021485	0.018592	0.006302	0.000680	-98823.778
56980	0.002930	0.003181	0.004855	0.004632	0.043793	0.035782	0.015291	0.001376	-98736.714
56990	0.001349	0.001895	0.002072	0.002943	0.020167	0.014336	0.007042	0.000634	-102694.872
57000	0.002033	0.001818	0.001868	0.007150	0.016894	0.013778	0.006350	0.000571	-103624.278
57010	0.002260	0.002524	0.001195	0.007168	0.018076	0.015072	0.009580	0.000611	-108286.831
57020	0.001636	0.002407	0.001704	0.006908	0.013087	0.011122	0.007325	0.000443	-102420.678
57030	0.005604	0.005725	0.002416	0.015429	0.018560	0.015773	0.010388	0.000628	-102694.408
57040	0.005470	0.003664	0.002271	0.008105	0.018117	0.015445	0.010140	0.000613	-99333.796
57050	0.006805	0.009884	0.002565	0.009968	0.015946	0.010575	0.007075	0.000539	-99298.373
57060	0.008394	0.004288	0.001997	0.003430	0.011545	0.006261	0.003218	0.000753	-97456.855
57070	0.003270	0.005736	0.002182	0.007168	0.012709	0.006317	0.003542	0.001401	-104508.133
57080	0.004209	0.002608	0.001993	0.004014	0.007091	0.002763	0.001462	0.000725	-109178.766
57090	0.004425	0.002060	0.001865	0.017869	0.005600	0.002182	0.001367	0.000278	-107119.117
57100	0.005686	0.004378	0.003736	0.003286	0.006027	0.002349	0.001410	0.001035	-105943.835
57110	0.007336	0.003179	0.004073	0.001126	0.005580	0.002489	0.001199	0.000931	-107660.789
57120	0.008300	0.004456	0.004623	0.004469	0.005876	0.002296	0.001156	0.000439	-110790.355
57130	0.018998	0.005664	0.003141	0.002993	0.012317	0.004814	0.002579	0.001216	-103660.462
57140	0.016082	0.004036	0.002141	0.003501	0.008140	0.003258	0.002120	0.000476	-103984.194
57150	0.023283	0.012131	0.006848	0.002523	0.016370	0.006551	0.004068	0.002436	-100615.561
57160	0.021683	0.007822	0.002997	0.002744	0.012736	0.005097	0.003996	0.001356	-105050.625
57170	0.018504	0.006933	0.004545	0.002292	0.012810	0.005127	0.004056	0.001642	-101486.772
57180	0.023723	0.007179	0.005796	0.002135	0.016235	0.006305	0.005663	0.002666	-97576.994
57190	0.013563	0.002970	0.002850	0.001639	0.007356	0.002857	0.002497	0.001208	-105293.792
57200	0.003609	0.002301	0.003021	0.002012	0.005698	0.002213	0.002091	0.000273	-107997.015
57210	0.005007	0.001093	0.005178	0.001677	0.004035	0.001545	0.001435	0.000264	-105983.626
57220	0.004070	0.001589	0.005464	0.002206	0.005760	0.002246	0.001895	0.000281	-106487.917
57230	0.006315	0.002345	0.006716	0.002650	0.008500	0.003314	0.003087	0.000576	-104381.250
57240	0.002814	0.002245	0.006285	0.005296	0.008136	0.003172	0.002955	0.000379	-102515.767
57250	0.003753	0.001401	0.004831	0.003634	0.005293	0.001979	0.001844	0.000095	-107494.862
57260	0.007689	0.002444	0.005924	0.004809	0.008797	0.003453	0.003231	0.000255	-103939.721
57270	0.002737	0.001986	0.002745	0.003632	0.004987	0.001945	0.001716	0.000145	-111771.100
57280	0.003223	0.004432	0.006700	0.001431	0.006446	0.002513	0.001475	0.000926	-107491.401
57290	0.003626	0.006555	0.002232	0.004528	0.010620	0.003570	0.002843	0.000388	-102357.655
57300	0.007030	0.009123	0.002977	0.003616	0.012986	0.004365	0.003233	0.000559	-103580.148
