Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.007958	0.002764	0.003874	0.003764	0.004133	0.004406	0.001014	0.073361	0.032517	0.019264	0.013473	0.007411	0.005406	0.379550	-97825.997
20	0.002574	0.002157	0.002333	0.002108	0.001366	0.005383	0.003079	0.021581	0.008896	0.004127	0.002918	0.002207	0.001048	0.377615	-102298.340
30	0.002656	0.002449	0.002791	0.005113	0.004559	0.022534	0.002849	0.022901	0.008831	0.004685	0.004324	0.001442	0.000605	0.475171	-101380.815
40	0.003305	0.003181	0.002718	0.014219	0.002034	0.004051	0.003132	0.015554	0.005616	0.003403	0.002550	0.001056	0.000444	0.612176	-98792.608
50	0.002124	0.002244	0.001574	0.006419	0.002648	0.003161	0.006137	0.013410	0.004744	0.003758	0.002509	0.002353	0.000437	0.476007	-110028.927
60	0.003877	0.003177	0.004269	0.004151	0.002459	0.007257	0.002032	0.024479	0.009180	0.006845	0.006660	0.004852	0.001473	0.545456	-99778.850
70	0.002426	0.001528	0.005380	0.015527	0.002650	0.001460	0.002810	0.017371	0.006159	0.004593	0.003392	0.001820	0.000767	0.369365	-97478.616
80	0.001904	0.001016	0.003682	0.007324	0.003016	0.005547	0.003274	0.011890	0.004216	0.003144	0.003001	0.001252	0.000600	0.670292	-100229.614
90	0.002410	0.002277	0.008882	0.004397	0.004101	0.003528	0.005274	0.028183	0.009452	0.007068	0.006332	0.003470	0.003406	0.348682	-99982.013
100	0.002868	0.003406	0.004673	0.011389	0.003550	0.004215	0.004334	0.032404	0.010234	0.009256	0.003998	0.002681	0.000726	0.039285	-99516.694
110	0.004494	0.002914	0.003530	0.007731	0.001619	0.012227	0.003538	0.028015	0.008354	0.007842	0.005556	0.003107	0.000827	0.211225	-102241.313
120	0.002509	0.004692	0.003163	0.006141	0.001398	0.005696	0.003609	0.023910	0.006910	0.006190	0.005462	0.003045	0.001770	0.113934	-101448.507
130	0.002295	0.004026	0.004075	0.002485	0.002979	0.004037	0.009975	0.020515	0.005928	0.005380	0.003128	0.002137	0.000280	0.229140	-100451.802
140	0.002565	0.007904	0.003952	0.008146	0.004593	0.023948	0.005319	0.030351	0.008771	0.008272	0.005690	0.004865	0.000159	0.216369	-105741.508
150	0.001023	0.001877	0.002858	0.002252	0.004709	0.011088	0.001542	0.012110	0.003499	0.003038	0.002666	0.001202	0.000418	0.049299	-107811.560
160	0.003342	0.003213	0.009925	0.009864	0.006244	0.001062	0.004425	0.024604	0.007466	0.006386	0.003308	0.005524	0.001190	0.239707	-97080.461
170	0.001434	0.001582	0.001652	0.002012	0.004428	0.002342	0.010342	0.012944	0.003928	0.003910	0.001470	0.003311	0.000966	0.246010	-103795.949
180	0.003513	0.004626	0.005057	0.009722	0.005533	0.003149	0.003836	0.037387	0.011345	0.011294	0.004245	0.008096	0.002965	0.380281	-103886.604
190	0.001227	0.002352	0.002817	0.002030	0.002334	0.005318	0.007958	0.019006	0.005767	0.005741	0.002907	0.004448	0.002546	0.209311	-107374.707
200	0.001415	0.002352	0.004813	0.010202	0.004356	0.002744	0.009998	0.019006	0.005767	0.005410	0.003038	0.003797	0.002510	0.355737	-105554.386
210	0.002060	0.002822	0.005405	0.004972	0.004344	0.003699	0.005437	0.022804	0.006920	0.006293	0.005091	0.005105	0.003472	0.541534	-99078.570
220	0.001628	0.002499	0.005483	0.001334	0.004715	0.001981	0.004945	0.020711	0.006304	0.005554	0.004985	0.004734	0.001379	0.564943	-99692.219
230	0.001931	0.002515	0.005924	0.002676	0.002647	0.003448	0.003525	0.020850	0.006346	0.006062	0.002825	0.003429	0.001036	0.631057	-100960.304
240	0.002786	0.003526	0.004051	0.004779	0.003244	0.009779	0.010057	0.030079	0.009155	0.009088	0.003362	0.007635	0.000955	0.581341	-99991.499
250	0.001946	0.002402	0.004106	0.004632	0.004783	0.007965	0.008146	0.031632	0.009509	0.009383	0.008322	0.004114	0.001435	0.787044	-107310.752
260	0.002644	0.003088	0.002945	0.002960	0.003407	0.001448	0.015871	0.030928	0.009298	0.009198	0.007762	0.004337	0.003611	0.787044	-97872.371
270	0.003289	0.004476	0.001302	0.004211	0.001425	0.006207	0.023046	0.044819	0.013474	0.013365	0.011101	0.006170	0.001170	0.787044	-99772.653
280	0.002774	0.002689	0.003514	0.003809	0.003250	0.004545	0.004310	0.021510	0.008095	0.007749	0.006566	0.003007	0.000912	0.749268	-97026.275
