Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.005358	0.014735	0.004163	0.013847	0.001937	0.003829	0.004912	0.005935	0.005299	0.005278	0.002202	0.004848	0.001985	0.178142	-104301.641
20	0.003029	0.004416	0.003965	0.004866	0.013438	0.001866	0.002777	0.003355	0.003012	0.002793	0.001753	0.002096	0.000730	0.065564	-108852.702
30	0.003066	0.006298	0.002802	0.003025	0.003957	0.016300	0.013606	0.003396	0.002892	0.002701	0.002441	0.002223	0.001600	0.287704	-112022.807
40	0.002202	0.002836	0.006199	0.005129	0.004556	0.006924	0.003881	0.002440	0.002077	0.001910	0.001523	0.001134	0.001108	0.193304	-113829.027
50	0.003531	0.004919	0.001713	0.003043	0.006418	0.003612	0.001772	0.003911	0.003169	0.003063	0.001857	0.001712	0.001621	0.461349	-109687.408
60	0.007618	0.005980	0.007944	0.003454	0.006405	0.018097	0.002844	0.008439	0.007079	0.006395	0.003049	0.004474	0.000231	0.359964	-101744.345
70	0.006397	0.003941	0.005789	0.006660	0.005037	0.005264	0.003538	0.007086	0.006822	0.006344	0.002481	0.004635	0.000149	0.196957	-109157.911
80	0.003171	0.005670	0.003150	0.005918	0.005037	0.002353	0.003013	0.003513	0.003342	0.003045	0.001912	0.001276	0.000100	0.300861	-105125.488
90	0.001563	0.002067	0.005030	0.011943	0.003173	0.003325	0.001591	0.001679	0.001512	0.001259	0.000868	0.001102	0.000508	0.053403	-110836.051
100	0.004007	0.006944	0.002161	0.003635	0.001946	0.002920	0.004226	0.004303	0.003737	0.003530	0.003392	0.003357	0.000440	0.501985	-114939.431
110	0.003911	0.004360	0.002654	0.002249	0.006105	0.004421	0.002757	0.004201	0.003615	0.003561	0.003130	0.002105	0.001098	0.622122	-111534.575
120	0.003911	0.002995	0.008537	0.001727	0.006726	0.007842	0.004589	0.004201	0.003622	0.003545	0.001323	0.001666	0.000686	0.441344	-103753.804
130	0.003948	0.003024	0.007229	0.002472	0.004083	0.005986	0.017799	0.004240	0.003656	0.003578	0.001718	0.002596	0.000094	0.463592	-107546.103
140	0.002719	0.008249	0.011914	0.003687	0.002239	0.003014	0.003142	0.003052	0.002646	0.002400	0.000595	0.002188	0.000218	0.503477	-107707.062
150	0.003111	0.002194	0.005525	0.001964	0.003739	0.002612	0.003656	0.003492	0.003204	0.003001	0.001137	0.001676	0.001131	0.492273	-109594.824
160	0.004320	0.003105	0.005578	0.006065	0.002455	0.004969	0.003055	0.004849	0.004278	0.003971	0.002430	0.002556	0.000987	0.247064	-108554.804
170	0.003130	0.003664	0.002690	0.001635	0.004898	0.004654	0.004219	0.003514	0.003127	0.002943	0.001070	0.001215	0.000908	0.267893	-108351.839
180	0.005650	0.004896	0.005253	0.001432	0.008726	0.012680	0.012563	0.006342	0.006194	0.004809	0.002027	0.002302	0.000902	0.325737	-102293.954
190	0.005355	0.003334	0.005540	0.001611	0.004030	0.001214	0.009602	0.006011	0.005871	0.004765	0.002073	0.004107	0.001675	0.350997	-102135.802
200	0.003019	0.015716	0.005220	0.002193	0.004110	0.005127	0.003227	0.003389	0.002984	0.002531	0.001098	0.001489	0.000994	0.494648	-107897.928
210	0.003244	0.001741	0.013359	0.001652	0.002396	0.001576	0.002069	0.003641	0.003595	0.003165	0.001346	0.002710	0.000859	0.576680	-106018.893
220	0.003910	0.003481	0.002727	0.001992	0.003550	0.002214	0.003707	0.004389	0.004382	0.003672	0.001623	0.002560	0.001279	0.561055	-107472.520
230	0.003402	0.002861	0.001858	0.002840	0.004085	0.002985	0.002997	0.003819	0.003724	0.003327	0.001295	0.001391	0.000942	0.446483	-110319.789
240	0.006061	0.008033	0.004872	0.004016	0.006377	0.001393	0.010597	0.006804	0.006647	0.005775	0.002083	0.002225	0.001521	0.814125	-104522.841
250	0.010241	0.002121	0.006391	0.005635	0.005165	0.003853	0.007564	0.009424	0.009207	0.006474	0.002885	0.003900	0.001190	0.748842	-105422.421
260	0.006189	0.006105	0.002904	0.001860	0.003005	0.001569	0.009844	0.004613	0.004555	0.003347	0.002024	0.001636	0.001054	0.810293	-108026.720
270	0.008449	0.005797	0.004301	0.004272	0.002097	0.005154	0.002729	0.006297	0.005933	0.005317	0.003034	0.004136	0.002991	0.849599	-101736.899
280	0.004436	0.004554	0.003500	0.002629	0.002510	0.003401	0.007270	0.003306	0.003059	0.002482	0.001611	0.001437	0.000903	0.915583	-108772.490
290	0.004153	0.003342	0.002260	0.006207	0.002263	0.004140	0.006073	0.003095	0.002924	0.002608	0.001283	0.001114	0.000888	0.694914	-105199.589
300	0.004874	0.012145	0.012958	0.005910	0.002917	0.002491	0.002695	0.003632	0.003154	0.002077	0.001155	0.001721	0.000538	0.487872	-107754.586
310	0.004673	0.005034	0.014309	0.005675	0.005386	0.002267	0.006685	0.003686	0.002867	0.002587	0.001848	0.001113	0.000839	0.173301	-104585.287
320	0.003873	0.004172	0.005202	0.019889	0.003294	0.005506	0.005078	0.003055	0.002376	0.002012	0.001326	0.000878	0.000371	0.559538	-108184.570
330	0.004886	0.003341	0.006407	0.003008	0.004701	0.002235	0.006404	0.003853	0.003152	0.003093	0.002545	0.001999	0.000896	0.396351	-108382.744
340	0.005744	0.003327	0.004641	0.004798	0.001901	0.006550	0.005765	0.004530	0.003733	0.003598	0.003324	0.002708	0.000573	0.768588	-106150.322
350	0.004478	0.002358	0.002297	0.009545	0.001772	0.002607	0.003658	0.005112	0.004303	0.004078	0.004015	0.003331	0.001762	0.185611	-110412.027
360	0.003132	0.001817	0.004166	0.007809	0.002734	0.005462	0.004545	0.003644	0.003198	0.002780	0.001436	0.001735	0.000677	0.032779	-107852.625
370	0.009052	0.005170	0.004041	0.002139	0.004638	0.004472	0.003072	0.010531	0.009441	0.008370	0.007472	0.005385	0.001637	0.032779	-105200.851
