Gen	theta_6PmunDintDludDcelDgol	theta_7DintDludDcelDgol	theta_8DludDcelDgol	theta_9DcelDgol	tau_6PmunDintDludDcelDgol	tau_7DintDludDcelDgol	tau_8DludDcelDgol	tau_9DcelDgol	lnL
10	0.009227	0.003400	0.002335	0.001374	0.008017	0.005233	0.000926	0.000183	-102930.538
20	0.006755	0.002088	0.002396	0.001351	0.007882	0.005732	0.000880	0.000180	-108816.555
30	0.009361	0.001847	0.003648	0.002032	0.012000	0.007924	0.001340	0.000161	-101470.924
40	0.009586	0.002946	0.005364	0.001049	0.019269	0.009505	0.002595	0.000805	-103916.202
50	0.015405	0.002278	0.003480	0.001523	0.026960	0.013299	0.007527	0.002255	-103053.260
60	0.009167	0.003320	0.003035	0.002202	0.025461	0.009096	0.004755	0.001810	-104731.504
70	0.016538	0.003257	0.003278	0.002609	0.028973	0.012947	0.005304	0.003007	-104729.835
80	0.007099	0.001629	0.002192	0.003760	0.013662	0.005566	0.002501	0.000664	-104078.398
90	0.009999	0.003804	0.002723	0.006703	0.013662	0.005179	0.002766	0.000256	-104099.591
100	0.006112	0.003150	0.002007	0.002048	0.008502	0.003413	0.001617	0.000131	-100630.887
110	0.005553	0.003150	0.003894	0.002048	0.008502	0.003413	0.001195	0.000131	-106201.603
120	0.003571	0.004382	0.003063	0.002416	0.010031	0.004147	0.003150	0.000154	-103275.759
130	0.003858	0.003250	0.003468	0.003339	0.010164	0.004202	0.003192	0.000156	-104387.956
140	0.005327	0.006484	0.004908	0.003479	0.010590	0.004378	0.003034	0.000163	-101723.956
150	0.003760	0.002282	0.003754	0.002528	0.006155	0.002525	0.001140	0.000067	-106058.757
160	0.003555	0.004259	0.002767	0.002122	0.006124	0.002512	0.002019	0.000066	-103585.067
170	0.004680	0.004530	0.004351	0.002035	0.007282	0.002987	0.002270	0.000079	-104313.671
180	0.001956	0.006543	0.008217	0.003803	0.007245	0.002972	0.002594	0.000078	-111785.363
190	0.001991	0.007466	0.005649	0.006645	0.007371	0.003161	0.002802	0.000080	-107832.756
200	0.001689	0.005487	0.003857	0.005528	0.006254	0.002759	0.001946	0.000068	-108226.396
210	0.001689	0.004012	0.004299	0.004874	0.006254	0.003708	0.003092	0.000068	-109666.842
220	0.003724	0.003483	0.010205	0.018015	0.010489	0.006284	0.005344	0.000114	-99324.895
230	0.003919	0.002579	0.004219	0.012048	0.007075	0.004009	0.003759	0.000102	-109241.285
240	0.002338	0.001764	0.001786	0.003605	0.003797	0.002184	0.002092	0.000052	-105541.490
250	0.003329	0.003285	0.001538	0.002663	0.006805	0.003653	0.003499	0.000087	-105937.185
260	0.003696	0.004324	0.001391	0.003323	0.009535	0.005118	0.004903	0.000122	-106260.754
270	0.004327	0.002515	0.002099	0.002856	0.011162	0.005991	0.005740	0.000143	-99914.294
280	0.001790	0.004881	0.004199	0.002735	0.009156	0.004915	0.004709	0.000118	-105052.371
290	0.002192	0.011412	0.002050	0.001579	0.016272	0.008734	0.008368	0.000209	-102856.270
300	0.001319	0.008264	0.003566	0.002177	0.015420	0.008277	0.007930	0.000198	-107598.887
310	0.001934	0.012000	0.006077	0.005235	0.022610	0.012137	0.011628	0.000290	-109374.618
320	0.001358	0.009530	0.004063	0.004833	0.017786	0.009547	0.009146	0.000228	-103343.988
330	0.002002	0.016404	0.008373	0.003396	0.025683	0.013786	0.013208	0.000330	-105042.616
340	0.001033	0.007717	0.004445	0.001499	0.021458	0.009803	0.009391	0.000235	-101967.213
350	0.003178	0.010989	0.017751	0.002004	0.048272	0.020893	0.020017	0.000500	-98331.789
360	0.001716	0.004686	0.016904	0.001781	0.033518	0.016288	0.015604	0.000390	-104827.888
370	0.001798	0.005556	0.014486	0.001820	0.035132	0.017072	0.016356	0.000408	-104103.472
380	0.001848	0.014182	0.007988	0.004219	0.036097	0.017541	0.016805	0.000420	-100230.447
390	0.002803	0.005225	0.004188	0.002313	0.016864	0.008195	0.007851	0.000196	-103431.159
400	0.001697	0.003137	0.006265	0.002833	0.012278	0.005966	0.005716	0.000143	-105960.545
410	0.001696	0.003513	0.009367	0.001912	0.012272	0.005963	0.005713	0.000143	-106853.216
420	0.001720	0.003576	0.003538	0.004446	0.009312	0.004525	0.004335	0.000108	-109246.723
430	0.002738	0.004298	0.002910	0.002300	0.016600	0.008067	0.007728	0.000193	-107827.260
440	0.002530	0.002943	0.002500	0.002017	0.019074	0.009269	0.008880	0.000221	-100993.504
450	0.004469	0.005877	0.001886	0.002118	0.029322	0.014249	0.013651	0.000340	-106964.196
460	0.001635	0.003117	0.001837	0.001993	0.015743	0.007650	0.007329	0.000183	-102444.496
470	0.002489	0.005540	0.004423	0.005224	0.045094	0.020949	0.020070	0.000501	-97659.475
480	0.004400	0.006232	0.002199	0.009961	0.062339	0.024194	0.023179	0.000578	-100720.081
490	0.002425	0.003279	0.001533	0.005437	0.037249	0.015448	0.014800	0.000369	-98060.294
500	0.002835	0.005494	0.001620	0.003649	0.052603	0.020322	0.019470	0.000486	-100772.245
510	0.001798	0.002869	0.002652	0.004148	0.055895	0.022417	0.019909	0.000536	-103594.931
520	0.001579	0.001360	0.003158	0.001834	0.024798	0.013210	0.005430	0.000275	-102727.790
530	0.003148	0.003796	0.003967	0.002575	0.028392	0.013118	0.007624	0.000386	-107035.914
540	0.001920	0.002469	0.002396	0.001923	0.016271	0.008102	0.004709	0.000238	-103843.647
