Gen	theta_6PmunDintDcelDludDgol	theta_7DintDcelDludDgol	theta_8DcelDludDgol	theta_9DludDgol	tau_6PmunDintDcelDludDgol	tau_7DintDcelDludDgol	tau_8DcelDludDgol	tau_9DludDgol	lnL
10	0.008055	0.003445	0.005165	0.011659	0.076751	0.041923	0.013921	0.013838	-79331.813
20	0.009264	0.003399	0.004189	0.003619	0.080363	0.042572	0.017038	0.016937	-78966.594
30	0.017670	0.003325	0.004198	0.003627	0.086194	0.043292	0.017075	0.016973	-79036.186
40	0.010111	0.002885	0.004226	0.006146	0.082275	0.033965	0.017110	0.017009	-78709.590
50	0.007939	0.002464	0.004577	0.003643	0.081289	0.041669	0.018529	0.018419	-79023.031
60	0.011977	0.003165	0.005700	0.006072	0.079514	0.037491	0.018848	0.018736	-79349.615
70	0.012256	0.001679	0.009989	0.006768	0.064703	0.039038	0.015445	0.015353	-78618.241
80	0.019473	0.003892	0.013413	0.003249	0.094993	0.044817	0.022743	0.022608	-78750.150
90	0.012856	0.002868	0.008907	0.003038	0.067915	0.040339	0.015995	0.015900	-79301.948
100	0.003691	0.004458	0.012475	0.004313	0.073472	0.025085	0.013463	0.013383	-78861.143
110	0.004332	0.002406	0.013269	0.001472	0.075372	0.026651	0.014831	0.014743	-78844.368
120	0.003203	0.002305	0.010597	0.002110	0.088459	0.033777	0.015545	0.015453	-78649.534
130	0.002888	0.003707	0.009967	0.000997	0.098510	0.032302	0.015909	0.015815	-78695.482
140	0.003527	0.007260	0.007805	0.002610	0.105307	0.037498	0.017933	0.017827	-78956.021
150	0.003927	0.006172	0.006323	0.002161	0.074182	0.028277	0.012734	0.012659	-79335.985
160	0.003571	0.003075	0.006402	0.002810	0.082178	0.031075	0.014910	0.014822	-78715.980
170	0.006306	0.009717	0.004793	0.002638	0.092533	0.044057	0.019722	0.019605	-78792.283
180	0.006931	0.006497	0.010365	0.004479	0.076317	0.039364	0.017877	0.017771	-79009.697
190	0.005641	0.006413	0.004442	0.007930	0.071822	0.036431	0.018647	0.018536	-79047.674
200	0.005020	0.002016	0.006579	0.007355	0.079795	0.039622	0.019311	0.019196	-79117.262
210	0.005764	0.002090	0.005600	0.010364	0.095848	0.046227	0.021638	0.021510	-78920.316
220	0.004191	0.001745	0.004274	0.015091	0.075372	0.033665	0.016513	0.016415	-78765.607
230	0.005678	0.002888	0.004542	0.007644	0.075127	0.035744	0.017548	0.017444	-79027.744
240	0.004873	0.004088	0.004901	0.004533	0.101574	0.045784	0.018936	0.018823	-78892.415
250	0.004161	0.006347	0.002568	0.002600	0.088483	0.034302	0.016811	0.016711	-79226.400
260	0.003586	0.005006	0.002294	0.002416	0.080550	0.034958	0.015021	0.014932	-79301.930
270	0.002496	0.016685	0.002825	0.001429	0.097215	0.037934	0.018495	0.018385	-78775.639
280	0.004480	0.011823	0.002564	0.004634	0.089809	0.038066	0.016787	0.016687	-78665.052
290	0.002950	0.004665	0.002760	0.002761	0.101410	0.041898	0.018072	0.017964	-78975.399
300	0.003234	0.003859	0.002864	0.001629	0.101673	0.045408	0.018752	0.018641	-78809.025
310	0.005408	0.003153	0.004101	0.003406	0.106887	0.050240	0.018499	0.018389	-79385.527
320	0.003089	0.003082	0.005041	0.004546	0.095734	0.036353	0.014999	0.014910	-79261.296
330	0.002441	0.004310	0.006046	0.004075	0.113757	0.039954	0.017989	0.017883	-79045.255
340	0.003032	0.004366	0.006897	0.012541	0.088605	0.030943	0.016826	0.016726	-78800.625
350	0.001970	0.003800	0.007340	0.005624	0.080453	0.025954	0.013388	0.013309	-78521.386
360	0.003260	0.011061	0.010234	0.003539	0.099537	0.032907	0.018599	0.018489	-79315.539
370	0.004547	0.005437	0.007893	0.004508	0.092392	0.035349	0.018493	0.018384	-78502.901
380	0.003282	0.002933	0.007082	0.003443	0.080589	0.031738	0.016592	0.016493	-78599.985
390	0.003244	0.005986	0.010110	0.008359	0.091827	0.038696	0.019694	0.019577	-78632.312
400	0.002144	0.005083	0.018847	0.010670	0.105616	0.044584	0.022385	0.022253	-79400.586
410	0.001507	0.001785	0.010427	0.005266	0.078193	0.035353	0.015059	0.014970	-78796.367
420	0.002079	0.002916	0.008598	0.002703	0.087483	0.033093	0.017090	0.016988	-78469.088
430	0.003168	0.007269	0.009322	0.001355	0.105531	0.038323	0.022476	0.022342	-79217.748
440	0.002749	0.006917	0.004065	0.002304	0.096509	0.033618	0.022476	0.022342	-78942.514
450	0.003521	0.003572	0.004168	0.010930	0.086709	0.039176	0.023049	0.022912	-79094.450
460	0.002203	0.002781	0.003588	0.007029	0.088600	0.042104	0.019837	0.019720	-78748.441
470	0.002272	0.002563	0.007951	0.003735	0.103625	0.039087	0.022252	0.022120	-79026.728
480	0.003743	0.001627	0.009628	0.002482	0.096439	0.040669	0.021901	0.021771	-79416.883
490	0.003882	0.001805	0.003965	0.001861	0.079491	0.033093	0.019606	0.019490	-78642.493
500	0.002671	0.003209	0.005339	0.003096	0.110062	0.040156	0.026400	0.026243	-79201.722
510	0.003381	0.004252	0.005434	0.003376	0.073720	0.025330	0.017820	0.017714	-78859.718
520	0.003451	0.002891	0.004395	0.005896	0.101385	0.033692	0.024081	0.023938	-79563.205
530	0.009617	0.004530	0.003777	0.004393	0.076531	0.025904	0.020693	0.020570	-79195.119
540	0.014558	0.006765	0.004371	0.006039	0.077975	0.032606	0.023949	0.023807	-78970.409
550	0.005626	0.009672	0.003580	0.003331	0.077359	0.031671	0.022412	0.022279	-79508.377
560	0.006591	0.014421	0.003472	0.003839	0.084889	0.028427	0.021735	0.021606	-79325.949
570	0.003628	0.011235	0.003322	0.009467	0.080617	0.027197	0.020795	0.020671	-79197.898
580	0.005193	0.010485	0.003167	0.007648	0.095943	0.025933	0.019828	0.019711	-79139.618
590	0.003706	0.005108	0.002521	0.017591	0.091341	0.025333	0.019904	0.019786	-78960.361
600	0.004590	0.004447	0.002824	0.017257	0.095286	0.028385	0.022301	0.020310	-78860.650
610	0.003575	0.004294	0.002650	0.006166	0.081635	0.029862	0.020922	0.019519	-78910.670
620	0.003260	0.004418	0.003784	0.007504	0.112172	0.050396	0.029882	0.028348	-79033.117
630	0.001969	0.004389	0.002799	0.006638	0.093842	0.033392	0.022099	0.020964	-78995.392
640	0.002712	0.003996	0.004806	0.006201	0.084694	0.037209	0.022539	0.021234	-79665.665
650	0.001975	0.004147	0.006049	0.008707	0.091625	0.036516	0.021131	0.019890	-79714.034
660	0.003230	0.002091	0.005902	0.007926	0.107245	0.050262	0.023723	0.023157	-78553.516
670	0.002901	0.004660	0.007982	0.002010	0.105424	0.051777	0.022546	0.022009	-79002.518
680	0.002842	0.003980	0.003214	0.002848	0.086310	0.035550	0.019747	0.019276	-78980.691
690	0.001962	0.001602	0.002512	0.007686	0.072908	0.025789	0.015432	0.014766	-79131.846
700	0.002006	0.002117	0.004680	0.009298	0.093123	0.034995	0.019508	0.019015	-79164.743
710	0.001991	0.001356	0.004711	0.003254	0.094037	0.041670	0.019637	0.018776	-78701.529
720	0.003497	0.001893	0.005183	0.003576	0.089732	0.042278	0.019637	0.018776	-79119.077
730	0.006009	0.002903	0.005518	0.007627	0.106374	0.053028	0.026443	0.024474	-78911.188
740	0.002467	0.001661	0.004898	0.006170	0.105114	0.045224	0.023818	0.022564	-78647.607
750	0.002150	0.001502	0.004755	0.005130	0.088421	0.037222	0.020163	0.019620	-79199.257
