Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.012652	0.047103	0.003221	0.001664	0.003352	0.001890	0.002812	0.096636	0.012459	0.011773	0.006420	0.008240	0.000105	0.609517	-76445.511
20	0.009353	0.045045	0.003459	0.001851	0.004034	0.003297	0.002142	0.094803	0.012193	0.011357	0.005538	0.003143	0.000102	0.609517	-76483.966
30	0.008595	0.035440	0.002692	0.003030	0.004883	0.002739	0.009414	0.089589	0.011486	0.010698	0.002899	0.002333	0.000125	0.613157	-76312.209
40	0.011136	0.044445	0.003841	0.001869	0.005630	0.001870	0.008529	0.094622	0.013053	0.011394	0.005951	0.002615	0.000142	0.584678	-76480.986
50	0.010186	0.066110	0.003262	0.001902	0.013625	0.003038	0.012791	0.083504	0.013876	0.011676	0.006602	0.002546	0.000221	0.465725	-76732.314
60	0.004494	0.056976	0.007375	0.002077	0.004603	0.003251	0.004958	0.090843	0.014464	0.012638	0.006579	0.003193	0.000231	0.496271	-76341.399
70	0.006618	0.032653	0.011714	0.006114	0.003560	0.004266	0.005237	0.094975	0.014817	0.012455	0.003961	0.003742	0.000421	0.720799	-76650.954
80	0.011661	0.049941	0.009045	0.005031	0.002337	0.002172	0.004594	0.091572	0.015489	0.013340	0.005473	0.003516	0.002509	0.485527	-76507.060
90	0.008093	0.042367	0.011318	0.002425	0.001979	0.001650	0.002179	0.091675	0.013112	0.009863	0.006485	0.002977	0.000646	0.568455	-76551.670
100	0.009336	0.043394	0.009905	0.005917	0.002542	0.002654	0.006381	0.087812	0.013681	0.010244	0.004711	0.005430	0.000805	0.703866	-76427.013
110	0.010582	0.059313	0.005573	0.006318	0.003734	0.002473	0.001821	0.092790	0.014634	0.011185	0.005218	0.004093	0.000719	0.618211	-76486.260
120	0.014078	0.035633	0.006439	0.002313	0.004465	0.005305	0.003199	0.081536	0.016282	0.012843	0.002882	0.003504	0.000250	0.809644	-76483.635
130	0.019249	0.029153	0.023485	0.002574	0.005045	0.003394	0.003836	0.086096	0.019766	0.012269	0.003839	0.002861	0.000583	0.450475	-76268.451
140	0.018377	0.076497	0.013023	0.002378	0.006804	0.006569	0.003289	0.104404	0.022869	0.016546	0.006799	0.003858	0.002188	0.444205	-76641.511
150	0.032488	0.061895	0.022777	0.001966	0.003668	0.001950	0.005499	0.077948	0.018903	0.011254	0.005620	0.003926	0.003747	0.517396	-76326.686
160	0.028163	0.053724	0.028111	0.004365	0.003137	0.001180	0.007439	0.091412	0.023651	0.014081	0.004719	0.005839	0.003071	0.517396	-76494.901
170	0.022327	0.038895	0.014049	0.002780	0.001772	0.006707	0.005391	0.090027	0.023509	0.013996	0.004691	0.005688	0.000820	0.652871	-76470.610
180	0.028726	0.043838	0.014267	0.003913	0.002336	0.004731	0.001947	0.075276	0.020237	0.012048	0.005571	0.005267	0.002131	0.568511	-76653.375
190	0.024522	0.032677	0.015547	0.002829	0.002482	0.004402	0.002729	0.068192	0.019186	0.011422	0.006216	0.004993	0.002020	0.439661	-76592.500
200	0.031973	0.043315	0.018455	0.003119	0.001504	0.003661	0.003082	0.071037	0.017724	0.011298	0.005409	0.006518	0.005201	0.495195	-76408.547
210	0.020567	0.039557	0.012369	0.004426	0.002893	0.001589	0.002216	0.078254	0.016486	0.011079	0.002812	0.003541	0.001384	0.495195	-76462.298
220	0.033404	0.065968	0.017192	0.004366	0.001927	0.007101	0.002921	0.089822	0.021577	0.014825	0.003680	0.006940	0.001783	0.677938	-76333.547
230	0.021100	0.089338	0.016583	0.000951	0.002670	0.003261	0.000956	0.091722	0.022180	0.017433	0.005588	0.009265	0.001013	0.590660	-76644.932
240	0.011527	0.049097	0.016237	0.000958	0.002208	0.003438	0.006415	0.099115	0.023794	0.017231	0.005627	0.009329	0.002309	0.452800	-76207.587
250	0.012129	0.032244	0.010934	0.000988	0.003493	0.002729	0.003672	0.094033	0.018936	0.014420	0.003753	0.007955	0.002158	0.668684	-76411.527
260	0.015056	0.032429	0.015817	0.001571	0.004249	0.002492	0.002837	0.094347	0.017804	0.013196	0.002800	0.006743	0.001183	0.668684	-76524.516
270	0.013019	0.049528	0.006922	0.001583	0.003591	0.002477	0.005632	0.090815	0.017436	0.014226	0.002821	0.006628	0.002096	0.668684	-76665.941
