Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.034912	0.014710	0.023670	0.002005	0.002613	0.004122	0.009683	0.054823	0.020051	0.007717	0.005338	0.004137	0.000252	0.985154	-76649.088
20	0.031976	0.030692	0.019132	0.010034	0.003465	0.001888	0.002473	0.061025	0.022319	0.008590	0.001922	0.005529	0.001193	0.985154	-76755.405
30	0.055255	0.017764	0.017258	0.007831	0.015247	0.004330	0.004094	0.069352	0.025364	0.009762	0.002160	0.008044	0.002149	0.793045	-76682.611
40	0.038730	0.018802	0.016033	0.009293	0.009984	0.004816	0.015808	0.073404	0.026847	0.010333	0.002090	0.009856	0.000867	0.901044	-76735.715
50	0.023859	0.026768	0.025005	0.010056	0.003580	0.007003	0.003984	0.073404	0.026847	0.010333	0.003086	0.005625	0.002666	0.948456	-76728.240
60	0.030553	0.012138	0.018334	0.013758	0.002620	0.005359	0.006544	0.073898	0.027027	0.010402	0.003349	0.009972	0.001455	0.910085	-76546.136
70	0.022165	0.013137	0.012487	0.008109	0.006499	0.015421	0.002622	0.079980	0.029251	0.011258	0.005351	0.010793	0.001032	0.820302	-76663.669
80	0.013478	0.016887	0.018592	0.005488	0.004785	0.004918	0.009137	0.089119	0.032594	0.012545	0.006609	0.007788	0.004223	0.944782	-76807.027
90	0.014094	0.034471	0.016785	0.005046	0.002470	0.003528	0.002579	0.090549	0.029427	0.011326	0.005979	0.007983	0.003110	0.871205	-76887.078
100	0.008887	0.033966	0.021721	0.006832	0.006083	0.004227	0.006186	0.079046	0.024318	0.009791	0.005101	0.003426	0.000723	0.994368	-76804.771
110	0.007906	0.045838	0.025867	0.008204	0.003603	0.002197	0.003020	0.077535	0.026300	0.009226	0.005736	0.003194	0.000819	0.842282	-76791.699
120	0.005376	0.023686	0.032186	0.009208	0.003143	0.005315	0.004621	0.077535	0.026300	0.009226	0.002827	0.001579	0.000741	0.938936	-76606.035
130	0.004750	0.023238	0.031756	0.002633	0.005446	0.002073	0.006766	0.090415	0.037784	0.009893	0.007545	0.006505	0.004834	0.988904	-76758.999
140	0.004625	0.017931	0.024297	0.002043	0.009198	0.003942	0.001955	0.080835	0.033781	0.008844	0.006501	0.006854	0.001426	0.937031	-76647.870
150	0.004443	0.017483	0.025284	0.004569	0.024075	0.003435	0.002002	0.082771	0.030528	0.009056	0.004083	0.007655	0.001684	0.697886	-76542.565
160	0.004281	0.012862	0.021178	0.006233	0.004732	0.002595	0.001229	0.081256	0.031770	0.009424	0.004064	0.006278	0.001963	0.921620	-76567.028
170	0.004340	0.012766	0.025423	0.006165	0.003585	0.025143	0.001974	0.091232	0.031533	0.009354	0.005912	0.008374	0.004913	0.929404	-76508.568
180	0.004265	0.009345	0.015582	0.005444	0.006825	0.002123	0.004108	0.080961	0.032161	0.008301	0.005112	0.006678	0.001190	0.755728	-76653.372
190	0.004503	0.008817	0.020996	0.006787	0.006608	0.005611	0.005357	0.085839	0.030345	0.007832	0.003003	0.007469	0.000792	0.873547	-76655.658
200	0.005402	0.010287	0.023861	0.008616	0.006628	0.001401	0.004435	0.084181	0.035404	0.009138	0.003179	0.009038	0.002924	0.452895	-76682.535
210	0.005151	0.007422	0.024795	0.003878	0.004725	0.005802	0.005533	0.085621	0.033788	0.008721	0.003209	0.008626	0.001256	0.623753	-76648.363
220	0.005898	0.008499	0.025854	0.002065	0.005947	0.001919	0.006390	0.098038	0.038688	0.009986	0.003679	0.009874	0.002110	0.444842	-76569.812
230	0.006344	0.013546	0.015229	0.005436	0.007608	0.002042	0.004137	0.085564	0.033765	0.008715	0.002037	0.008626	0.001013	0.408428	-76629.411
240	0.006663	0.020504	0.021257	0.002391	0.003016	0.002928	0.009118	0.089858	0.030079	0.009153	0.003854	0.009099	0.001792	0.747225	-76574.374
250	0.009566	0.015164	0.027826	0.003116	0.007146	0.002818	0.007031	0.097950	0.031953	0.009723	0.002749	0.008931	0.000959	0.497934	-76512.116
260	0.008381	0.026323	0.022756	0.002434	0.012141	0.004763	0.005256	0.085809	0.027992	0.008517	0.002569	0.008093	0.000435	0.719085	-76517.365
270	0.010176	0.015022	0.024218	0.001272	0.009203	0.002293	0.002585	0.080721	0.031679	0.007623	0.003850	0.005323	0.000220	0.572970	-76640.598
280	0.021681	0.019584	0.035678	0.001658	0.002272	0.001455	0.001549	0.085337	0.033491	0.008059	0.003708	0.008008	0.000388	0.593044	-76415.364
290	0.019411	0.021637	0.035797	0.003432	0.002358	0.003447	0.013112	0.085046	0.033491	0.008059	0.002344	0.008008	0.000194	0.469565	-76687.739
