Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10k	theta_11u	theta_12j	theta_13l	theta_14j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10k	tau_11u	tau_12j	tau_13l	phi_j<-i	phi_l<-k	lnL
10	0.002592	0.001866	0.002529	0.009505	0.004994	0.001573	0.004304	0.002258	0.001895	0.010951	0.010286	0.009038	0.007223	0.002349	0.008164	0.004369	0.002349	0.694534	0.430454	-98853.706
20	0.002534	0.002762	0.002162	0.042341	0.009485	0.005535	0.005583	0.002003	0.004809	0.009930	0.008926	0.008394	0.004026	0.003342	0.008224	0.000907	0.003342	0.731988	0.192286	-100739.133
30	0.004483	0.006170	0.004486	0.004180	0.006258	0.003665	0.006604	0.005544	0.001576	0.017865	0.016058	0.014374	0.014207	0.012440	0.014039	0.003148	0.012440	0.328803	0.166366	-97565.368
40	0.002564	0.005457	0.003057	0.005509	0.006199	0.004607	0.001386	0.001800	0.005739	0.012172	0.011707	0.009793	0.009665	0.008476	0.009710	0.004205	0.008476	0.430309	0.182493	-99025.520
50	0.001577	0.012488	0.002276	0.001945	0.003494	0.003861	0.003791	0.002148	0.001721	0.007485	0.007027	0.006022	0.005845	0.001973	0.005817	0.000794	0.001973	0.336939	0.021526	-99437.637
60	0.003718	0.009254	0.004344	0.009758	0.007511	0.012433	0.001932	0.002985	0.006582	0.016600	0.016112	0.013558	0.012764	0.003089	0.013106	0.010976	0.003089	0.485806	0.021526	-98190.595
70	0.003736	0.006337	0.002967	0.003098	0.006500	0.006842	0.009454	0.008058	0.001519	0.016679	0.016189	0.014409	0.013463	0.002562	0.012868	0.009946	0.002562	0.642980	0.039370	-96581.647
80	0.003870	0.012526	0.003290	0.002408	0.005501	0.005456	0.013066	0.001844	0.006532	0.016669	0.016541	0.014307	0.013686	0.007522	0.013869	0.008815	0.007522	0.769772	0.056872	-94986.237
90	0.001928	0.007104	0.003948	0.001502	0.005543	0.004092	0.002701	0.008852	0.002336	0.009762	0.009748	0.008108	0.007128	0.004862	0.006428	0.005130	0.004862	0.769772	0.403702	-100205.827
100	0.001585	0.003979	0.002786	0.001551	0.003485	0.003058	0.018651	0.009008	0.008727	0.008023	0.008012	0.006873	0.005380	0.003968	0.006085	0.000753	0.003968	0.769772	0.837244	-96470.940
110	0.001936	0.004240	0.002398	0.001808	0.010195	0.004823	0.001600	0.005500	0.001288	0.011519	0.011502	0.010920	0.007592	0.006619	0.010364	0.001979	0.006619	0.769772	0.857395	-96140.240
120	0.002402	0.003450	0.003164	0.006385	0.011362	0.002724	0.003177	0.002102	0.002785	0.010001	0.009851	0.009219	0.004072	0.001118	0.004677	0.002066	0.001118	0.148746	0.584238	-96987.262
130	0.002632	0.003541	0.005708	0.005948	0.008786	0.005495	0.003505	0.002543	0.002436	0.011868	0.011647	0.010596	0.008388	0.001482	0.006182	0.001697	0.001482	0.288079	0.724887	-96133.616
