Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.001186	0.015533	0.003354	0.003447	0.002193	0.001856	0.003386	0.026337	0.017849	0.010736	0.008698	0.004709	0.000608	0.037393	-96450.540
20	0.001164	0.007901	0.007492	0.002109	0.003588	0.007535	0.003574	0.025844	0.018050	0.010535	0.006822	0.004242	0.001663	0.143283	-95363.284
30	0.003175	0.012810	0.005568	0.003900	0.005549	0.001731	0.007428	0.031452	0.018970	0.013528	0.004040	0.003510	0.003236	0.281200	-95319.879
40	0.002231	0.002212	0.002746	0.008339	0.002926	0.002758	0.003301	0.013382	0.011028	0.008126	0.001735	0.002198	0.000967	0.571072	-97941.017
50	0.006519	0.010966	0.008610	0.010437	0.003879	0.008240	0.003262	0.031048	0.022603	0.014405	0.009469	0.006418	0.001743	0.884464	-94439.045
60	0.004356	0.003066	0.011700	0.003366	0.003292	0.008883	0.005329	0.020742	0.017867	0.011403	0.009185	0.004268	0.003957	0.845623	-94195.318
70	0.006056	0.003978	0.003860	0.002563	0.004802	0.008164	0.002311	0.028842	0.025489	0.021611	0.012949	0.010166	0.002206	0.574221	-93773.402
80	0.006873	0.004129	0.006313	0.001466	0.002092	0.001938	0.001557	0.021168	0.017201	0.016080	0.006318	0.014558	0.003844	0.695002	-97958.958
90	0.008254	0.005310	0.009677	0.001829	0.009413	0.075429	0.002617	0.027223	0.022121	0.020002	0.008125	0.018315	0.001740	0.655327	-98027.431
100	0.004411	0.001389	0.006158	0.002480	0.005054	0.003449	0.003130	0.014548	0.012389	0.011841	0.004342	0.008843	0.002630	0.760252	-96877.071
110	0.006034	0.002307	0.004633	0.002736	0.013696	0.003097	0.004165	0.019901	0.016896	0.016198	0.008517	0.010805	0.005251	0.672333	-98063.269
120	0.010031	0.002557	0.005835	0.009416	0.004155	0.001828	0.003904	0.022056	0.018726	0.018101	0.008738	0.014648	0.006978	0.310437	-91314.042
130	0.006309	0.002241	0.004146	0.005719	0.018699	0.006801	0.002429	0.017800	0.015095	0.014656	0.009076	0.005022	0.003243	0.127567	-96257.734
140	0.007636	0.002480	0.003989	0.004624	0.007511	0.004913	0.004827	0.016566	0.014048	0.012070	0.011323	0.005575	0.002475	0.362441	-102160.572
150	0.016530	0.001895	0.004165	0.002224	0.003855	0.002406	0.002368	0.016601	0.014546	0.012056	0.010869	0.010022	0.001348	0.294694	-94763.080
160	0.009204	0.003142	0.005223	0.003002	0.014806	0.004530	0.001818	0.018521	0.016540	0.013315	0.010284	0.003168	0.001277	0.294694	-97563.800
170	0.007898	0.007823	0.002327	0.006461	0.002750	0.002194	0.010106	0.015142	0.011756	0.010547	0.004081	0.009110	0.000496	0.294694	-99084.259
180	0.013300	0.010994	0.003367	0.005325	0.008460	0.005212	0.008291	0.024487	0.019170	0.017310	0.015856	0.014464	0.000644	0.639295	-93522.949
190	0.005622	0.003035	0.004157	0.017214	0.002318	0.005264	0.003322	0.010356	0.009438	0.007260	0.003187	0.003996	0.000700	0.232561	-100060.880
200	0.010360	0.010767	0.008525	0.007458	0.003691	0.002304	0.003521	0.012594	0.010806	0.008874	0.003606	0.003688	0.003496	0.402185	-101986.383
210	0.005200	0.003756	0.003141	0.004158	0.001643	0.001895	0.003368	0.006321	0.005814	0.003455	0.001722	0.002111	0.000549	0.187577	-101253.669
220	0.004263	0.011652	0.002196	0.001352	0.007957	0.008889	0.009776	0.008460	0.007978	0.005433	0.004810	0.003776	0.000305	0.247391	-95219.810
230	0.007824	0.008586	0.004675	0.002870	0.020424	0.001539	0.002245	0.015525	0.013354	0.009627	0.005312	0.009486	0.001045	0.122907	-95466.188
240	0.005337	0.013887	0.003189	0.002191	0.008715	0.004560	0.002040	0.010590	0.009924	0.006567	0.003225	0.006471	0.000741	0.111282	-99889.731
250	0.004336	0.004989	0.003215	0.005444	0.003647	0.002779	0.004983	0.010677	0.010005	0.006621	0.002874	0.006485	0.001344	0.194965	-101678.714
260	0.009218	0.007608	0.006835	0.014562	0.003387	0.005005	0.008309	0.022697	0.020288	0.014075	0.013896	0.013786	0.003834	0.194965	-92973.374
270	0.005524	0.012910	0.003143	0.010943	0.003538	0.002809	0.002873	0.015994	0.013182	0.009918	0.008201	0.009714	0.003392	0.462038	-98702.439
280	0.007850	0.003113	0.002183	0.008616	0.014143	0.002708	0.002460	0.011107	0.009484	0.006888	0.005792	0.006003	0.004689	0.847487	-97454.928
290	0.007236	0.003012	0.002012	0.004277	0.005139	0.001077	0.004693	0.010239	0.009404	0.006349	0.005750	0.006320	0.001357	0.587434	-99439.670
300	0.009809	0.004258	0.003597	0.006080	0.002023	0.005707	0.003019	0.012327	0.010244	0.007633	0.002593	0.007610	0.001459	0.287393	-93164.802
310	0.006978	0.005278	0.003011	0.004254	0.002286	0.002105	0.007975	0.010399	0.009153	0.006440	0.005348	0.006344	0.000800	0.083066	-98745.008
320	0.004702	0.005183	0.003049	0.003660	0.006270	0.004760	0.001771	0.009435	0.008037	0.005843	0.005627	0.005756	0.000553	0.168481	-97276.657
330	0.004853	0.005874	0.003551	0.003388	0.005059	0.003257	0.002127	0.009739	0.008986	0.006031	0.004916	0.005834	0.003381	0.102599	-96439.387
340	0.005166	0.003369	0.005274	0.006226	0.006843	0.003890	0.006957	0.014461	0.013863	0.008955	0.004494	0.008663	0.001310	0.066432	-98677.911
350	0.006509	0.003395	0.006645	0.003454	0.012674	0.004715	0.003782	0.018221	0.017156	0.011284	0.007852	0.010915	0.001145	0.190368	-98617.311
360	0.003949	0.001819	0.004031	0.002123	0.003722	0.001282	0.003103	0.011053	0.009680	0.006845	0.004750	0.006621	0.000798	0.403854	-98308.091
370	0.004321	0.003072	0.007510	0.005505	0.010146	0.001009	0.003419	0.016814	0.014297	0.010412	0.007869	0.010073	0.004972	0.140392	-101257.796
380	0.003946	0.003639	0.002467	0.010690	0.017641	0.002343	0.006116	0.015354	0.012903	0.012328	0.009776	0.006630	0.004498	0.097393	-96014.579
