Gen	theta_6PmunDintDcelDludDgol	theta_7DintDcelDludDgol	theta_8DcelDludDgol	theta_9DludDgol	tau_6PmunDintDcelDludDgol	tau_7DintDcelDludDgol	tau_8DcelDludDgol	tau_9DludDgol	lnL
10	0.004080	0.002349	0.003605	0.016052	0.025695	0.019480	0.010752	0.002365	-90476.769
20	0.003675	0.001812	0.002433	0.006328	0.022107	0.017631	0.012020	0.004177	-93830.233
30	0.004721	0.003433	0.002478	0.003581	0.015761	0.010082	0.007163	0.001853	-98398.506
40	0.005814	0.001895	0.002296	0.007522	0.013970	0.009870	0.006634	0.002985	-94532.272
50	0.010589	0.004225	0.005250	0.008028	0.020328	0.015205	0.008605	0.006564	-93543.386
60	0.007002	0.005815	0.005133	0.002019	0.023182	0.015860	0.009820	0.008671	-94203.155
70	0.005150	0.002315	0.003682	0.004599	0.010794	0.007976	0.004845	0.001833	-97528.124
80	0.009406	0.003265	0.003374	0.003142	0.015221	0.011248	0.006832	0.002118	-94990.891
90	0.010315	0.001265	0.002396	0.003011	0.012810	0.008552	0.004748	0.001278	-98938.452
100	0.010746	0.002614	0.001903	0.003979	0.013849	0.009989	0.007253	0.002101	-95663.318
110	0.011162	0.006539	0.004676	0.002702	0.025461	0.018307	0.014540	0.007697	-91714.622
120	0.005784	0.002781	0.001858	0.003618	0.013009	0.010087	0.007429	0.003559	-95919.106
130	0.005515	0.004356	0.007297	0.005020	0.031573	0.025769	0.013688	0.008645	-97473.800
140	0.003836	0.003955	0.003773	0.005209	0.018468	0.013519	0.011607	0.006448	-95735.153
150	0.004771	0.003758	0.003661	0.002797	0.022969	0.016958	0.013874	0.008430	-96290.802
160	0.006362	0.002678	0.003707	0.003119	0.022108	0.019225	0.011620	0.009046	-94592.943
170	0.006259	0.001515	0.001872	0.007029	0.022108	0.019225	0.011620	0.004272	-96720.503
180	0.011698	0.001931	0.004158	0.008618	0.028181	0.024506	0.011302	0.007069	-94926.157
190	0.017252	0.002406	0.002195	0.006419	0.037430	0.030248	0.017080	0.010497	-94879.094
200	0.013213	0.003211	0.001767	0.003418	0.031881	0.020142	0.013749	0.012213	-98613.651
210	0.016475	0.007730	0.002641	0.006614	0.048641	0.026887	0.019909	0.017741	-90883.743
220	0.011891	0.004213	0.002304	0.002609	0.042005	0.020858	0.016447	0.015206	-92682.795
230	0.012870	0.003618	0.002191	0.002052	0.029678	0.015974	0.013007	0.011636	-94249.440
240	0.010942	0.002749	0.004427	0.005506	0.024450	0.014882	0.010715	0.002943	-98159.205
250	0.016955	0.002359	0.009803	0.003595	0.032626	0.023214	0.013842	0.007120	-91854.068
260	0.006426	0.002383	0.007987	0.002093	0.018762	0.011828	0.006952	0.004214	-91206.538
270	0.006037	0.003092	0.003866	0.004051	0.015623	0.010488	0.005959	0.002857	-97072.136
280	0.010891	0.005954	0.013121	0.004847	0.026665	0.017094	0.010171	0.009220	-96164.577
290	0.005100	0.003039	0.002693	0.002422	0.013563	0.008695	0.005162	0.004069	-100731.570
300	0.007308	0.003746	0.004335	0.006743	0.019649	0.013133	0.007479	0.003747	-97827.186
310	0.004484	0.002709	0.007283	0.008350	0.018203	0.013639	0.005909	0.002188	-97573.518
320	0.003618	0.002926	0.006072	0.005070	0.014623	0.011786	0.004747	0.002905	-98603.747
330	0.003973	0.006508	0.008257	0.004382	0.013202	0.010641	0.004286	0.002804	-97776.158
340	0.001313	0.004747	0.004841	0.007998	0.010019	0.007332	0.003537	0.000633	-100707.944
350	0.002020	0.009377	0.005383	0.003464	0.015409	0.012318	0.004864	0.003563	-97029.761
360	0.004696	0.012678	0.004459	0.004276	0.024207	0.018014	0.008278	0.005906	-94982.932
370	0.004940	0.003926	0.002430	0.004762	0.013189	0.009815	0.004510	0.003637	-95653.389
380	0.008656	0.008452	0.003473	0.003254	0.025988	0.016036	0.007983	0.005134	-95560.689
390	0.008324	0.002473	0.004923	0.002057	0.018859	0.014404	0.003938	0.002322	-96235.257
400	0.015626	0.003338	0.010898	0.004123	0.029971	0.023236	0.005989	0.002034	-95554.400
410	0.012410	0.003254	0.004919	0.002410	0.024524	0.016827	0.006865	0.003714	-97364.843
420	0.009311	0.003975	0.003405	0.002325	0.019683	0.012680	0.005791	0.003780	-94567.734
430	0.016719	0.004635	0.003243	0.002175	0.024576	0.018160	0.008962	0.003355	-92764.993
440	0.013164	0.002495	0.002370	0.003436	0.024576	0.020323	0.011115	0.002754	-97683.254
450	0.019929	0.002489	0.002762	0.005460	0.041424	0.038654	0.021321	0.003659	-94681.364
460	0.015822	0.006884	0.002656	0.001748	0.036524	0.030286	0.017505	0.005673	-93415.398
470	0.010692	0.007739	0.003204	0.001755	0.028011	0.021629	0.013929	0.004548	-99088.595
480	0.010203	0.004291	0.003249	0.001488	0.027417	0.021170	0.017522	0.006437	-98184.390
490	0.011974	0.003502	0.003119	0.003004	0.021794	0.016828	0.012239	0.003406	-93374.802
500	0.010736	0.006697	0.003136	0.002181	0.025510	0.019698	0.009910	0.004957	-94526.886
510	0.020646	0.010811	0.004980	0.004120	0.044948	0.032580	0.018790	0.011259	-91731.365
520	0.005216	0.005342	0.001624	0.009815	0.021111	0.014577	0.009595	0.003269	-99997.744
530	0.007069	0.002074	0.001904	0.010448	0.018204	0.012841	0.007640	0.005120	-98298.093
540	0.005356	0.002971	0.004283	0.014366	0.026427	0.017232	0.011091	0.010305	-94463.633
550	0.003288	0.002178	0.003410	0.014105	0.026543	0.021542	0.011900	0.008492	-95744.461
560	0.004433	0.003375	0.008163	0.021156	0.033066	0.029163	0.012898	0.006400	-94159.126
570	0.003346	0.004821	0.004602	0.002050	0.020520	0.015781	0.009021	0.007972	-95943.614
580	0.003944	0.002738	0.003257	0.004076	0.024184	0.022199	0.013331	0.005569	-94191.334
590	0.005753	0.003005	0.001991	0.002501	0.019361	0.015724	0.010436	0.006587	-97580.607
600	0.005643	0.005730	0.002814	0.003182	0.019833	0.014615	0.010690	0.006683	-97043.356
610	0.004716	0.002920	0.002612	0.004136	0.024284	0.019707	0.012434	0.006789	-97081.257
620	0.002111	0.001650	0.004476	0.003425	0.018724	0.016787	0.008132	0.006835	-92614.469
630	0.004279	0.003748	0.008753	0.006519	0.024821	0.022217	0.010512	0.009529	-96727.464
640	0.004521	0.002694	0.005434	0.005115	0.015227	0.014194	0.006485	0.006023	-102097.459
650	0.005724	0.005886	0.005732	0.010449	0.019594	0.014096	0.008345	0.007750	-101325.745
660	0.003561	0.003085	0.004152	0.009972	0.013625	0.009802	0.004946	0.003768	-95086.619
670	0.007734	0.003193	0.003565	0.021574	0.011929	0.008582	0.004531	0.001925	-94619.387
680	0.003544	0.002221	0.001268	0.005373	0.007781	0.005597	0.004032	0.003654	-98076.271
690	0.006284	0.004633	0.002972	0.003287	0.015316	0.011466	0.007353	0.006894	-92882.208
700	0.006554	0.004983	0.002550	0.006396	0.013137	0.012100	0.006311	0.005573	-98475.463
710	0.005672	0.007977	0.001039	0.004007	0.010692	0.010016	0.006931	0.006460	-93845.260
720	0.007567	0.004225	0.003638	0.013163	0.020753	0.019778	0.013382	0.005836	-93565.279
730	0.009062	0.005332	0.006788	0.010948	0.021358	0.020354	0.009645	0.006548	-98537.993
740	0.002563	0.004629	0.002079	0.002594	0.010536	0.009750	0.006310	0.004812	-100354.355
750	0.003761	0.004342	0.004057	0.009235	0.024799	0.023470	0.011066	0.007188	-95188.950
760	0.004595	0.002617	0.004221	0.008364	0.024783	0.024129	0.009413	0.005670	-95343.846
770	0.004712	0.001791	0.001859	0.003254	0.024783	0.024129	0.013579	0.009890	-93720.090
780	0.004278	0.001948	0.002207	0.002448	0.040454	0.039262	0.022165	0.019668	-95246.637
790	0.005021	0.005018	0.003127	0.003390	0.041276	0.039285	0.022615	0.021523	-95905.956
800	0.006142	0.003867	0.002812	0.003990	0.037057	0.035336	0.020334	0.019698	-94228.811
810	0.004853	0.002613	0.004357	0.005524	0.033581	0.031453	0.018427	0.017404	-95755.298
820	0.003481	0.002465	0.006449	0.003933	0.025508	0.020555	0.013922	0.011847	-95891.215
830	0.002545	0.005982	0.007897	0.005053	0.034616	0.030215	0.021128	0.017270	-96770.684
840	0.001645	0.009368	0.003785	0.003473	0.022381	0.017850	0.013660	0.010220	-97188.460
850	0.001544	0.004120	0.003239	0.001923	0.014179	0.012417	0.007861	0.005962	-96009.543
860	0.002527	0.004210	0.004797	0.007165	0.023199	0.021138	0.015546	0.012328	-97714.940
870	0.002920	0.007259	0.005291	0.004583	0.026806	0.024425	0.021032	0.014803	-95376.966
880	0.002927	0.004270	0.004745	0.008509	0.026871	0.025269	0.022810	0.016268	-92868.245
890	0.002466	0.002548	0.004461	0.006692	0.022643	0.021974	0.020566	0.015853	-95193.637
900	0.004223	0.004161	0.003722	0.008306	0.028297	0.027330	0.024596	0.014381	-95095.872
910	0.003421	0.004700	0.006438	0.003554	0.022925	0.022439	0.016063	0.008723	-95284.646
920	0.002127	0.001204	0.003378	0.004809	0.016978	0.016814	0.013533	0.002994	-95921.852
930	0.003057	0.003071	0.007245	0.017118	0.036590	0.036236	0.028706	0.003328	-93540.911
940	0.002965	0.009390	0.009093	0.012934	0.029694	0.029407	0.025380	0.002186	-99037.210
950	0.003333	0.014443	0.006836	0.002791	0.033371	0.033049	0.028226	0.006057	-95564.368
960	0.001978	0.005759	0.004221	0.002461	0.019805	0.019546	0.018277	0.002419	-98224.258
970	0.003981	0.004438	0.002112	0.002268	0.025492	0.025159	0.023303	0.004349	-97133.226
980	0.003223	0.007030	0.005503	0.001529	0.033925	0.033481	0.031670	0.009622	-96072.768
990	0.003726	0.003660	0.002170	0.001599	0.028065	0.027565	0.024597	0.017428	-94112.885
1000	0.003372	0.002636	0.002878	0.005644	0.039569	0.038863	0.031756	0.015036	-93340.440
1010	0.002975	0.002937	0.003324	0.002058	0.028888	0.028373	0.018686	0.013896	-96993.053
1020	0.002569	0.006922	0.001648	0.003345	0.028888	0.026365	0.021698	0.008551	-93872.554
1030	0.002422	0.004070	0.001644	0.001298	0.027232	0.024869	0.017577	0.013338	-92773.908
1040	0.004103	0.013157	0.005727	0.008321	0.038690	0.031201	0.017371	0.004201	-95180.134
1050	0.005481	0.005856	0.006954	0.002090	0.034363	0.028483	0.012285	0.007534	-95774.071
1060	0.004292	0.005156	0.003078	0.002598	0.034363	0.024059	0.018607	0.008939	-95362.647
1070	0.005103	0.003892	0.002463	0.001838	0.026945	0.015308	0.012957	0.004549	-98139.124
1080	0.009980	0.004056	0.001980	0.001837	0.021389	0.014019	0.012503	0.003817	-96056.932
1090	0.019180	0.001968	0.003441	0.001337	0.035983	0.027750	0.019832	0.015118	-96773.634
1100	0.023115	0.006472	0.002313	0.002710	0.046291	0.033950	0.032510	0.018173	-93765.464
1110	0.005967	0.003953	0.002982	0.001961	0.023646	0.016125	0.015269	0.010395	-95332.905
1120	0.009992	0.004945	0.002823	0.004017	0.025995	0.018599	0.017612	0.006749	-93528.988
1130	0.003904	0.002377	0.003183	0.002146	0.015525	0.011108	0.010243	0.008257	-96308.316
1140	0.003478	0.003066	0.004867	0.004086	0.025153	0.017997	0.016434	0.011385	-97537.469
1150	0.007339	0.003690	0.003111	0.005989	0.055074	0.039472	0.038061	0.030234	-91764.254
1160	0.002787	0.001814	0.000894	0.003151	0.021488	0.015416	0.013779	0.009875	-95737.805
1170	0.003703	0.003620	0.002865	0.008937	0.033851	0.025208	0.017500	0.011896	-91485.049
1180	0.005487	0.006293	0.004175	0.009326	0.041818	0.033502	0.019681	0.013019	-89411.964
1190	0.002078	0.003533	0.002368	0.017929	0.023722	0.018922	0.011164	0.005060	-98857.481
1200	0.001474	0.003008	0.004223	0.009966	0.016829	0.011611	0.005642	0.005317	-96478.293
1210	0.002551	0.008073	0.013756	0.006756	0.029119	0.023280	0.009763	0.009201	-92157.108
1220	0.001716	0.009628	0.005272	0.005636	0.019589	0.014321	0.007728	0.005702	-98571.080
1230	0.002119	0.010824	0.003294	0.004408	0.014274	0.007910	0.004812	0.003456	-97128.839
1240	0.001546	0.003713	0.003326	0.004473	0.010414	0.005771	0.003793	0.001544	-99030.521
1250	0.001297	0.004843	0.003619	0.003848	0.010893	0.006218	0.003817	0.002403	-98029.252
1260	0.001239	0.012132	0.005809	0.003436	0.022857	0.011956	0.007782	0.004714	-95512.576
