Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.006382	0.036942	0.022677	0.004155	0.012551	0.005027	0.003635	0.086558	0.026933	0.002577	0.002528	0.001594	0.000515	0.465833	-76336.115
20	0.006055	0.010898	0.025253	0.009167	0.003271	0.002468	0.002734	0.089213	0.026933	0.002577	0.002572	0.002245	0.000551	0.645894	-76549.137
30	0.005668	0.008178	0.027820	0.003971	0.007692	0.003217	0.001887	0.083510	0.025212	0.002412	0.002287	0.001806	0.001215	0.697018	-76687.451
40	0.005501	0.026593	0.035050	0.011472	0.004035	0.001815	0.007843	0.097318	0.034567	0.003307	0.003150	0.002783	0.001295	0.748730	-76508.382
50	0.008149	0.025265	0.024933	0.002429	0.003282	0.005588	0.004476	0.087807	0.033518	0.003207	0.003054	0.002980	0.001521	0.576263	-76733.859
60	0.007512	0.034321	0.022281	0.009174	0.006805	0.003733	0.002759	0.078466	0.029952	0.002866	0.002829	0.002536	0.001592	0.541427	-76399.876
70	0.007512	0.022456	0.025351	0.003444	0.007665	0.001948	0.004192	0.078466	0.029952	0.002866	0.002854	0.002758	0.001627	0.738254	-76619.632
80	0.003197	0.010579	0.031560	0.006176	0.008024	0.001691	0.004316	0.086678	0.035872	0.003432	0.003280	0.003406	0.000318	0.263793	-76516.163
90	0.003715	0.009136	0.027932	0.002808	0.003779	0.003244	0.003378	0.086602	0.037870	0.003624	0.003612	0.003614	0.003042	0.405785	-76707.473
100	0.003066	0.006158	0.027443	0.013828	0.012877	0.003607	0.002536	0.089618	0.045755	0.003312	0.002629	0.003303	0.000185	0.792676	-76742.987
110	0.003073	0.003636	0.030616	0.005101	0.004350	0.004340	0.008801	0.091079	0.043867	0.003175	0.002915	0.003080	0.000178	0.792676	-76608.969
120	0.003718	0.004502	0.023411	0.035945	0.010089	0.003046	0.002757	0.088201	0.038900	0.003305	0.002955	0.002998	0.000185	0.475151	-76781.007
130	0.003924	0.004502	0.034467	0.010963	0.009288	0.004767	0.001884	0.091949	0.038900	0.003305	0.003216	0.002342	0.000121	0.624178	-76720.925
140	0.003173	0.004021	0.021537	0.009439	0.003389	0.003484	0.002050	0.088338	0.038916	0.003306	0.003281	0.002676	0.002184	0.350935	-76790.009
150	0.002613	0.004524	0.041117	0.009338	0.002196	0.007185	0.002611	0.110343	0.048401	0.003537	0.002422	0.003083	0.000711	0.436148	-76545.537
160	0.003055	0.003408	0.027150	0.002804	0.004055	0.004935	0.006107	0.085365	0.034151	0.002496	0.001989	0.001521	0.001483	0.219968	-76841.311
170	0.003216	0.004233	0.039503	0.002402	0.004657	0.027511	0.007321	0.089876	0.035956	0.002628	0.002198	0.000999	0.000031	0.186271	-76778.933
180	0.002093	0.004666	0.028195	0.004166	0.005613	0.001777	0.012983	0.094586	0.037840	0.002765	0.002663	0.001662	0.000466	0.422342	-76714.217
190	0.003725	0.003158	0.036373	0.003826	0.005514	0.003179	0.002148	0.103508	0.041581	0.003605	0.003512	0.001301	0.001288	0.867068	-76591.484
200	0.003806	0.003264	0.031071	0.002367	0.003431	0.013997	0.004840	0.105761	0.037917	0.003683	0.003589	0.002326	0.000195	0.917119	-76606.036
210	0.004566	0.003439	0.024744	0.005406	0.003420	0.001728	0.001171	0.093154	0.040403	0.003651	0.003525	0.003109	0.000200	0.765199	-76523.702
220	0.004682	0.002293	0.030609	0.004190	0.006280	0.002543	0.005205	0.085471	0.045950	0.003350	0.003276	0.000963	0.000615	0.845042	-76681.556
230	0.004208	0.002589	0.037707	0.003519	0.002391	0.001516	0.003129	0.090700	0.048761	0.003555	0.003476	0.001367	0.000348	0.632664	-76647.561
240	0.004044	0.002420	0.031587	0.014341	0.005475	0.002377	0.003124	0.086241	0.036605	0.003190	0.003120	0.001163	0.000553	0.938531	-76668.493
250	0.005085	0.004072	0.029415	0.006519	0.004634	0.001953	0.002532	0.090885	0.035670	0.003030	0.002963	0.001675	0.000482	0.811093	-76629.755
260	0.004168	0.004228	0.034879	0.007063	0.002230	0.002756	0.003718	0.096864	0.042397	0.003601	0.003466	0.003099	0.002630	0.918421	-76726.415
270	0.003586	0.003701	0.032831	0.003614	0.006866	0.001785	0.002442	0.084805	0.037119	0.003153	0.003140	0.003050	0.002377	0.957259	-76692.307
280	0.002648	0.005064	0.031718	0.001620	0.004662	0.005474	0.002434	0.091885	0.036992	0.003142	0.003129	0.003136	0.002602	0.797323	-76499.195
290	0.004503	0.004591	0.028270	0.005943	0.002493	0.003121	0.011983	0.107409	0.045870	0.003896	0.003880	0.003161	0.001305	0.833029	-76767.571
300	0.006994	0.003130	0.032086	0.025021	0.002525	0.006131	0.006119	0.093334	0.042802	0.004163	0.003904	0.003212	0.002183	0.866055	-76772.004
310	0.003473	0.004180	0.026862	0.021099	0.003329	0.002917	0.004290	0.097319	0.038338	0.004912	0.004436	0.001900	0.000145	0.775984	-76694.831
320	0.003089	0.004512	0.033530	0.009625	0.002868	0.002748	0.002052	0.084462	0.038338	0.004912	0.004908	0.004606	0.000162	0.943122	-76782.252
330	0.003503	0.005316	0.039312	0.005523	0.003521	0.002303	0.004990	0.099904	0.044671	0.005723	0.005719	0.002364	0.000189	0.576868	-76587.157
340	0.003089	0.004429	0.032614	0.006907	0.006167	0.006631	0.008171	0.092944	0.040774	0.005224	0.005220	0.001781	0.001746	0.698409	-76653.399
350	0.002865	0.004108	0.029726	0.002964	0.002002	0.005709	0.005350	0.086199	0.037815	0.004845	0.004841	0.001652	0.000637	0.691412	-76795.347
360	0.002865	0.003696	0.025863	0.004270	0.002002	0.003665	0.008156	0.086199	0.037815	0.004845	0.004841	0.001652	0.000708	0.701260	-76710.925
370	0.006219	0.004577	0.046299	0.001771	0.002472	0.004036	0.003821	0.096760	0.042448	0.005438	0.005435	0.002087	0.001351	0.606312	-76589.444
380	0.005244	0.005373	0.025485	0.004826	0.002577	0.004331	0.007742	0.086558	0.037972	0.004865	0.004862	0.001696	0.000447	0.648632	-76631.518
390	0.006344	0.005033	0.019547	0.002737	0.002544	0.003499	0.005211	0.070807	0.035569	0.004557	0.004554	0.002281	0.000340	0.664834	-76637.547
400	0.008297	0.005467	0.025229	0.003294	0.005330	0.001963	0.002187	0.091389	0.045908	0.005881	0.005878	0.001349	0.000644	0.749915	-76645.218
410	0.008095	0.006977	0.043369	0.004973	0.006065	0.005827	0.005808	0.086710	0.040794	0.006179	0.006175	0.001361	0.000650	0.494290	-76632.690
