Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.004765	0.002082	0.006005	0.002525	0.009044	0.004868	0.003096	0.002915	0.002895	0.002879	0.001292	0.002648	0.000381	0.664313	-106846.798
20	0.011289	0.003524	0.005858	0.005710	0.085347	0.003867	0.003019	0.006906	0.006865	0.006822	0.002858	0.003319	0.000553	0.949232	-105959.648
30	0.003615	0.001754	0.005178	0.004014	0.040952	0.002463	0.005570	0.003045	0.003017	0.002737	0.000882	0.001890	0.000244	0.529195	-111313.582
40	0.003897	0.004852	0.005964	0.004192	0.010684	0.009965	0.005820	0.003283	0.003200	0.003161	0.003091	0.002849	0.001641	0.038296	-112343.560
50	0.003302	0.002313	0.004340	0.006612	0.003044	0.005252	0.003079	0.002781	0.002742	0.002616	0.001854	0.001877	0.001155	0.026898	-114213.646
60	0.006394	0.049993	0.002428	0.002197	0.007013	0.002832	0.009008	0.005386	0.005094	0.005076	0.002536	0.003947	0.000588	0.256303	-108022.420
70	0.004857	0.012786	0.009762	0.012865	0.004010	0.004869	0.003201	0.004091	0.003838	0.003799	0.001812	0.002654	0.000211	0.230574	-109891.693
80	0.004064	0.009903	0.009780	0.001786	0.004717	0.004409	0.003428	0.003424	0.003270	0.003182	0.003090	0.002357	0.001486	0.269902	-112933.130
90	0.004665	0.010107	0.003142	0.003974	0.008220	0.004513	0.005290	0.003930	0.003823	0.003801	0.003055	0.002738	0.000904	0.654453	-108816.344
100	0.003225	0.001784	0.005440	0.006104	0.002419	0.017626	0.002584	0.002716	0.002644	0.002553	0.002321	0.002081	0.000417	0.327729	-112241.436
110	0.004781	0.004027	0.009612	0.002245	0.004741	0.004430	0.001195	0.004027	0.003982	0.003923	0.003889	0.002769	0.002760	0.019582	-107427.463
120	0.005462	0.004217	0.001750	0.004616	0.016065	0.004413	0.004029	0.005347	0.005335	0.005066	0.004075	0.002573	0.001116	0.019582	-107688.525
130	0.007530	0.002942	0.003187	0.006652	0.004205	0.004125	0.003312	0.007372	0.007355	0.006766	0.004465	0.006141	0.000959	0.400366	-107574.253
140	0.004350	0.005230	0.003207	0.005798	0.008624	0.002270	0.003036	0.004258	0.004243	0.003887	0.002727	0.001816	0.000624	0.308586	-106834.451
150	0.002791	0.011410	0.002437	0.003036	0.001304	0.006411	0.004088	0.002732	0.002621	0.002154	0.001335	0.001380	0.000695	0.308586	-113276.261
160	0.005028	0.006759	0.008334	0.004172	0.007019	0.004456	0.008712	0.004923	0.004667	0.003678	0.002427	0.002867	0.001073	0.056749	-110362.853
170	0.004385	0.002962	0.003578	0.007121	0.009108	0.003380	0.002119	0.004292	0.004015	0.003300	0.003032	0.002605	0.002083	0.052903	-105955.820
180	0.008184	0.006499	0.003091	0.003498	0.003591	0.001965	0.007993	0.008012	0.007327	0.006410	0.005707	0.005213	0.002401	0.380726	-102031.910
190	0.005127	0.003458	0.001136	0.005412	0.015169	0.001508	0.002058	0.005019	0.004471	0.004136	0.003034	0.001728	0.001670	0.602112	-104568.889
200	0.004420	0.003508	0.002724	0.001933	0.001639	0.008495	0.001544	0.004327	0.003719	0.002957	0.002359	0.002131	0.001091	0.381453	-109025.642
210	0.003486	0.002792	0.002801	0.001958	0.002825	0.001310	0.002726	0.004142	0.003576	0.002798	0.002341	0.001795	0.001187	0.216099	-106950.206
220	0.003015	0.002196	0.007263	0.002127	0.003184	0.001313	0.002372	0.003581	0.003082	0.002247	0.002128	0.001430	0.000299	0.500476	-112050.885
230	0.005028	0.003096	0.006887	0.004604	0.009208	0.001861	0.005717	0.005419	0.004748	0.003523	0.001378	0.001155	0.000169	0.753043	-110413.231
