Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.053550	0.038219	0.025234	0.004321	0.005307	0.004689	0.005132	0.077598	0.021368	0.003097	0.003045	0.002210	0.000635	0.523462	-75739.018
20	0.037321	0.038872	0.027286	0.003742	0.003743	0.003215	0.013611	0.070342	0.019370	0.002807	0.002760	0.001123	0.001000	0.756560	-75737.141
30	0.054071	0.041800	0.039256	0.006980	0.003705	0.003784	0.001619	0.073020	0.020107	0.002914	0.002865	0.001182	0.000668	0.431150	-75737.432
40	0.035561	0.047871	0.017828	0.017411	0.005074	0.002655	0.001420	0.064028	0.017631	0.002555	0.001420	0.000975	0.000233	0.140661	-75696.402
50	0.055098	0.035113	0.026071	0.004037	0.005884	0.001765	0.007175	0.056907	0.015670	0.002271	0.002178	0.001256	0.000277	0.020424	-75736.290
60	0.060904	0.036483	0.027860	0.007024	0.005289	0.002556	0.002990	0.060813	0.016746	0.002427	0.002298	0.001734	0.000400	0.100006	-75701.560
70	0.063417	0.050430	0.036042	0.003881	0.003394	0.002604	0.003055	0.059318	0.016334	0.002367	0.001688	0.001983	0.001339	0.047494	-75771.180
80	0.051664	0.036767	0.027716	0.010247	0.003441	0.006524	0.002812	0.054599	0.015035	0.002179	0.001776	0.002037	0.001426	0.168109	-75764.520
90	0.061056	0.032173	0.013843	0.003101	0.005573	0.003516	0.006337	0.050123	0.013802	0.002000	0.001431	0.000667	0.000257	0.463918	-75702.290
100	0.059118	0.032633	0.018447	0.010661	0.005202	0.004021	0.002746	0.049938	0.013751	0.001993	0.000967	0.001980	0.000449	0.267348	-75750.249
110	0.089098	0.034458	0.029036	0.014175	0.002794	0.001816	0.003107	0.056497	0.015557	0.002255	0.001608	0.001617	0.000426	0.332587	-75725.269
120	0.084434	0.038880	0.017342	0.001759	0.005081	0.027756	0.002635	0.052832	0.014548	0.002108	0.002037	0.001551	0.000709	0.226190	-75792.363
130	0.109794	0.048877	0.023527	0.009415	0.010104	0.002554	0.008586	0.052513	0.014460	0.002096	0.001635	0.001080	0.000611	0.366749	-75718.525
140	0.155439	0.052443	0.027989	0.005296	0.004884	0.005878	0.001773	0.056252	0.015490	0.002245	0.001833	0.001646	0.001555	0.091521	-75744.795
150	0.168212	0.051269	0.033239	0.006547	0.002516	0.003593	0.003215	0.056252	0.015490	0.002245	0.001851	0.001665	0.000789	0.257704	-75696.300
160	0.118253	0.034662	0.026956	0.003108	0.003196	0.004314	0.003434	0.053443	0.014716	0.002133	0.001493	0.001499	0.000751	0.214983	-75681.443
170	0.077339	0.054265	0.037121	0.002733	0.002889	0.005062	0.004034	0.056049	0.015434	0.002237	0.001458	0.001662	0.001229	0.128320	-75694.669
180	0.063335	0.037979	0.022451	0.005136	0.004569	0.015623	0.002268	0.059990	0.016519	0.002394	0.001578	0.001336	0.000845	0.056901	-75652.424
190	0.070430	0.040682	0.025434	0.006774	0.008099	0.002874	0.001944	0.068570	0.018882	0.002736	0.001360	0.001459	0.000692	0.094663	-75679.253
200	0.047434	0.034973	0.026170	0.003546	0.004616	0.003535	0.001636	0.070554	0.019428	0.002815	0.001556	0.002204	0.001160	0.078286	-75789.762
210	0.045079	0.032657	0.018360	0.001892	0.002220	0.002646	0.002064	0.065883	0.018142	0.002629	0.002317	0.002346	0.001891	0.118475	-75747.518
220	0.066107	0.032980	0.017472	0.001963	0.005156	0.004921	0.002188	0.062695	0.017264	0.002502	0.001498	0.002043	0.000812	0.236288	-75689.349
230	0.044807	0.036257	0.026136	0.008566	0.004777	0.002048	0.004537	0.065384	0.018004	0.002609	0.002544	0.002303	0.001867	0.297452	-75774.229
240	0.057481	0.037827	0.025172	0.001879	0.003057	0.007291	0.004997	0.062973	0.017340	0.002513	0.001787	0.001846	0.001228	0.074898	-75705.930
250	0.114944	0.053518	0.021448	0.010023	0.008471	0.004808	0.005380	0.067794	0.018668	0.002705	0.001835	0.001701	0.000443	0.027213	-75710.095
260	0.092484	0.042120	0.023241	0.001796	0.008495	0.002045	0.004799	0.060019	0.016527	0.002395	0.002088	0.001473	0.000273	0.027213	-75659.673
270	0.050714	0.033896	0.023676	0.005142	0.003634	0.005796	0.009076	0.070927	0.019531	0.002830	0.002128	0.001954	0.001166	0.075379	-75647.243
280	0.070333	0.041445	0.030087	0.004864	0.001843	0.004355	0.002478	0.067560	0.024425	0.002696	0.001658	0.002074	0.000311	0.086817	-75640.656
290	0.054248	0.036070	0.025955	0.007823	0.009433	0.004394	0.001389	0.065088	0.023531	0.002597	0.002105	0.001121	0.000538	0.059133	-75746.154
300	0.076040	0.027534	0.025955	0.009465	0.007721	0.003912	0.003418	0.065088	0.023531	0.002597	0.000747	0.001591	0.000395	0.037015	-75699.258
310	0.077489	0.037791	0.030270	0.005319	0.002313	0.001281	0.017555	0.066947	0.024203	0.002672	0.002343	0.002386	0.001279	0.041566	-75724.467
320	0.072824	0.029644	0.027162	0.007283	0.003090	0.004362	0.006633	0.062391	0.022556	0.002490	0.002378	0.001805	0.000292	0.195928	-75842.267
330	0.085873	0.050961	0.034930	0.001070	0.002755	0.004268	0.001961	0.071636	0.025898	0.002859	0.002164	0.002517	0.001204	0.101143	-75709.035
340	0.072851	0.049036	0.037439	0.003083	0.004812	0.002248	0.011301	0.066938	0.024200	0.002671	0.002465	0.001699	0.000356	0.034802	-75750.948
350	0.079266	0.029056	0.031106	0.001978	0.003157	0.007979	0.006122	0.066938	0.024200	0.002671	0.001962	0.002094	0.000274	0.022121	-75701.416
360	0.052851	0.038787	0.031071	0.004546	0.006262	0.003029	0.002319	0.072424	0.026183	0.002890	0.002321	0.002095	0.000745	0.124115	-75726.521
370	0.056566	0.033740	0.030691	0.005015	0.002945	0.008584	0.002112	0.065965	0.023848	0.002632	0.001894	0.002007	0.000132	0.067846	-75739.807
380	0.114646	0.031412	0.028573	0.016775	0.005819	0.016115	0.002979	0.053896	0.022202	0.002451	0.002285	0.001798	0.000497	0.266589	-75720.616
390	0.071873	0.029682	0.036912	0.001772	0.005173	0.002770	0.002872	0.051961	0.021405	0.002363	0.002321	0.002049	0.000735	0.042456	-75760.107
400	0.102802	0.028827	0.023842	0.002290	0.004730	0.003469	0.007684	0.062340	0.025681	0.002835	0.002805	0.002453	0.002086	0.184647	-75733.938
410	0.079507	0.032566	0.029365	0.005015	0.008933	0.053240	0.002968	0.053343	0.021974	0.002426	0.002055	0.001895	0.000640	0.087529	-75614.287
420	0.074934	0.026258	0.018476	0.003622	0.004182	0.004879	0.001883	0.054772	0.022563	0.002491	0.002388	0.002253	0.001611	0.056478	-75816.852
430	0.087178	0.024120	0.041410	0.015447	0.002992	0.008070	0.004651	0.059639	0.024568	0.002712	0.002103	0.002270	0.000696	0.038321	-75741.438
440	0.088350	0.028520	0.025789	0.003582	0.005438	0.001758	0.007065	0.059639	0.024568	0.002712	0.002184	0.002066	0.002030	0.052263	-75697.310
450	0.063616	0.025153	0.023219	0.006689	0.012006	0.003052	0.009640	0.053696	0.022120	0.002442	0.002109	0.001766	0.001621	0.052263	-75823.800
460	0.078911	0.038083	0.025704	0.003328	0.003404	0.004203	0.002903	0.049842	0.020532	0.002266	0.001740	0.002047	0.000524	0.026301	-75863.986
470	0.112140	0.028985	0.025704	0.003363	0.002949	0.003430	0.003418	0.054713	0.020532	0.002266	0.002048	0.002059	0.000590	0.106474	-75661.092
480	0.063751	0.030321	0.030761	0.004528	0.011813	0.006707	0.004090	0.070878	0.024567	0.002712	0.001455	0.001922	0.000355	0.179771	-75705.899
490	0.060291	0.036645	0.028488	0.007787	0.002411	0.006703	0.003788	0.065642	0.022752	0.002511	0.002146	0.001919	0.001634	0.437737	-75644.932
500	0.095566	0.040238	0.029785	0.005949	0.002695	0.006485	0.011654	0.060576	0.020996	0.002318	0.001839	0.002055	0.001285	0.329483	-75767.529
510	0.101462	0.052054	0.029288	0.033290	0.013443	0.001574	0.003073	0.058753	0.015295	0.002248	0.002105	0.000658	0.000107	0.256310	-75832.437
520	0.076060	0.053642	0.025420	0.049048	0.002846	0.001612	0.003148	0.060193	0.015669	0.002303	0.001357	0.001236	0.000110	0.228905	-75702.267
530	0.080596	0.042988	0.024985	0.004415	0.002925	0.009868	0.005978	0.054305	0.019325	0.002078	0.001646	0.001072	0.000064	0.355676	-75693.517
540	0.069124	0.028123	0.023160	0.007607	0.008708	0.008204	0.002653	0.050338	0.017914	0.001926	0.001735	0.000329	0.000228	0.188464	-75749.167
550	0.084645	0.043469	0.024633	0.004735	0.004938	0.006659	0.006574	0.058304	0.020748	0.002231	0.001833	0.000475	0.000190	0.617156	-75723.119
560	0.065108	0.037423	0.035801	0.003409	0.001551	0.001156	0.005841	0.059118	0.021038	0.002262	0.002120	0.001965	0.001149	0.605663	-75781.200
570	0.100951	0.061913	0.025831	0.009678	0.007592	0.002456	0.002868	0.060149	0.021405	0.002301	0.002227	0.000891	0.000560	0.722703	-75698.059
580	0.069633	0.036123	0.030332	0.006371	0.002956	0.002775	0.003613	0.055912	0.019897	0.002139	0.001942	0.000828	0.000637	0.931719	-75678.657
590	0.086909	0.033345	0.023607	0.002677	0.003286	0.014015	0.003686	0.053143	0.018912	0.002033	0.001970	0.000787	0.000769	0.744955	-75693.761
600	0.074931	0.039064	0.022692	0.007406	0.002352	0.010832	0.012696	0.051082	0.018178	0.001954	0.001870	0.000757	0.000587	0.468242	-75701.291
610	0.062443	0.039542	0.026112	0.007340	0.006715	0.004263	0.002783	0.051082	0.018178	0.001954	0.001848	0.000569	0.000347	0.661904	-75757.210
620	0.054972	0.043836	0.036221	0.007481	0.005267	0.011320	0.005546	0.054296	0.019322	0.002077	0.002011	0.000755	0.000614	0.663473	-75821.254
630	0.090645	0.041473	0.023006	0.006710	0.003848	0.008357	0.003492	0.057435	0.020439	0.002197	0.002033	0.000711	0.000383	0.758390	-75729.055
640	0.056271	0.029127	0.026303	0.014746	0.003029	0.003917	0.010565	0.059797	0.021280	0.002288	0.002116	0.000767	0.000522	0.758390	-75713.469
650	0.078225	0.027963	0.025252	0.003183	0.005386	0.002677	0.005025	0.057406	0.020429	0.002196	0.002032	0.000431	0.000240	0.817789	-75673.243
660	0.046627	0.028790	0.025485	0.017868	0.003850	0.004037	0.006937	0.057936	0.020617	0.002217	0.001678	0.000435	0.000338	0.748582	-75729.580
670	0.067863	0.029641	0.035338	0.006230	0.002781	0.010215	0.002318	0.065598	0.021345	0.002295	0.002111	0.000451	0.000398	0.755696	-75833.085
680	0.054261	0.041620	0.037504	0.009775	0.004933	0.009400	0.004048	0.069618	0.022654	0.002436	0.002378	0.000376	0.000143	0.886091	-75782.517
690	0.061230	0.036875	0.029730	0.004344	0.001225	0.003801	0.005955	0.060779	0.018719	0.002013	0.001965	0.000934	0.000060	0.801884	-75707.340
700	0.065578	0.030362	0.020969	0.003693	0.014796	0.004572	0.013480	0.060953	0.018773	0.002018	0.001970	0.000189	0.000048	0.480344	-75707.878
710	0.066895	0.030492	0.017963	0.005840	0.006778	0.005226	0.003312	0.052216	0.016082	0.001729	0.001688	0.001159	0.000403	0.175483	-75700.192
720	0.058252	0.042048	0.030906	0.009011	0.009321	0.009561	0.003781	0.059616	0.018361	0.001974	0.000944	0.001134	0.000932	0.105787	-75727.202
730	0.060309	0.036860	0.024775	0.007188	0.007091	0.003575	0.003032	0.056273	0.017331	0.001863	0.000911	0.001167	0.000786	0.055672	-75701.852
740	0.038556	0.036353	0.036179	0.003722	0.002160	0.002820	0.003517	0.064413	0.019838	0.002133	0.002039	0.001728	0.001305	0.009403	-75698.000
750	0.060074	0.038106	0.030572	0.008553	0.008680	0.010429	0.003865	0.070779	0.021799	0.002344	0.001903	0.001786	0.001315	0.009403	-75651.166
760	0.045952	0.026583	0.029279	0.011822	0.003323	0.004383	0.002498	0.067971	0.020934	0.002251	0.001041	0.002133	0.000671	0.009403	-75707.103
770	0.046887	0.034601	0.028192	0.003649	0.006162	0.006029	0.002464	0.067062	0.020654	0.002221	0.001607	0.001592	0.000911	0.009403	-75716.444
780	0.076920	0.027985	0.022879	0.001660	0.009084	0.010838	0.004411	0.054424	0.016762	0.001802	0.001022	0.001001	0.000710	0.038146	-75678.305
790	0.063095	0.037339	0.026447	0.004315	0.006897	0.005163	0.001973	0.062911	0.019376	0.002083	0.001614	0.001387	0.000390	0.117669	-75768.437
800	0.043990	0.035842	0.017610	0.001894	0.004203	0.002014	0.002463	0.060095	0.018508	0.001990	0.001786	0.001727	0.000143	0.088940	-75667.162
810	0.044979	0.034150	0.043040	0.005651	0.012922	0.002092	0.003139	0.069272	0.023585	0.002536	0.002145	0.001328	0.000286	0.273853	-75681.100
820	0.056545	0.039841	0.026049	0.010538	0.009417	0.008184	0.003691	0.069272	0.023585	0.002536	0.001466	0.001006	0.000944	0.039792	-75709.479
830	0.052629	0.032461	0.031298	0.004482	0.008190	0.004454	0.003361	0.067328	0.022923	0.002464	0.001768	0.001222	0.000432	0.133776	-75779.521
840	0.070939	0.032595	0.025652	0.009171	0.005426	0.003455	0.007513	0.066907	0.022780	0.002449	0.001340	0.001706	0.000352	0.209846	-75725.098
850	0.063302	0.041545	0.021041	0.003120	0.003689	0.003009	0.002836	0.066907	0.022780	0.002449	0.002323	0.002145	0.000457	0.335106	-75793.177
860	0.066596	0.038252	0.023349	0.003683	0.002702	0.021210	0.003147	0.074247	0.020039	0.002718	0.002506	0.002605	0.001151	0.507879	-75743.103
870	0.034962	0.035733	0.021917	0.002673	0.003983	0.001967	0.001344	0.069694	0.018810	0.002551	0.002537	0.002158	0.001093	0.532029	-75827.198
880	0.040594	0.037032	0.021551	0.003720	0.005661	0.001666	0.007145	0.068529	0.018496	0.002508	0.002494	0.001597	0.000279	0.542294	-75639.454
890	0.041217	0.048675	0.030706	0.003785	0.006124	0.002233	0.002425	0.069725	0.018819	0.002552	0.002538	0.001630	0.000773	0.623178	-75770.169
900	0.042155	0.048883	0.022040	0.003302	0.006047	0.001517	0.002131	0.060854	0.016424	0.002228	0.002216	0.001520	0.000445	0.642943	-75753.261
910	0.051824	0.041203	0.021731	0.003255	0.002044	0.004758	0.008517	0.060001	0.016194	0.002196	0.002185	0.002031	0.001303	0.605503	-75784.877
920	0.046237	0.036990	0.023150	0.005725	0.003402	0.011678	0.005196	0.063918	0.017251	0.002340	0.002328	0.001930	0.001590	0.471726	-75808.656
930	0.069856	0.058068	0.023150	0.007100	0.006664	0.003722	0.003484	0.063978	0.020924	0.002340	0.002245	0.002177	0.001445	0.018828	-75788.021
940	0.082520	0.051307	0.029211	0.019245	0.009176	0.008601	0.001351	0.067145	0.021960	0.002455	0.002410	0.001743	0.001439	0.388654	-75726.560
950	0.053873	0.035894	0.030058	0.004812	0.002537	0.003515	0.002176	0.069093	0.022597	0.002527	0.001653	0.002443	0.000756	0.143172	-75714.589
960	0.073071	0.044292	0.028000	0.013120	0.001439	0.007277	0.016239	0.069093	0.022597	0.002527	0.002471	0.002459	0.001310	0.183240	-75690.486
970	0.097382	0.042144	0.026700	0.006028	0.001275	0.005137	0.018903	0.065885	0.021547	0.002409	0.002306	0.001995	0.001392	0.702102	-75722.720
980	0.085106	0.025738	0.025421	0.016174	0.006570	0.006587	0.021300	0.068897	0.022533	0.002520	0.002497	0.002424	0.001277	0.725874	-75715.282
990	0.069222	0.043145	0.032418	0.002079	0.005017	0.005916	0.004868	0.063796	0.022348	0.002499	0.002476	0.002390	0.001599	0.943229	-75759.351
1000	0.061431	0.044031	0.024242	0.001998	0.001412	0.031503	0.004257	0.059349	0.020790	0.002325	0.002197	0.002312	0.001133	0.590435	-75748.099
1010	0.052664	0.041487	0.023755	0.006404	0.003820	0.034852	0.003971	0.058158	0.020373	0.002278	0.002111	0.001175	0.000479	0.315058	-75680.154
1020	0.072379	0.038910	0.035000	0.018789	0.003959	0.006005	0.004068	0.059576	0.020870	0.002334	0.001756	0.001396	0.000573	0.162918	-75702.474
1030	0.062712	0.028809	0.023375	0.004133	0.002966	0.004944	0.003725	0.054549	0.019109	0.002137	0.001553	0.001730	0.000583	0.270090	-75694.964
1040	0.076842	0.038562	0.026586	0.004140	0.002481	0.004293	0.009718	0.054549	0.019109	0.002137	0.001950	0.001131	0.000478	0.520714	-75608.799
1050	0.075116	0.029228	0.022852	0.006479	0.001887	0.001639	0.004098	0.054549	0.019109	0.002137	0.001795	0.001166	0.000818	0.755579	-75787.670
1060	0.095808	0.038427	0.029622	0.017070	0.005467	0.002318	0.002786	0.054549	0.019109	0.002137	0.001708	0.001632	0.000868	0.707051	-75650.488
1070	0.097164	0.033837	0.018920	0.005096	0.003534	0.002362	0.009607	0.057125	0.020011	0.002238	0.001906	0.001762	0.000563	0.498952	-75816.152
1080	0.090360	0.045492	0.018085	0.001897	0.009660	0.006327	0.002842	0.054603	0.019128	0.002139	0.001870	0.000863	0.000192	0.296279	-75680.611
1090	0.069165	0.046528	0.022197	0.005501	0.004212	0.001491	0.001792	0.046922	0.016437	0.001838	0.001708	0.000583	0.000462	0.608241	-75755.549
1100	0.092682	0.037166	0.024681	0.005258	0.005623	0.002741	0.005145	0.052173	0.018276	0.002044	0.001854	0.000725	0.000311	0.539062	-75706.508
1110	0.087085	0.028143	0.029141	0.005738	0.001497	0.003218	0.004653	0.051647	0.018092	0.002023	0.002007	0.001682	0.000397	0.319576	-75624.534
1120	0.073020	0.031420	0.022402	0.014288	0.002756	0.016446	0.001761	0.055486	0.019437	0.002173	0.001988	0.001188	0.000189	0.736160	-75726.995
1130	0.082115	0.033625	0.022325	0.036497	0.005635	0.003522	0.001998	0.058717	0.023234	0.002466	0.001502	0.001266	0.000347	0.948449	-75724.840
1140	0.119105	0.037688	0.032195	0.004573	0.003241	0.002399	0.002352	0.069093	0.027340	0.002902	0.002879	0.001461	0.000361	0.715576	-75691.876
1150	0.098638	0.026868	0.044671	0.006657	0.003247	0.001687	0.002245	0.064934	0.025694	0.002727	0.002645	0.001841	0.000422	0.641453	-75723.568
1160	0.070237	0.025597	0.028962	0.004345	0.001658	0.001905	0.003654	0.062447	0.024710	0.002623	0.002544	0.002141	0.001717	0.522151	-75735.494
1170	0.077071	0.036799	0.022279	0.003227	0.002945	0.007308	0.002950	0.053485	0.021163	0.002246	0.002217	0.001677	0.000999	0.442310	-75718.165
1180	0.080998	0.026761	0.022933	0.008027	0.002787	0.005536	0.001594	0.057676	0.022822	0.002422	0.002410	0.002143	0.001967	0.318416	-75770.416
1190	0.076567	0.019488	0.042219	0.004929	0.003792	0.005102	0.003459	0.055680	0.022737	0.002041	0.001966	0.001373	0.000265	0.279778	-75749.711
1200	0.085816	0.023987	0.025165	0.021909	0.003691	0.006121	0.004677	0.055270	0.022569	0.002026	0.001609	0.001407	0.000492	0.507701	-75721.297
1210	0.103940	0.024671	0.032657	0.006721	0.003300	0.003101	0.001433	0.052564	0.021464	0.001927	0.001851	0.001368	0.000850	0.511907	-75691.125
1220	0.072468	0.041544	0.030611	0.002984	0.003077	0.008444	0.003474	0.044470	0.018159	0.001630	0.001566	0.001051	0.000940	0.687909	-75728.926
1230	0.088877	0.040685	0.020339	0.009364	0.007193	0.003441	0.003126	0.045326	0.018509	0.001662	0.001655	0.000799	0.000450	0.315447	-75660.823
1240	0.099484	0.033855	0.024032	0.018631	0.008448	0.002824	0.001849	0.053558	0.021870	0.001963	0.001676	0.000911	0.000766	0.536135	-75680.582
1250	0.077691	0.028980	0.017011	0.003423	0.003405	0.002004	0.001865	0.054037	0.022066	0.001981	0.001860	0.001653	0.000261	0.542696	-75798.439
1260	0.070920	0.021735	0.034133	0.007915	0.005318	0.002017	0.001878	0.054399	0.022213	0.001994	0.001430	0.001166	0.000263	0.530686	-75672.597
1270	0.071404	0.031530	0.043346	0.003362	0.002538	0.002997	0.003512	0.056288	0.022985	0.002064	0.002031	0.001800	0.000804	0.608727	-75698.506
