Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.046153	0.003426	0.006690	0.012153	0.002321	0.002446	0.002129	0.064571	0.029377	0.027446	0.010300	0.014086	0.005301	0.009609	-84417.299
20	0.062594	0.003833	0.002247	0.002688	0.002535	0.003028	0.002388	0.072240	0.032866	0.031872	0.025641	0.017995	0.003891	0.009609	-85033.963
30	0.054043	0.003242	0.005672	0.002657	0.003184	0.003833	0.004732	0.061104	0.027800	0.026728	0.017130	0.013338	0.000975	0.009609	-84842.860
40	0.053269	0.002853	0.008833	0.001826	0.004825	0.007801	0.005824	0.054440	0.024768	0.023927	0.004296	0.010387	0.001507	0.033873	-84519.820
50	0.041374	0.002472	0.006963	0.002553	0.002702	0.002633	0.004958	0.047165	0.021458	0.020730	0.011779	0.012128	0.001421	0.209148	-83711.677
60	0.045928	0.002493	0.006346	0.006689	0.001756	0.001395	0.001283	0.047561	0.021638	0.018874	0.017023	0.013595	0.006335	0.061818	-83897.805
70	0.055948	0.002041	0.004552	0.009399	0.002382	0.002647	0.006121	0.045739	0.021201	0.018567	0.015930	0.012323	0.006155	0.131336	-84862.122
80	0.054252	0.001892	0.011634	0.030242	0.005530	0.003234	0.001529	0.037604	0.017430	0.016161	0.010407	0.008258	0.007471	0.058282	-84921.961
90	0.063905	0.002386	0.011832	0.004798	0.002883	0.009705	0.004734	0.047419	0.021980	0.021161	0.020954	0.015252	0.009233	0.448905	-84130.471
100	0.052821	0.002187	0.003774	0.007194	0.017723	0.006681	0.003649	0.043469	0.020149	0.019654	0.019208	0.006001	0.005857	0.499774	-83605.328
110	0.051245	0.002737	0.004805	0.009547	0.003284	0.004714	0.002264	0.045878	0.021266	0.020951	0.020273	0.011744	0.001162	0.242081	-83642.479
120	0.065512	0.002947	0.015151	0.004593	0.003940	0.005507	0.006597	0.049390	0.022894	0.022748	0.017332	0.013404	0.007663	0.284878	-83794.776
130	0.051867	0.003356	0.005032	0.017498	0.001920	0.003080	0.003989	0.056236	0.026067	0.025901	0.013905	0.023507	0.011829	0.546254	-82619.613
140	0.035236	0.002450	0.008016	0.006024	0.007212	0.007274	0.002282	0.041053	0.019029	0.018430	0.008455	0.007838	0.001647	0.511973	-82541.940
150	0.051596	0.004896	0.006576	0.004941	0.004021	0.002360	0.010635	0.060066	0.027842	0.026581	0.019315	0.018222	0.005440	0.514524	-82557.679
160	0.043287	0.004083	0.002360	0.003979	0.008836	0.006790	0.003794	0.050088	0.023217	0.022356	0.014604	0.013243	0.004055	0.565562	-83685.357
170	0.043360	0.005589	0.006593	0.002903	0.007670	0.003980	0.005842	0.048323	0.022422	0.017484	0.008436	0.010279	0.003146	0.224013	-84444.489
180	0.041543	0.005051	0.003646	0.001581	0.004886	0.002371	0.004734	0.043675	0.020265	0.017490	0.007624	0.009881	0.004865	0.140557	-83294.498
190	0.024812	0.004505	0.003198	0.002103	0.005833	0.003157	0.002778	0.039470	0.018315	0.014558	0.008629	0.008582	0.006902	0.009188	-83951.641
200	0.036536	0.003337	0.005112	0.005524	0.007564	0.004490	0.002595	0.061749	0.028652	0.022579	0.013010	0.012066	0.002793	0.392581	-83483.180
210	0.033310	0.002847	0.002291	0.007347	0.012944	0.008243	0.002519	0.052680	0.024444	0.020709	0.012264	0.014608	0.002710	0.554500	-82538.874
220	0.016695	0.003080	0.003474	0.019536	0.003751	0.006124	0.002382	0.071860	0.026446	0.020510	0.005635	0.018241	0.002565	0.765623	-82574.371
230	0.005110	0.002351	0.003013	0.006713	0.005082	0.004300	0.002248	0.054854	0.020188	0.015292	0.006007	0.008159	0.001110	0.276598	-82761.756
240	0.006201	0.003484	0.008251	0.001531	0.005989	0.002268	0.002859	0.080438	0.029919	0.022355	0.019989	0.017442	0.002299	0.347857	-82368.860
250	0.008995	0.002604	0.003672	0.003396	0.015707	0.004298	0.002125	0.062994	0.024885	0.015820	0.003631	0.004968	0.000394	0.334733	-84336.903
