Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10k	theta_11u	theta_12j	theta_13l	theta_14j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10k	tau_11u	tau_12j	tau_13l	phi_j<-i	phi_l<-k	lnL
25960	0.100169	0.053006	0.008666	0.004073	0.004142	0.004373	0.002214	0.012385	0.006388	0.044476	0.014242	0.009942	0.002228	0.001882	0.002519	0.001831	0.001882	0.643155	0.050856	-75426.906
25970	0.097435	0.044570	0.007061	0.003165	0.004121	0.002041	0.005411	0.003788	0.004552	0.044251	0.013826	0.009675	0.002216	0.001151	0.003050	0.000995	0.001151	0.647704	0.021110	-75467.861
25980	0.090889	0.031316	0.012074	0.003049	0.009039	0.002630	0.009982	0.002788	0.011733	0.042637	0.014747	0.009424	0.002135	0.000637	0.002491	0.000501	0.000637	0.534673	0.021110	-75455.061
25990	0.079797	0.041169	0.007383	0.003409	0.002812	0.001381	0.014451	0.001289	0.002125	0.047673	0.015873	0.010787	0.002388	0.001722	0.003831	0.001861	0.001722	0.629970	0.021110	-75417.539
26000	0.076276	0.045693	0.009264	0.003409	0.002749	0.001381	0.005413	0.007879	0.004758	0.047663	0.015870	0.011235	0.002387	0.001548	0.003830	0.000856	0.001548	0.503591	0.012201	-75427.003
26010	0.087638	0.060014	0.011818	0.005047	0.009081	0.001400	0.002700	0.001919	0.001472	0.050057	0.015954	0.012377	0.002507	0.000560	0.004741	0.000297	0.000560	0.731265	0.012201	-75439.030
26020	0.096320	0.046370	0.007698	0.009611	0.002047	0.003293	0.003187	0.002793	0.012063	0.052169	0.016627	0.012899	0.002613	0.001818	0.003434	0.001571	0.001818	0.636749	0.014956	-75420.861
26030	0.080510	0.048758	0.006292	0.008841	0.014588	0.003557	0.001213	0.007030	0.001914	0.047991	0.014639	0.011866	0.002404	0.001349	0.003159	0.000644	0.001349	0.520209	0.014956	-75438.730
26040	0.099921	0.052631	0.014737	0.003804	0.014020	0.001687	0.003479	0.005425	0.010038	0.047595	0.013766	0.010248	0.002384	0.001913	0.004273	0.002179	0.001913	0.442162	0.019086	-75406.930
26050	0.141144	0.061610	0.015522	0.003080	0.029247	0.002169	0.004422	0.003149	0.002284	0.051277	0.015557	0.009297	0.002568	0.002190	0.004087	0.000882	0.002190	0.368308	0.019086	-75423.710
26060	0.096900	0.049717	0.015878	0.002718	0.004521	0.001521	0.004757	0.004819	0.010039	0.045252	0.014305	0.009507	0.002266	0.000676	0.003990	0.001121	0.000676	0.678929	0.047970	-75407.296
26070	0.087765	0.062758	0.004297	0.006483	0.004305	0.001448	0.004572	0.001802	0.004341	0.043088	0.013621	0.011580	0.002749	0.001557	0.003799	0.001417	0.001557	0.578863	0.007888	-75434.382
26080	0.094151	0.041474	0.010924	0.003895	0.006406	0.001495	0.014918	0.004048	0.040076	0.044478	0.014060	0.010486	0.002838	0.000208	0.003922	0.001014	0.000208	0.550368	0.007888	-75415.428
26090	0.105117	0.039912	0.012711	0.003820	0.002267	0.001622	0.003622	0.001845	0.004270	0.043619	0.013789	0.009305	0.002783	0.000185	0.003689	0.002727	0.000185	0.570816	0.007888	-75421.367
26100	0.106780	0.045310	0.013905	0.004232	0.002301	0.001864	0.002019	0.002036	0.004033	0.041200	0.012882	0.008018	0.002629	0.001022	0.003009	0.002177	0.001022	0.541378	0.029134	-75404.536
26110	0.127463	0.038081	0.012017	0.005233	0.006133	0.001974	0.002475	0.007513	0.005965	0.043637	0.013644	0.009689	0.002716	0.000348	0.003187	0.002446	0.000348	0.524843	0.029134	-75393.946
26120	0.124671	0.050464	0.013778	0.004930	0.005647	0.002289	0.002005	0.000823	0.005884	0.043050	0.013461	0.007794	0.002679	0.000522	0.003013	0.002593	0.000522	0.589889	0.029134	-75431.440
26130	0.145202	0.035422	0.009994	0.004174	0.002170	0.002261	0.005576	0.005103	0.003098	0.038855	0.012149	0.008998	0.002829	0.000205	0.002544	0.001482	0.000205	0.651215	0.039501	-75437.604
26140	0.181469	0.064408	0.009536	0.005112	0.007989	0.002277	0.007218	0.001941	0.002652	0.037371	0.011574	0.008702	0.002721	0.000525	0.002360	0.001308	0.000525	0.651215	0.023618	-75478.443
