Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10k	theta_11u	theta_12j	theta_13l	theta_14j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10k	tau_11u	tau_12j	tau_13l	phi_j<-i	phi_l<-k	lnL
10	0.003377	0.005332	0.003295	0.001923	0.002050	0.003369	0.001914	0.001602	0.004038	0.004695	0.004383	0.004358	0.004315	0.002887	0.002908	0.002006	0.002887	0.418096	0.985277	-109576.647
20	0.003978	0.004246	0.008224	0.001805	0.001954	0.001865	0.007107	0.003477	0.018781	0.005531	0.005164	0.005128	0.004788	0.003410	0.003426	0.001759	0.003410	0.539408	0.934905	-104994.523
30	0.002489	0.001720	0.004556	0.001049	0.003853	0.001504	0.006506	0.004055	0.007779	0.003829	0.003583	0.003551	0.003082	0.002279	0.002407	0.001727	0.002279	0.507673	0.895147	-109745.103
40	0.003678	0.024467	0.003032	0.003170	0.005695	0.005559	0.003021	0.007308	0.008272	0.005660	0.005290	0.005248	0.004815	0.003576	0.004047	0.001703	0.003576	0.448773	0.623141	-109350.421
50	0.002461	0.007600	0.006452	0.005761	0.001450	0.012404	0.001331	0.005321	0.007018	0.005181	0.004842	0.004174	0.003578	0.003138	0.004047	0.001419	0.003138	0.525999	0.550825	-105376.370
60	0.001613	0.004345	0.009331	0.003834	0.007346	0.001586	0.005679	0.006595	0.003309	0.003396	0.003124	0.002809	0.002748	0.000761	0.002369	0.002049	0.000761	0.227985	0.342363	-111328.007
70	0.001776	0.003586	0.005341	0.002881	0.001823	0.005497	0.017498	0.011237	0.002909	0.004161	0.003933	0.003247	0.003138	0.000455	0.002839	0.001768	0.000455	0.294982	0.014439	-109663.703
80	0.001792	0.015480	0.004549	0.005101	0.006331	0.002667	0.003587	0.004025	0.001906	0.005031	0.004450	0.004342	0.003842	0.000656	0.003645	0.003602	0.000656	0.286225	0.122117	-104658.607
90	0.001333	0.005162	0.005013	0.002858	0.005267	0.006722	0.007190	0.004221	0.003488	0.004069	0.003651	0.003420	0.003164	0.000210	0.001989	0.001700	0.000210	0.422437	0.014160	-109759.369
100	0.002868	0.005562	0.009565	0.011020	0.004408	0.005409	0.004865	0.005993	0.010462	0.008751	0.008348	0.007025	0.006551	0.000201	0.004043	0.000667	0.000201	0.525009	0.014160	-106966.929
110	0.002093	0.005395	0.002613	0.003954	0.004529	0.001422	0.002659	0.001576	0.002305	0.007475	0.007225	0.006850	0.005551	0.000155	0.005710	0.003923	0.000155	0.523305	0.014160	-106842.151
120	0.002688	0.022091	0.003441	0.002837	0.002482	0.007026	0.001731	0.008077	0.006544	0.009597	0.009192	0.009106	0.007764	0.000199	0.007876	0.007416	0.000199	0.603277	0.168102	-105532.615
130	0.002688	0.002819	0.004985	0.003033	0.003344	0.003291	0.002567	0.003452	0.008136	0.009597	0.009351	0.009172	0.007915	0.000359	0.008166	0.006435	0.000359	0.651694	0.037462	-102538.529
140	0.002811	0.002970	0.011623	0.005566	0.002898	0.007451	0.004851	0.005677	0.003565	0.009020	0.008742	0.007532	0.006915	0.001774	0.006995	0.004675	0.001774	0.621512	0.082854	-107158.987
150	0.002647	0.003669	0.008109	0.003871	0.001630	0.002533	0.008099	0.006371	0.005266	0.008207	0.007295	0.006707	0.006436	0.006355	0.006462	0.005988	0.006355	0.331482	0.182829	-105236.156
160	0.003506	0.005707	0.005046	0.008030	0.005058	0.008069	0.009329	0.003685	0.001779	0.011607	0.010280	0.009913	0.009039	0.008317	0.009866	0.007057	0.008317	0.501478	0.277374	-105876.705
170	0.003146	0.005423	0.006276	0.006295	0.001473	0.002639	0.003453	0.002391	0.003607	0.011151	0.009880	0.009605	0.009342	0.006356	0.009462	0.005411	0.006356	0.268801	0.055722	-102910.481
180	0.002828	0.006087	0.007069	0.003679	0.003210	0.001988	0.003623	0.005500	0.013818	0.012516	0.011089	0.010952	0.010604	0.004264	0.010573	0.002582	0.004264	0.416239	0.061460	-108565.198
190	0.002219	0.003287	0.004705	0.006877	0.004472	0.005188	0.003374	0.007417	0.003214	0.006532	0.005787	0.005662	0.004764	0.001295	0.003516	0.003229	0.001295	0.303229	0.170362	-106026.693
200	0.003298	0.004572	0.006122	0.003453	0.003193	0.005844	0.002495	0.002711	0.005021	0.009086	0.008051	0.006972	0.006384	0.004652	0.005336	0.003723	0.004652	0.109265	0.169455	-107498.917
210	0.002211	0.002557	0.002212	0.006626	0.006538	0.003704	0.002863	0.004689	0.003780	0.006276	0.005615	0.005345	0.004594	0.004124	0.004427	0.003409	0.004124	0.033633	0.016082	-109118.418
220	0.004873	0.007397	0.003475	0.016248	0.005548	0.008272	0.002237	0.004308	0.004903	0.013830	0.012242	0.011808	0.007221	0.006198	0.011580	0.002888	0.006198	0.161182	0.014503	-104571.907
230	0.003569	0.001735	0.002356	0.001993	0.006727	0.007429	0.002452	0.006394	0.003391	0.012421	0.011502	0.010671	0.010397	0.006525	0.010400	0.005409	0.006525	0.129166	0.099912	-107712.533
240	0.002128	0.002048	0.003314	0.001999	0.001794	0.008005	0.004735	0.003549	0.004160	0.010665	0.009621	0.008502	0.007446	0.004566	0.005626	0.001236	0.004566	0.104925	0.150131	-101411.197
250	0.002734	0.001851	0.008929	0.006724	0.003388	0.004606	0.002151	0.007253	0.005684	0.013254	0.012244	0.010757	0.008134	0.004582	0.007704	0.005971	0.004582	0.051654	0.014750	-105388.353
260	0.001871	0.003292	0.007753	0.004465	0.001984	0.003041	0.004162	0.002909	0.002603	0.011611	0.010234	0.008745	0.005341	0.001902	0.006265	0.004695	0.001902	0.276945	0.039102	-101666.489
270	0.004683	0.006427	0.038053	0.002130	0.003668	0.003561	0.002384	0.005642	0.006517	0.029067	0.026613	0.022250	0.015508	0.013124	0.020394	0.006762	0.013124	0.220944	0.062997	-100908.366
280	0.005809	0.013635	0.013686	0.005586	0.001904	0.019486	0.006815	0.002566	0.007619	0.035361	0.030950	0.029032	0.010524	0.002877	0.018308	0.009427	0.002877	0.435286	0.084347	-100200.120
290	0.001886	0.001432	0.002053	0.002533	0.004026	0.002577	0.005132	0.008652	0.021302	0.011480	0.010444	0.009442	0.003417	0.002399	0.008093	0.002694	0.002399	0.376250	0.085843	-105244.972
300	0.002624	0.001654	0.003047	0.004311	0.007753	0.004617	0.002611	0.006698	0.009872	0.013841	0.012667	0.011081	0.004922	0.000667	0.008560	0.003723	0.000667	0.328202	0.142674	-100621.866
310	0.005184	0.001601	0.002549	0.001668	0.009072	0.002595	0.003454	0.006561	0.005124	0.013677	0.012541	0.011523	0.009251	0.002002	0.008199	0.002870	0.002002	0.557682	0.297039	-107087.986
320	0.005652	0.002032	0.003272	0.003528	0.009028	0.004963	0.003677	0.003101	0.006958	0.015545	0.014129	0.012918	0.008161	0.001030	0.008694	0.007377	0.001030	0.588508	0.464788	-99262.632
330	0.005757	0.002706	0.003754	0.002809	0.006647	0.002818	0.004722	0.007262	0.001884	0.015835	0.014560	0.012861	0.008313	0.000184	0.011204	0.005971	0.000184	0.647230	0.231871	-101777.403
340	0.010897	0.009169	0.005430	0.004972	0.005229	0.006972	0.004337	0.003003	0.002257	0.029972	0.027957	0.025330	0.015734	0.000075	0.023013	0.009153	0.000075	0.361416	0.172948	-106801.458
350	0.004258	0.003024	0.001604	0.003039	0.005567	0.008012	0.003145	0.001054	0.001929	0.011712	0.011116	0.009613	0.005803	0.000029	0.007580	0.005774	0.000029	0.191799	0.314033	-98876.143
360	0.003039	0.005448	0.001796	0.002794	0.003825	0.003378	0.001696	0.002652	0.001628	0.008359	0.007587	0.006091	0.004091	0.000013	0.004809	0.003932	0.000013	0.115717	0.639684	-104712.844
370	0.002269	0.003609	0.001648	0.006480	0.002218	0.006835	0.003952	0.002111	0.003412	0.006240	0.005798	0.004638	0.003047	0.000010	0.004537	0.000820	0.000010	0.228311	0.449122	-104847.944
380	0.003507	0.004536	0.002547	0.003744	0.003158	0.015425	0.003070	0.006077	0.002680	0.009645	0.009375	0.007169	0.006434	0.000015	0.006194	0.002900	0.000015	0.133921	0.453685	-104339.619
390	0.002276	0.002827	0.001866	0.003943	0.002963	0.004178	0.005494	0.002624	0.001957	0.006538	0.006100	0.004847	0.003024	0.000010	0.003154	0.002237	0.000010	0.050860	0.736897	-108743.800
400	0.003155	0.003510	0.002251	0.005034	0.004114	0.004345	0.003861	0.003125	0.003800	0.009080	0.008230	0.007327	0.006383	0.000014	0.005735	0.004858	0.000014	0.135012	0.887108	-104180.866
410	0.002141	0.010239	0.008273	0.009725	0.004569	0.001055	0.001434	0.005362	0.013559	0.005715	0.005247	0.003662	0.002852	0.000009	0.002221	0.002053	0.000009	0.154138	0.658392	-107550.024
420	0.002244	0.010451	0.005624	0.003482	0.003810	0.001874	0.003541	0.002579	0.006926	0.004766	0.003731	0.002906	0.001247	0.000008	0.001331	0.000325	0.000008	0.011864	0.569549	-113949.345
430	0.003354	0.006126	0.011680	0.003709	0.004956	0.001658	0.004022	0.007523	0.007314	0.007252	0.006468	0.004594	0.002898	0.000012	0.003265	0.002128	0.000012	0.011864	0.565524	-108759.429
440	0.003909	0.007324	0.013034	0.003305	0.010746	0.002100	0.014649	0.002856	0.006919	0.006897	0.006685	0.005831	0.002736	0.000011	0.002562	0.001314	0.000011	0.011864	0.725895	-108467.245
450	0.004656	0.003929	0.010189	0.004907	0.010756	0.002777	0.001701	0.004940	0.006101	0.008216	0.007598	0.005186	0.003442	0.000013	0.002983	0.001291	0.000013	0.053709	0.667820	-101689.569
460	0.003367	0.002355	0.003823	0.001478	0.004864	0.001677	0.002560	0.005772	0.005672	0.006002	0.005357	0.003886	0.002409	0.000010	0.002241	0.001529	0.000010	0.073831	0.781665	-104497.824
470	0.005713	0.021877	0.005486	0.002004	0.003358	0.011690	0.003101	0.002927	0.002166	0.010610	0.009425	0.006663	0.003946	0.000017	0.005292	0.003700	0.000017	0.331099	0.816450	-106821.707
480	0.003338	0.005302	0.004340	0.003762	0.002444	0.003937	0.003334	0.003904	0.002799	0.007721	0.006859	0.005213	0.003332	0.000012	0.005147	0.000565	0.000012	0.516839	0.940007	-106678.079
