Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.098506	0.041684	0.029241	0.001477	0.004702	0.003166	0.002494	0.041642	0.016155	0.008944	0.002393	0.003054	0.001445	0.454280	-75637.767
20	0.125849	0.042447	0.013677	0.001477	0.004702	0.002035	0.004658	0.038979	0.016156	0.008944	0.002393	0.003054	0.000888	0.491645	-75712.579
30	0.154112	0.026758	0.024795	0.001520	0.003778	0.009313	0.009465	0.040097	0.018258	0.009200	0.002462	0.003141	0.001931	0.643751	-75711.547
40	0.148150	0.023666	0.018227	0.001569	0.008703	0.001545	0.005518	0.039721	0.021663	0.009595	0.002205	0.003143	0.001926	0.447036	-75768.353
50	0.108300	0.023086	0.025041	0.001531	0.003573	0.003300	0.003217	0.038748	0.021132	0.009360	0.002151	0.003066	0.001966	0.582631	-75641.305
60	0.095767	0.035686	0.022088	0.001610	0.006427	0.014354	0.003383	0.040752	0.021724	0.009844	0.002262	0.003225	0.001503	0.371005	-75637.590
70	0.116319	0.018493	0.030874	0.001467	0.005618	0.012757	0.008099	0.039070	0.025028	0.007826	0.002062	0.004148	0.000297	0.563570	-75708.192
80	0.136258	0.016579	0.013280	0.001522	0.003502	0.002104	0.014718	0.040539	0.024493	0.011917	0.002139	0.003571	0.000986	0.516265	-75672.483
90	0.104447	0.042686	0.010152	0.001585	0.005000	0.001861	0.006226	0.042221	0.020621	0.012412	0.002228	0.006514	0.001569	0.358789	-75749.270
100	0.115107	0.022841	0.014181	0.001664	0.007195	0.005680	0.003826	0.044316	0.021644	0.013027	0.002338	0.005487	0.001197	0.471249	-75717.603
110	0.100005	0.016543	0.026144	0.001664	0.004862	0.012597	0.004761	0.047643	0.025104	0.011353	0.002338	0.004680	0.000739	0.497332	-75784.137
120	0.102284	0.030389	0.033386	0.001388	0.006418	0.002677	0.001651	0.047342	0.024330	0.011934	0.002895	0.003969	0.002449	0.532277	-75664.145
130	0.095052	0.025726	0.029153	0.001360	0.004076	0.002421	0.004047	0.046381	0.023836	0.011692	0.002837	0.004063	0.002324	0.531818	-75757.881
140	0.089315	0.016085	0.030982	0.001229	0.005596	0.004379	0.003657	0.041915	0.024948	0.010566	0.002564	0.003703	0.001666	0.531818	-75737.807
150	0.128110	0.010082	0.051958	0.001113	0.001904	0.008565	0.005696	0.037961	0.029195	0.006738	0.002322	0.004421	0.002135	0.531818	-75742.984
160	0.140525	0.027711	0.018178	0.001251	0.003441	0.002506	0.006049	0.042662	0.022159	0.007216	0.002609	0.003766	0.000955	0.352529	-75722.518
170	0.120965	0.021341	0.025100	0.001169	0.002799	0.003850	0.016001	0.039866	0.020706	0.006232	0.002438	0.003520	0.001309	0.460410	-75770.878
180	0.148586	0.013024	0.039361	0.001631	0.003153	0.002214	0.005126	0.041472	0.024434	0.006625	0.002335	0.003515	0.002003	0.462991	-75641.919
190	0.146016	0.024958	0.023845	0.001584	0.004032	0.004280	0.003550	0.044632	0.023098	0.008521	0.002780	0.003624	0.001564	0.578228	-75715.110
200	0.089912	0.016972	0.022208	0.001722	0.004243	0.006586	0.003715	0.044632	0.024004	0.005573	0.003090	0.003587	0.001132	0.533197	-75730.418
