Gen	theta_6PmunDintDgolDcelDlud	theta_7DintDgolDcelDlud	theta_8DgolDcelDlud	theta_9DcelDlud	tau_6PmunDintDgolDcelDlud	tau_7DintDgolDcelDlud	tau_8DgolDcelDlud	tau_9DcelDlud	lnL
10	0.003155	0.003908	0.003237	0.003299	0.111349	0.040544	0.024141	0.011200	-78724.088
20	0.002855	0.002435	0.007932	0.003830	0.093307	0.033601	0.019228	0.007517	-79051.195
30	0.005854	0.002916	0.011207	0.002797	0.102317	0.032439	0.020258	0.015899	-78981.452
40	0.002854	0.003655	0.004017	0.002643	0.085357	0.025531	0.015944	0.008126	-78297.453
50	0.002481	0.007256	0.010042	0.002692	0.113174	0.037780	0.020472	0.011187	-79412.312
60	0.002624	0.012820	0.002217	0.004044	0.093172	0.022956	0.017109	0.003593	-78979.619
70	0.003594	0.014800	0.002793	0.002824	0.090194	0.025472	0.021061	0.009425	-78588.049
80	0.003942	0.008842	0.001769	0.002175	0.091601	0.025472	0.021435	0.009425	-78880.590
90	0.002866	0.014115	0.001991	0.006590	0.118620	0.034002	0.024637	0.007308	-78632.069
100	0.002458	0.012935	0.005305	0.005283	0.075187	0.025169	0.016558	0.007966	-78604.624
110	0.002255	0.006564	0.011257	0.006837	0.096529	0.033844	0.021118	0.010845	-78421.703
120	0.002533	0.003470	0.015850	0.014041	0.114059	0.040524	0.020422	0.004919	-78592.877
130	0.004960	0.001577	0.003544	0.006061	0.092261	0.035622	0.024686	0.007091	-78603.330
140	0.004816	0.001744	0.001963	0.003068	0.105404	0.039397	0.029206	0.012153	-78834.546
150	0.004290	0.002664	0.001830	0.004876	0.094106	0.039397	0.030709	0.011577	-79293.647
160	0.005051	0.002625	0.002723	0.003018	0.096686	0.033073	0.022218	0.014112	-78542.012
170	0.007696	0.002200	0.002171	0.006923	0.094967	0.032858	0.023217	0.010351	-78336.443
180	0.005343	0.001542	0.001157	0.006473	0.088269	0.034279	0.027001	0.008049	-78787.270
190	0.005554	0.002501	0.002753	0.005178	0.097270	0.034279	0.022006	0.010179	-78782.958
200	0.003985	0.004523	0.003533	0.002857	0.091204	0.032753	0.014634	0.007446	-79386.511
210	0.004251	0.004019	0.004200	0.003493	0.077198	0.025689	0.012402	0.006310	-79013.656
220	0.003608	0.004662	0.006826	0.011453	0.117324	0.041854	0.017735	0.009024	-78704.148
230	0.005408	0.003075	0.009176	0.004191	0.086067	0.046502	0.019506	0.013842	-78624.517
240	0.003985	0.006976	0.011391	0.003414	0.106488	0.050437	0.025301	0.007155	-78834.230
250	0.003141	0.008265	0.018121	0.002118	0.100556	0.040829	0.022663	0.010548	-78497.147
260	0.001882	0.003440	0.008118	0.001547	0.072447	0.037726	0.019173	0.009773	-79004.002
270	0.002306	0.006420	0.006873	0.002461	0.089023	0.036265	0.026057	0.011880	-79045.082
280	0.003017	0.003386	0.029323	0.004126	0.078843	0.033430	0.015658	0.005285	-79129.235
290	0.003231	0.006639	0.040160	0.002545	0.091644	0.039256	0.020791	0.013290	-78837.250
300	0.002068	0.004646	0.016884	0.002785	0.076796	0.029759	0.020100	0.007212	-78821.135
310	0.003010	0.008135	0.014963	0.003450	0.085926	0.030524	0.020756	0.012488	-78651.850
320	0.001986	0.006513	0.007239	0.002229	0.087994	0.035442	0.026333	0.008786	-78626.736
330	0.002412	0.007453	0.004851	0.004728	0.087992	0.033500	0.027978	0.008465	-78601.735
340	0.001861	0.003410	0.004571	0.005599	0.095045	0.034049	0.026548	0.006689	-78864.977
350	0.002030	0.002199	0.004712	0.007645	0.089912	0.039318	0.021523	0.005371	-79230.987
360	0.001491	0.002268	0.004644	0.002594	0.080350	0.034535	0.020768	0.007195	-78928.145
370	0.002212	0.002249	0.002299	0.002632	0.089975	0.043809	0.031716	0.009862	-78546.298
380	0.002599	0.002076	0.004505	0.005645	0.109708	0.049506	0.025759	0.010373	-78402.990
390	0.002660	0.002103	0.005055	0.006639	0.096348	0.044439	0.026842	0.011202	-78567.222
400	0.003869	0.007440	0.003954	0.010467	0.098229	0.039447	0.027426	0.010384	-78947.813
410	0.002307	0.004956	0.005074	0.005188	0.078947	0.036789	0.019663	0.011671	-79315.119
420	0.005268	0.006994	0.007428	0.002228	0.081453	0.039813	0.023465	0.013946	-78668.797
430	0.008158	0.008568	0.004950	0.003691	0.085805	0.038001	0.023647	0.009452	-78631.174
440	0.006300	0.004106	0.001596	0.007081	0.077170	0.040363	0.021192	0.003472	-78990.230
450	0.006605	0.004247	0.002281	0.007350	0.096298	0.044633	0.027966	0.005011	-78477.329
460	0.003637	0.002647	0.003493	0.002717	0.078539	0.034125	0.020004	0.009641	-78358.101
470	0.004775	0.004881	0.002719	0.002770	0.096320	0.043190	0.026782	0.011053	-78347.575
480	0.005198	0.002625	0.003474	0.001884	0.083576	0.046490	0.027360	0.011317	-78935.945
490	0.007671	0.003862	0.002467	0.001903	0.094478	0.041050	0.026175	0.016696	-78901.078
500	0.006829	0.004695	0.001824	0.002410	0.092330	0.039646	0.028056	0.012298	-78774.985
510	0.008479	0.007678	0.002407	0.003129	0.094871	0.042273	0.023253	0.008216	-78619.158
