Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.153316	0.017919	0.027570	0.009132	0.002385	0.002976	0.004827	0.035598	0.021604	0.003364	0.003292	0.000294	0.000294	0.795202	-75437.928
20	0.168903	0.023436	0.027151	0.003021	0.002490	0.008717	0.005039	0.037167	0.022556	0.003513	0.003425	0.000307	0.000259	0.826270	-75414.350
30	0.130412	0.021409	0.024803	0.001697	0.002275	0.008756	0.012335	0.033952	0.020605	0.003209	0.003029	0.000280	0.000082	0.658797	-75403.618
40	0.138671	0.021409	0.024803	0.007583	0.003742	0.010376	0.004837	0.033952	0.020605	0.003209	0.002675	0.000280	0.000137	0.717498	-75448.143
50	0.147299	0.027308	0.023734	0.007510	0.002354	0.002725	0.005358	0.032963	0.020005	0.003115	0.002840	0.000275	0.000020	0.824337	-75401.086
60	0.130237	0.023095	0.022621	0.005081	0.009173	0.002766	0.006623	0.033461	0.020307	0.003162	0.003030	0.000280	0.000020	0.652925	-75430.342
70	0.187956	0.028662	0.020757	0.008422	0.008202	0.003843	0.002904	0.034919	0.021192	0.003300	0.003162	0.001842	0.000021	0.599008	-75434.676
80	0.137746	0.014039	0.017980	0.005952	0.003116	0.003280	0.001832	0.030247	0.018356	0.002859	0.002739	0.002149	0.000018	0.449231	-75395.339
90	0.152903	0.026530	0.024217	0.013590	0.005460	0.003340	0.006500	0.030803	0.018694	0.002911	0.002672	0.000703	0.000019	0.487595	-75471.510
100	0.175540	0.017331	0.030388	0.013418	0.002334	0.008785	0.007238	0.027283	0.016557	0.002578	0.002196	0.001230	0.000017	0.745409	-75414.079
110	0.161440	0.026954	0.037167	0.008459	0.004320	0.006456	0.004122	0.028468	0.017276	0.002690	0.002057	0.001605	0.000017	0.326643	-75427.846
120	0.200236	0.016258	0.020162	0.010746	0.003702	0.002525	0.005041	0.032573	0.019768	0.003078	0.002393	0.002444	0.000023	0.440411	-75452.694
130	0.209187	0.014524	0.020098	0.009250	0.007350	0.009884	0.002735	0.032470	0.019706	0.003069	0.002107	0.002633	0.000058	0.090279	-75427.022
140	0.178158	0.021756	0.020628	0.006267	0.003806	0.002042	0.002735	0.032470	0.019706	0.003069	0.000336	0.002255	0.000058	0.008236	-75402.394
150	0.153726	0.017019	0.025471	0.004186	0.011048	0.005644	0.002545	0.032468	0.019704	0.003068	0.002889	0.000651	0.000270	0.008236	-75429.684
