Gen	theta_6PmunDintDgolDcelDlud	theta_7DintDgolDcelDlud	theta_8DgolDcelDlud	theta_9DcelDlud	tau_6PmunDintDgolDcelDlud	tau_7DintDgolDcelDlud	tau_8DgolDcelDlud	tau_9DcelDlud	lnL
10	0.005753	0.054147	0.004341	0.005973	0.089470	0.012492	0.011573	0.004947	-76480.254
20	0.005865	0.050853	0.003377	0.006509	0.103279	0.013612	0.012612	0.005391	-76708.576
30	0.005827	0.035671	0.006272	0.010294	0.093319	0.012853	0.010009	0.005090	-76626.311
40	0.007270	0.032593	0.010990	0.007321	0.076674	0.012339	0.010901	0.005069	-76704.566
50	0.003838	0.055449	0.012605	0.006505	0.092468	0.015367	0.011518	0.007659	-76716.199
60	0.003399	0.050995	0.007501	0.008201	0.097201	0.015337	0.013244	0.005741	-76630.305
70	0.002226	0.038444	0.009198	0.015782	0.091053	0.011799	0.008445	0.003579	-76606.410
80	0.003725	0.044257	0.006504	0.010264	0.095259	0.014975	0.010718	0.003468	-76454.213
90	0.003874	0.040553	0.006298	0.007981	0.099871	0.018052	0.014078	0.008246	-76683.062
100	0.003408	0.041000	0.008110	0.008110	0.100351	0.018052	0.015255	0.004851	-76694.503
110	0.003835	0.053141	0.008528	0.011104	0.091625	0.016723	0.014341	0.003262	-76635.752
120	0.002953	0.030401	0.004991	0.008097	0.074386	0.015509	0.013468	0.003025	-76909.474
130	0.002502	0.031171	0.005517	0.015652	0.086617	0.015662	0.012689	0.004309	-76701.766
140	0.003083	0.044112	0.007852	0.012081	0.091002	0.017675	0.010166	0.004862	-76371.044
150	0.003415	0.050531	0.006177	0.007877	0.094185	0.015394	0.012924	0.004668	-76524.406
160	0.002285	0.034906	0.005815	0.005380	0.087355	0.012474	0.009540	0.004488	-76476.455
170	0.002510	0.043601	0.007113	0.011607	0.092502	0.012729	0.009622	0.004833	-76409.047
180	0.003051	0.042470	0.005179	0.004793	0.082231	0.010649	0.008589	0.004085	-76727.105
190	0.004214	0.039618	0.005072	0.003056	0.090175	0.010580	0.008598	0.006324	-76538.566
200	0.004467	0.056838	0.003887	0.012941	0.105456	0.012129	0.010666	0.005901	-76560.410
210	0.003990	0.038636	0.008626	0.001544	0.086704	0.009778	0.007632	0.005819	-76861.414
220	0.004517	0.054286	0.006074	0.003678	0.092443	0.010508	0.008080	0.004279	-76542.850
230	0.006666	0.066328	0.009720	0.005691	0.103718	0.012727	0.008531	0.003696	-76495.443
240	0.006346	0.075610	0.010562	0.004689	0.112037	0.012958	0.008686	0.004651	-76529.702
250	0.007934	0.071008	0.006948	0.007151	0.107373	0.014061	0.011345	0.003591	-76672.876
260	0.005884	0.056147	0.007135	0.003285	0.091920	0.011258	0.008200	0.005011	-76523.028
270	0.006004	0.048481	0.008155	0.002739	0.091062	0.011193	0.007876	0.005254	-76503.306
280	0.012505	0.048703	0.014111	0.002903	0.087955	0.012509	0.008423	0.005682	-76488.535
290	0.007612	0.055997	0.006669	0.006652	0.087315	0.010216	0.008337	0.005598	-76481.044
300	0.012783	0.037924	0.005074	0.008894	0.068937	0.010234	0.008411	0.003321	-76472.623
310	0.025958	0.033275	0.007969	0.009207	0.084936	0.011940	0.008337	0.001929	-76549.236
320	0.019421	0.060090	0.009162	0.004578	0.085018	0.014173	0.010040	0.005466	-76662.644
330	0.024760	0.046188	0.007600	0.002967	0.096152	0.015512	0.011532	0.007521	-76498.073
340	0.018331	0.057024	0.008595	0.008527	0.085976	0.014764	0.011017	0.004375	-76554.575
350	0.021815	0.042960	0.009420	0.002224	0.081621	0.014109	0.010601	0.007798	-76706.756
360	0.026492	0.047205	0.008466	0.010589	0.084228	0.014109	0.011629	0.002183	-76650.475
370	0.006229	0.044186	0.007423	0.006976	0.083729	0.013411	0.010197	0.002548	-76798.946
380	0.006320	0.050960	0.008668	0.006216	0.091412	0.014160	0.008907	0.004184	-76418.792
390	0.008927	0.066954	0.008070	0.004788	0.082325	0.015635	0.011561	0.006275	-76501.452
400	0.006477	0.047686	0.008004	0.005366	0.093628	0.014627	0.011637	0.003351	-76585.038
410	0.006037	0.052811	0.013266	0.001363	0.091140	0.015405	0.006799	0.005897	-76342.714
420	0.006396	0.037686	0.021531	0.005597	0.085677	0.017657	0.006751	0.003266	-76507.203
430	0.017739	0.044533	0.014081	0.006893	0.089362	0.018778	0.010148	0.004032	-76369.998
440	0.016302	0.038584	0.018502	0.007212	0.084567	0.014668	0.007927	0.003149	-76573.157
450	0.012569	0.031871	0.013739	0.005042	0.086339	0.015366	0.008304	0.004944	-76760.975
460	0.010150	0.039136	0.011502	0.003351	0.083388	0.011894	0.007522	0.004762	-76575.274
470	0.009655	0.062741	0.005936	0.007636	0.087681	0.011941	0.008550	0.002926	-76425.325
480	0.016357	0.039376	0.009791	0.006892	0.092093	0.012914	0.008972	0.003558	-76643.782
490	0.027755	0.043607	0.014590	0.002403	0.088146	0.013617	0.008456	0.007307	-76424.198
500	0.032322	0.051688	0.006194	0.022619	0.076550	0.011264	0.008103	0.000657	-76446.179
510	0.023029	0.052553	0.006774	0.012883	0.078139	0.012556	0.009264	0.000732	-76467.560
520	0.014032	0.044696	0.007043	0.009684	0.074748	0.013653	0.009633	0.000761	-76394.737
530	0.010186	0.056496	0.029578	0.002809	0.091332	0.020390	0.005107	0.003701	-76403.793
540	0.009323	0.057830	0.022771	0.002738	0.092477	0.018416	0.005629	0.003683	-76602.459
550	0.016156	0.043478	0.020837	0.002286	0.075774	0.019400	0.005544	0.005052	-76650.260
560	0.004416	0.057040	0.021526	0.001340	0.085559	0.019080	0.005368	0.004836	-76601.265
570	0.003623	0.037886	0.014060	0.001655	0.081103	0.016974	0.004775	0.004309	-76388.228
580	0.004060	0.040999	0.019516	0.001626	0.087997	0.021961	0.005248	0.004412	-76691.393
590	0.004369	0.019844	0.023946	0.009922	0.100761	0.030814	0.006360	0.003338	-76640.474
600	0.003230	0.009669	0.020425	0.010205	0.092691	0.034216	0.005399	0.002402	-76647.915
610	0.004213	0.005034	0.029915	0.002499	0.087193	0.044449	0.005556	0.005052	-76764.579
620	0.004876	0.007734	0.041735	0.002860	0.099166	0.039520	0.006359	0.005782	-76608.462
630	0.003416	0.005636	0.040204	0.005825	0.089880	0.039845	0.005523	0.002174	-77011.006
640	0.003651	0.004050	0.036531	0.006403	0.104642	0.040141	0.006169	0.003105	-76608.345
650	0.005477	0.005571	0.030815	0.006535	0.099273	0.035740	0.007004	0.003921	-76707.437
660	0.005040	0.003362	0.031264	0.017063	0.094502	0.038768	0.005479	0.001331	-76790.023
670	0.004570	0.004895	0.024975	0.002981	0.082981	0.029996	0.004590	0.003579	-76670.825
680	0.006432	0.004886	0.035511	0.006493	0.076718	0.039614	0.004023	0.001919	-76878.542
690	0.004591	0.014972	0.034934	0.006707	0.083147	0.024755	0.004185	0.002146	-76579.902
700	0.006377	0.020773	0.037168	0.003657	0.086254	0.020394	0.005009	0.003521	-76596.483
710	0.007451	0.050465	0.019377	0.005168	0.088101	0.016886	0.005438	0.003946	-76494.004
720	0.009633	0.028083	0.025606	0.002739	0.081470	0.027218	0.006028	0.004613	-76489.443
730	0.010111	0.024712	0.023931	0.012023	0.077548	0.021354	0.005980	0.003845	-76318.156
740	0.008854	0.016556	0.028132	0.005289	0.081462	0.022779	0.005818	0.003734	-76736.142
750	0.011972	0.026146	0.024508	0.002610	0.089479	0.023018	0.007892	0.005951	-76550.130
760	0.021501	0.041862	0.015860	0.004805	0.093820	0.024467	0.010901	0.006965	-76560.253
770	0.014796	0.053609	0.013940	0.006902	0.097252	0.020222	0.010621	0.004603	-76462.417
780	0.017858	0.049045	0.013552	0.014653	0.097324	0.024266	0.013420	0.002925	-76530.856
790	0.022338	0.013269	0.021015	0.003093	0.081118	0.030567	0.010251	0.006864	-76548.835
800	0.011361	0.022607	0.026852	0.004573	0.082248	0.026792	0.010251	0.004280	-76800.735
