Gen	theta_6PmunDintDludDcelDgol	theta_7DintDludDcelDgol	theta_8DludDcelDgol	theta_9DcelDgol	tau_6PmunDintDludDcelDgol	tau_7DintDludDcelDgol	tau_8DludDcelDgol	tau_9DcelDgol	lnL
10	0.077728	0.042432	0.019174	0.012411	0.056645	0.014952	0.004342	0.001955	-75652.485
20	0.062303	0.036023	0.017370	0.005440	0.054179	0.011651	0.003933	0.002591	-75720.003
30	0.143486	0.039785	0.017866	0.004252	0.052300	0.015264	0.004046	0.003507	-75700.637
40	0.203250	0.034697	0.021757	0.002322	0.047468	0.018840	0.004342	0.003833	-75814.144
50	0.173357	0.044534	0.021757	0.002322	0.044384	0.016243	0.004342	0.003833	-75696.123
60	0.144978	0.047463	0.023561	0.002514	0.046241	0.019841	0.004702	0.004151	-75756.858
70	0.104914	0.029101	0.032701	0.002476	0.052558	0.024157	0.004630	0.004087	-75790.916
80	0.090146	0.031448	0.029031	0.003213	0.053421	0.021507	0.004538	0.003424	-75873.090
90	0.074821	0.025085	0.021174	0.003089	0.049049	0.018176	0.004242	0.003112	-75680.080
100	0.071516	0.032478	0.021649	0.009743	0.050342	0.018454	0.003823	0.000945	-75717.368
110	0.082390	0.050301	0.021428	0.001466	0.055533	0.015828	0.003096	0.002627	-75793.979
120	0.089359	0.033923	0.017798	0.013101	0.050357	0.018542	0.003123	0.001464	-75738.446
130	0.062629	0.045068	0.024801	0.002932	0.054186	0.021108	0.003094	0.002692	-75601.871
140	0.076821	0.047750	0.027454	0.003245	0.057244	0.020930	0.003425	0.002980	-75735.911
150	0.071641	0.023424	0.029691	0.005054	0.047104	0.020163	0.002827	0.002322	-75688.641
160	0.060289	0.027999	0.020912	0.004419	0.055255	0.018994	0.003957	0.003384	-75710.493
170	0.051249	0.037201	0.018908	0.008155	0.058153	0.015193	0.003977	0.002433	-75740.115
180	0.061932	0.036238	0.020700	0.004142	0.051461	0.015145	0.003576	0.002777	-75692.761
190	0.057433	0.025119	0.020555	0.002371	0.058817	0.020717	0.003649	0.003382	-75793.160
200	0.071700	0.050640	0.021105	0.003432	0.061826	0.020711	0.003747	0.003473	-75784.713
210	0.059634	0.040085	0.020797	0.007429	0.069896	0.022844	0.003753	0.001871	-75712.604
220	0.053743	0.025407	0.016169	0.004967	0.054541	0.013080	0.002918	0.001203	-75723.427
230	0.053841	0.035971	0.034058	0.005954	0.074240	0.024591	0.003176	0.001881	-75721.573
240	0.036166	0.031744	0.020956	0.017713	0.081396	0.020253	0.003176	0.001223	-75641.477
250	0.035135	0.037897	0.027162	0.004027	0.071487	0.019254	0.002877	0.002260	-75761.902
260	0.038608	0.029731	0.030269	0.004715	0.069754	0.018098	0.002681	0.001700	-75719.335
270	0.060312	0.037835	0.036516	0.004619	0.071433	0.018501	0.002663	0.001864	-75732.808
280	0.049127	0.047589	0.019770	0.014437	0.070951	0.018405	0.002874	0.000761	-75710.671
290	0.085134	0.038308	0.021426	0.004903	0.073305	0.017873	0.002670	0.002118	-75722.697
300	0.068661	0.050977	0.019655	0.007935	0.060788	0.016381	0.002449	0.002001	-75848.138
310	0.075257	0.047649	0.016485	0.019530	0.049929	0.014342	0.001907	0.001031	-75743.318
320	0.074987	0.050329	0.016443	0.005039	0.060155	0.013905	0.002089	0.001469	-75756.843
330	0.075782	0.039560	0.029271	0.011752	0.061558	0.019613	0.002409	0.001236	-75719.050
340	0.082544	0.039618	0.029209	0.003504	0.058208	0.016126	0.002363	0.001851	-75698.961
350	0.071827	0.035127	0.025844	0.004424	0.058980	0.019493	0.002485	0.002106	-75788.782
360	0.085617	0.038281	0.027105	0.005067	0.054251	0.020100	0.002811	0.002571	-75803.789
370	0.080165	0.044384	0.022652	0.003167	0.062160	0.016149	0.003036	0.002777	-75785.245
380	0.061603	0.031408	0.028603	0.004164	0.060052	0.021859	0.003036	0.002777	-75747.609
390	0.054916	0.039970	0.022635	0.003663	0.054932	0.016697	0.003018	0.002760	-75760.516
400	0.051574	0.037559	0.024708	0.005355	0.054113	0.017007	0.002818	0.002578	-75670.485
410	0.058315	0.026144	0.028029	0.006643	0.056957	0.016089	0.003061	0.002451	-75646.518
420	0.063911	0.023864	0.027034	0.003071	0.053726	0.018105	0.002798	0.002383	-75715.759
430	0.083480	0.054834	0.024669	0.009922	0.060258	0.015346	0.003244	0.002672	-75716.116
440	0.076011	0.077324	0.019639	0.004687	0.069449	0.012597	0.005258	0.004054	-75791.386
450	0.066193	0.064128	0.013115	0.010110	0.067327	0.013777	0.004983	0.001785	-75680.221
460	0.058494	0.035239	0.013115	0.015967	0.066239	0.014247	0.004983	0.002136	-75777.268
470	0.077148	0.054473	0.016298	0.005340	0.069299	0.015827	0.005382	0.003606	-75702.732
480	0.055400	0.032644	0.021571	0.007368	0.063781	0.020798	0.004831	0.003652	-75833.400
490	0.095439	0.038474	0.021250	0.019105	0.056414	0.016739	0.004103	0.001394	-75758.756
500	0.046890	0.042625	0.025315	0.005162	0.063801	0.021529	0.004888	0.002949	-75674.860
510	0.067604	0.031855	0.020206	0.004921	0.061884	0.017812	0.004491	0.003305	-75723.175
520	0.046350	0.042059	0.019088	0.005659	0.067107	0.018824	0.004243	0.002390	-75686.039
530	0.057592	0.036359	0.022363	0.006569	0.061528	0.020171	0.003812	0.002992	-75671.899
540	0.051154	0.027773	0.027728	0.011212	0.060191	0.023066	0.003975	0.002326	-75647.336
550	0.081781	0.036919	0.032624	0.010980	0.052768	0.019882	0.003783	0.002058	-75650.121
560	0.056481	0.038049	0.024402	0.004986	0.050435	0.014448	0.003477	0.002090	-75719.654
570	0.062563	0.037832	0.022369	0.003089	0.061554	0.017735	0.003497	0.002281	-75719.595
580	0.047096	0.063290	0.021282	0.009546	0.062108	0.013927	0.003730	0.003101	-75686.358
590	0.073563	0.028828	0.021308	0.006639	0.061503	0.018183	0.003192	0.002332	-75703.506
600	0.093716	0.043449	0.019307	0.004134	0.059482	0.017738	0.002892	0.002388	-75676.914
