Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
65680	0.172156	0.006543	0.019330	0.006935	0.017318	0.002788	0.002756	0.032193	0.027721	0.004253	0.002964	0.004003	0.001244	0.587907	-75642.583
65690	0.209401	0.004554	0.021350	0.003196	0.023670	0.003248	0.003599	0.028846	0.024839	0.003811	0.002701	0.002664	0.001257	0.542143	-75745.997
65700	0.136006	0.007049	0.029113	0.003027	0.004754	0.002544	0.004245	0.027052	0.022403	0.003574	0.002314	0.002825	0.001065	0.675839	-75604.582
65710	0.180671	0.011126	0.033918	0.002938	0.008059	0.004476	0.001910	0.031286	0.025032	0.004164	0.003156	0.003546	0.000885	0.802330	-75710.123
65720	0.172848	0.010958	0.039076	0.002506	0.004283	0.009206	0.001037	0.030813	0.024653	0.004101	0.002749	0.003970	0.001203	0.742359	-75772.949
65730	0.170942	0.008424	0.031739	0.003310	0.011951	0.004939	0.006595	0.026806	0.021447	0.003568	0.002014	0.002381	0.001404	0.873556	-75762.299
65740	0.173043	0.015784	0.030309	0.002671	0.009451	0.003975	0.001447	0.027489	0.017906	0.003659	0.002541	0.002980	0.002020	0.948790	-75683.577
65750	0.187349	0.010522	0.033138	0.004203	0.012087	0.004477	0.009004	0.026728	0.021802	0.003533	0.002057	0.003389	0.001243	0.971241	-75725.712
65760	0.142983	0.008837	0.029830	0.002719	0.003345	0.004987	0.003663	0.024060	0.019626	0.003180	0.002271	0.001665	0.001182	0.963450	-75743.406
65770	0.135715	0.008748	0.026151	0.006991	0.009895	0.001307	0.003208	0.023817	0.019427	0.003148	0.002050	0.002612	0.000145	0.991869	-75691.008
65780	0.151157	0.009255	0.027667	0.017016	0.007231	0.001685	0.001126	0.025197	0.020553	0.003330	0.001186	0.002374	0.000702	0.991869	-75707.607
65790	0.146459	0.007917	0.025649	0.004481	0.002744	0.003048	0.001111	0.024855	0.020274	0.003285	0.002698	0.001641	0.000287	0.991869	-75725.641
65800	0.156988	0.007787	0.028623	0.004854	0.008371	0.002092	0.008475	0.024211	0.019589	0.003200	0.002612	0.001729	0.000397	0.991869	-75690.670
65810	0.172254	0.007624	0.021832	0.009278	0.013198	0.004484	0.003946	0.022260	0.017890	0.002942	0.001744	0.002718	0.000969	0.991869	-75744.349
65820	0.180278	0.007563	0.018826	0.005641	0.006142	0.015193	0.004556	0.025109	0.020180	0.003319	0.002497	0.003298	0.001621	0.991869	-75722.500
65830	0.166343	0.013119	0.022978	0.003597	0.004057	0.002310	0.002892	0.025109	0.018127	0.003319	0.002832	0.002886	0.001551	0.991869	-75823.819
65840	0.226577	0.014150	0.030482	0.004183	0.003832	0.004213	0.003881	0.027082	0.019552	0.003580	0.002694	0.003516	0.000871	0.710853	-75680.149
65850	0.220115	0.012079	0.028691	0.005024	0.002190	0.002781	0.006926	0.023117	0.016690	0.003056	0.001625	0.002705	0.001550	0.681388	-75670.947
65860	0.236948	0.012671	0.033269	0.004536	0.009142	0.013367	0.016337	0.026423	0.020472	0.003493	0.002849	0.003043	0.002589	0.767242	-75745.533
65870	0.205924	0.012063	0.028506	0.003349	0.005432	0.004619	0.005153	0.025253	0.019628	0.003338	0.002482	0.002959	0.001337	0.796156	-75736.211
65880	0.259458	0.010783	0.026386	0.005383	0.017412	0.006204	0.004122	0.023375	0.018704	0.003090	0.002040	0.002580	0.000619	0.690620	-75744.932
65890	0.176080	0.010750	0.028233	0.002520	0.004293	0.002795	0.002418	0.023304	0.018648	0.003080	0.002573	0.003056	0.001231	0.775517	-75816.139
65900	0.209591	0.010750	0.021313	0.003371	0.006394	0.003128	0.002747	0.023304	0.018648	0.003080	0.001724	0.003056	0.000909	0.605029	-75702.108
65910	0.177342	0.010916	0.024347	0.002377	0.003284	0.022275	0.005444	0.025724	0.022081	0.003400	0.002436	0.003340	0.001773	0.622379	-75686.337
65920	0.182414	0.012501	0.032241	0.002560	0.003820	0.003322	0.002057	0.028020	0.023058	0.003704	0.003066	0.003703	0.002081	0.659330	-75772.611
65930	0.194372	0.013845	0.028160	0.004469	0.009401	0.001953	0.002259	0.030776	0.025149	0.004068	0.002646	0.002880	0.002242	0.558355	-75659.235
