Gen	theta_6PmunDintDcelDludDgol	theta_7DintDcelDludDgol	theta_8DcelDludDgol	theta_9DludDgol	tau_6PmunDintDcelDludDgol	tau_7DintDcelDludDgol	tau_8DcelDludDgol	tau_9DludDgol	lnL
3200	0.002485	0.002480	0.002689	0.003183	0.010356	0.009513	0.002739	0.000620	-105885.298
3210	0.002931	0.002354	0.003171	0.007398	0.012214	0.011220	0.003231	0.002285	-102379.361
3220	0.002614	0.003118	0.004200	0.005383	0.016177	0.014860	0.004279	0.003298	-102337.253
3230	0.002365	0.004347	0.003800	0.002574	0.014637	0.011259	0.003871	0.002491	-100399.808
3240	0.002053	0.004033	0.003879	0.005230	0.012704	0.009231	0.003360	0.001133	-106153.445
3250	0.001972	0.006211	0.004482	0.006730	0.012202	0.010567	0.002747	0.000379	-99744.914
3260	0.001652	0.002676	0.002845	0.007080	0.008195	0.006420	0.003769	0.000254	-101845.243
3270	0.002509	0.005212	0.009354	0.002660	0.012446	0.008421	0.004061	0.003189	-102269.805
3280	0.003552	0.005626	0.005713	0.003164	0.011953	0.008087	0.003900	0.002779	-104939.145
3290	0.002290	0.006794	0.005072	0.008356	0.012575	0.010658	0.004100	0.001140	-101372.155
3300	0.002774	0.004744	0.003753	0.001089	0.009238	0.007463	0.003960	0.003391	-105060.628
3310	0.002452	0.003021	0.001316	0.003010	0.008166	0.007210	0.004778	0.003275	-102477.706
3320	0.003747	0.003771	0.001740	0.002952	0.009628	0.008461	0.005487	0.003512	-105393.296
3330	0.003485	0.001713	0.002953	0.004275	0.007446	0.006615	0.004477	0.001425	-103690.313
3340	0.001845	0.002592	0.002195	0.004567	0.003942	0.003264	0.001807	0.001272	-109896.936
3350	0.003899	0.010465	0.002966	0.003395	0.008329	0.006433	0.004008	0.003739	-103544.528
3360	0.002733	0.009384	0.002641	0.002708	0.008628	0.007281	0.004197	0.003873	-106618.572
3370	0.005303	0.010853	0.005744	0.007437	0.016743	0.015514	0.007864	0.003054	-111316.543
3380	0.007168	0.002253	0.003910	0.003020	0.013039	0.012082	0.006314	0.002589	-111217.487
