Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.004241	0.003299	0.002729	0.019334	0.002967	0.002451	0.008968	0.027386	0.026724	0.018401	0.004011	0.002958	0.000812	0.655389	-94963.120
20	0.004209	0.003360	0.003047	0.006664	0.019384	0.012117	0.002182	0.027185	0.026318	0.017614	0.004989	0.002393	0.001104	0.812601	-96133.262
30	0.003696	0.002728	0.003218	0.005443	0.001641	0.004486	0.011401	0.023868	0.023106	0.016708	0.006691	0.012485	0.001914	0.971168	-93373.941
40	0.004165	0.004457	0.003090	0.002116	0.003867	0.002793	0.006142	0.026895	0.024699	0.022245	0.015481	0.011955	0.007761	0.969740	-95033.061
50	0.003250	0.002899	0.002935	0.005019	0.004889	0.004437	0.002797	0.020991	0.018757	0.016531	0.008061	0.012125	0.002753	0.980844	-96936.205
60	0.005955	0.005179	0.006607	0.010128	0.002081	0.002747	0.002250	0.038460	0.033969	0.027481	0.017654	0.016915	0.003253	0.669888	-91858.083
70	0.002877	0.003421	0.002065	0.008468	0.002020	0.001338	0.005905	0.018580	0.017172	0.015748	0.005639	0.011234	0.000967	0.905801	-94094.712
80	0.003826	0.003930	0.008788	0.003073	0.004441	0.001941	0.007093	0.033804	0.032166	0.020712	0.013884	0.011705	0.002178	0.941166	-90583.712
90	0.004976	0.006141	0.016223	0.003051	0.004877	0.004065	0.004760	0.030709	0.027545	0.017533	0.011107	0.010457	0.004425	0.793034	-95211.850
100	0.003021	0.005967	0.006167	0.002159	0.003713	0.003035	0.002200	0.018642	0.015055	0.012194	0.005148	0.004478	0.003166	0.701653	-96761.272
110	0.003450	0.005400	0.006356	0.002044	0.005123	0.002483	0.006092	0.021294	0.017224	0.014261	0.006196	0.011862	0.002978	0.622387	-95992.883
120	0.008656	0.009620	0.011129	0.002617	0.006466	0.006565	0.003475	0.038144	0.033127	0.025523	0.008594	0.012617	0.006074	0.713112	-93679.383
