Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.041102	0.006243	0.002968	0.006983	0.004501	0.008036	0.003627	0.062962	0.030615	0.019378	0.006512	0.017973	0.003083	0.832907	-78848.335
20	0.046104	0.003717	0.003824	0.010969	0.003537	0.001276	0.008776	0.080288	0.044643	0.024969	0.009480	0.023005	0.007588	0.848985	-78963.364
30	0.026551	0.003448	0.002777	0.008104	0.004968	0.007080	0.004758	0.059315	0.030973	0.018446	0.007004	0.016802	0.004960	0.840840	-78788.706
40	0.023903	0.003395	0.001898	0.008477	0.001895	0.003951	0.002733	0.058398	0.030494	0.020826	0.006895	0.012106	0.002561	0.951421	-78693.370
50	0.043775	0.004884	0.002964	0.006275	0.010517	0.001354	0.003058	0.074961	0.043862	0.029018	0.010662	0.015544	0.005673	0.979872	-78468.827
60	0.057005	0.002688	0.003070	0.005190	0.047517	0.001119	0.004807	0.077645	0.045433	0.030057	0.012455	0.008429	0.006776	0.871626	-79017.552
70	0.042551	0.005584	0.002247	0.005101	0.002565	0.003807	0.001995	0.076322	0.044658	0.029635	0.012243	0.013000	0.006252	0.972511	-78780.416
80	0.052037	0.005750	0.001558	0.007990	0.004076	0.002224	0.001733	0.081792	0.038781	0.029635	0.011024	0.010453	0.009496	0.972511	-78262.261
90	0.043237	0.003603	0.001757	0.006028	0.002125	0.003316	0.003109	0.080359	0.038374	0.026608	0.009898	0.009787	0.005725	0.811812	-78776.763
100	0.030311	0.003603	0.001586	0.006907	0.001716	0.006782	0.003254	0.074793	0.038374	0.026608	0.010025	0.024127	0.003640	0.977745	-79172.912
110	0.035831	0.002650	0.001168	0.006442	0.003973	0.001209	0.002498	0.085336	0.043783	0.031407	0.011491	0.026078	0.004147	0.895541	-78459.463
