Gen	theta_6PmunDintDludDcelDgol	theta_7DintDludDcelDgol	theta_8DludDcelDgol	theta_9DcelDgol	tau_6PmunDintDludDcelDgol	tau_7DintDludDcelDgol	tau_8DludDcelDgol	tau_9DcelDgol	lnL
10	0.001811	0.003425	0.002460	0.003132	0.004323	0.003246	0.001455	0.001252	-115037.470
20	0.006183	0.011539	0.005781	0.013413	0.010161	0.008694	0.003419	0.001758	-102554.430
30	0.002643	0.002488	0.002618	0.004722	0.005351	0.004569	0.002531	0.000469	-108431.336
40	0.002149	0.006546	0.002722	0.005005	0.006270	0.004535	0.002928	0.001471	-105769.765
50	0.004025	0.007786	0.006319	0.020174	0.011742	0.008617	0.004572	0.002386	-103443.956
60	0.002627	0.004076	0.009316	0.004631	0.007662	0.006025	0.002915	0.001968	-107434.880
70	0.002901	0.006319	0.005984	0.002987	0.003927	0.002153	0.001597	0.001205	-112504.177
80	0.003121	0.005334	0.005377	0.006409	0.004226	0.002215	0.001850	0.001231	-106996.376
90	0.005196	0.007422	0.012031	0.011484	0.010090	0.005704	0.005297	0.001959	-102713.264
100	0.003716	0.001808	0.014285	0.005516	0.003469	0.002244	0.001846	0.001278	-109439.344
110	0.004944	0.001300	0.002369	0.003787	0.002593	0.001688	0.001516	0.000414	-109663.199
120	0.006217	0.003162	0.003049	0.005234	0.004213	0.002800	0.002507	0.000874	-107070.510
130	0.005667	0.008413	0.004019	0.003228	0.004400	0.002242	0.001283	0.001089	-106828.908
140	0.003856	0.003072	0.003877	0.002566	0.002994	0.001526	0.000842	0.000375	-106128.915
150	0.007234	0.010742	0.003810	0.005846	0.007289	0.003714	0.002462	0.001905	-102135.891
160	0.007760	0.005528	0.003388	0.006963	0.003713	0.001789	0.000959	0.000467	-110355.330
170	0.005164	0.004219	0.004726	0.004269	0.003181	0.001736	0.000910	0.000767	-110930.514
180	0.004436	0.007423	0.008177	0.004651	0.003108	0.001658	0.000848	0.000780	-112118.984
190	0.010651	0.007888	0.006782	0.007975	0.004495	0.002697	0.001518	0.001291	-109164.740
200	0.003894	0.005275	0.006009	0.004519	0.003755	0.002167	0.001532	0.000904	-101846.446
210	0.003163	0.009012	0.005417	0.002665	0.003908	0.001990	0.000933	0.000694	-104044.419
220	0.004382	0.010356	0.004240	0.013954	0.005413	0.003332	0.001396	0.001166	-109555.663
230	0.003002	0.004228	0.004400	0.009555	0.003708	0.003049	0.000928	0.000901	-108369.410
240	0.002957	0.003377	0.002954	0.008220	0.003434	0.002888	0.000860	0.000618	-111256.082
250	0.003445	0.002779	0.005577	0.021730	0.006011	0.005054	0.001325	0.001304	-105166.628
260	0.003216	0.007701	0.003660	0.052086	0.005612	0.003328	0.001237	0.000438	-106954.394
270	0.003216	0.006059	0.001623	0.018310	0.005612	0.003860	0.002239	0.001489	-109370.965
280	0.002284	0.012742	0.001922	0.009303	0.006714	0.004245	0.002701	0.002577	-107176.317
290	0.001894	0.007937	0.002796	0.005668	0.005568	0.003864	0.002297	0.001510	-111341.316
300	0.002644	0.005547	0.003903	0.007198	0.007771	0.006300	0.003206	0.000968	-104104.005
310	0.002492	0.003951	0.002714	0.003698	0.007324	0.005097	0.003251	0.002376	-101961.093
320	0.003573	0.003397	0.004602	0.006035	0.007243	0.006133	0.002717	0.001919	-104388.150
330	0.003185	0.008498	0.004078	0.003914	0.007958	0.005353	0.002908	0.000968	-103516.460
340	0.003201	0.009265	0.002223	0.002436	0.007996	0.005506	0.003344	0.000973	-103785.049
350	0.003465	0.001508	0.001861	0.002115	0.010818	0.009713	0.005343	0.002050	-103195.048
360	0.007855	0.003871	0.003030	0.004978	0.021168	0.017743	0.012930	0.004965	-106386.336
370	0.003624	0.004335	0.002368	0.001908	0.012490	0.010508	0.007114	0.004731	-106971.336
380	0.005290	0.004775	0.004624	0.004080	0.011182	0.009639	0.004205	0.001773	-106654.815
390	0.002457	0.003324	0.001309	0.002448	0.005194	0.004475	0.002817	0.001238	-108977.685
400	0.004077	0.003173	0.002403	0.002735	0.009531	0.009018	0.005169	0.003185	-101068.916
410	0.005390	0.003125	0.002529	0.007974	0.012601	0.011923	0.007504	0.002749	-101468.396
420	0.002946	0.002349	0.004317	0.004861	0.008394	0.007942	0.004965	0.003126	-103080.172
430	0.001944	0.001697	0.008074	0.007620	0.005539	0.005071	0.003025	0.002539	-109338.660
440	0.002812	0.002844	0.006522	0.005055	0.004670	0.003418	0.002847	0.001547	-109300.003
450	0.001977	0.002557	0.001939	0.007681	0.003284	0.002804	0.002616	0.000518	-109072.674
460	0.004080	0.004429	0.003226	0.006127	0.004954	0.004182	0.003719	0.001665	-111221.936
470	0.003747	0.009028	0.003140	0.003884	0.004002	0.003387	0.003193	0.001076	-104074.586
480	0.003658	0.010021	0.005037	0.003926	0.003908	0.003274	0.003125	0.001832	-108344.898
490	0.003501	0.003793	0.003932	0.007030	0.005637	0.004786	0.004453	0.002712	-106064.692
500	0.003338	0.003615	0.002498	0.004741	0.005374	0.004563	0.004284	0.002173	-109912.003
510	0.002780	0.005500	0.008597	0.006759	0.004476	0.003801	0.003343	0.002599	-104017.031
