Gen	theta_6PmunDintDgolDcelDlud	theta_7DintDgolDcelDlud	theta_8DgolDcelDlud	theta_9DcelDlud	tau_6PmunDintDgolDcelDlud	tau_7DintDgolDcelDlud	tau_8DgolDcelDlud	tau_9DcelDlud	lnL
10	0.140074	0.020731	0.022958	0.002185	0.032492	0.019115	0.004166	0.003473	-75457.355
20	0.161240	0.018033	0.028193	0.002363	0.032631	0.022041	0.004136	0.003326	-75482.448
30	0.131057	0.017244	0.021084	0.004029	0.030898	0.020704	0.003916	0.003179	-75445.405
40	0.174159	0.024112	0.034150	0.007470	0.031474	0.017067	0.003785	0.002676	-75420.949
50	0.100491	0.041852	0.026463	0.006582	0.030191	0.014473	0.003320	0.002247	-75464.150
60	0.097994	0.044229	0.023642	0.011432	0.031953	0.014874	0.003359	0.001702	-75438.064
70	0.101678	0.048542	0.016224	0.004132	0.034603	0.014343	0.003524	0.002846	-75456.783
80	0.147688	0.076335	0.015868	0.004557	0.035560	0.013153	0.003725	0.003005	-75465.937
90	0.090712	0.028939	0.034503	0.009281	0.036121	0.016418	0.002456	0.001492	-75386.281
100	0.116941	0.026308	0.023516	0.007033	0.036373	0.019572	0.002583	0.001335	-75455.182
110	0.105573	0.028894	0.024269	0.005591	0.038859	0.022114	0.003033	0.001952	-75408.271
120	0.173835	0.027267	0.024269	0.006346	0.038859	0.023252	0.003033	0.001976	-75433.023
130	0.121555	0.034649	0.032848	0.005039	0.038634	0.020603	0.002269	0.001229	-75405.551
140	0.099710	0.032503	0.016725	0.002838	0.039767	0.017004	0.002758	0.001978	-75448.663
150	0.104903	0.030246	0.018314	0.005756	0.040364	0.017381	0.003508	0.001188	-75420.660
160	0.152139	0.028086	0.021170	0.001757	0.039704	0.019558	0.004505	0.003793	-75419.970
170	0.139080	0.032961	0.028277	0.001921	0.043635	0.018663	0.004666	0.003778	-75392.021
180	0.130774	0.038304	0.030507	0.001851	0.044621	0.020698	0.004213	0.003666	-75420.283
190	0.078144	0.028757	0.032941	0.001470	0.038772	0.018076	0.003306	0.002879	-75484.889
200	0.106239	0.046269	0.025069	0.001793	0.041691	0.020212	0.003684	0.002931	-75443.989
210	0.133238	0.030617	0.033641	0.001726	0.045351	0.018961	0.003855	0.003469	-75423.317
220	0.133526	0.028734	0.023642	0.001823	0.044450	0.018007	0.003636	0.003120	-75418.712
230	0.113010	0.037008	0.026588	0.002276	0.045102	0.015709	0.003435	0.002323	-75443.374
240	0.178347	0.027534	0.033814	0.002310	0.044900	0.021156	0.003272	0.002182	-75456.612
250	0.134245	0.032002	0.026972	0.003520	0.042962	0.018272	0.003009	0.001994	-75397.250
260	0.163705	0.027557	0.033686	0.004883	0.043169	0.021472	0.003982	0.001901	-75429.620
270	0.166668	0.023984	0.026449	0.005426	0.045811	0.018589	0.004263	0.002111	-75456.759
280	0.092669	0.032279	0.024789	0.007298	0.040136	0.014839	0.003890	0.001403	-75431.440
290	0.116329	0.057738	0.017575	0.005973	0.038834	0.015655	0.003700	0.002047	-75401.481
300	0.086866	0.031450	0.016540	0.006685	0.039584	0.016940	0.003482	0.001927	-75440.648
310	0.088490	0.035880	0.020756	0.001749	0.040697	0.014641	0.002960	0.002391	-75419.522
320	0.093948	0.031035	0.024301	0.001243	0.039396	0.016127	0.002924	0.002790	-75412.083
330	0.127614	0.040948	0.023100	0.004639	0.043802	0.017155	0.003351	0.002726	-75455.481
340	0.155539	0.021009	0.023290	0.024585	0.040064	0.018559	0.003283	0.000625	-75423.025
350	0.131056	0.039866	0.019591	0.004493	0.039679	0.017150	0.002783	0.001868	-75394.447
360	0.124281	0.035382	0.036743	0.002433	0.038994	0.015790	0.002790	0.002470	-75426.576
370	0.131448	0.042513	0.025048	0.003197	0.040152	0.017269	0.002790	0.001958	-75478.793
380	0.109238	0.035452	0.025036	0.002455	0.037896	0.015314	0.002604	0.002290	-75411.766
390	0.119237	0.023569	0.025947	0.007696	0.036241	0.014850	0.002360	0.001884	-75396.837
400	0.128732	0.048983	0.017719	0.022182	0.040213	0.017036	0.002669	0.000988	-75435.766
410	0.103301	0.023767	0.019334	0.003445	0.041695	0.021114	0.003215	0.002600	-75428.204
420	0.147383	0.026630	0.030810	0.003969	0.038943	0.018232	0.003013	0.001943	-75410.038
430	0.143300	0.035864	0.025131	0.005772	0.039076	0.017394	0.003629	0.001608	-75424.926
440	0.123999	0.030315	0.024688	0.003704	0.040332	0.016909	0.003565	0.003024	-75421.785
450	0.111741	0.050418	0.019364	0.005070	0.035010	0.014692	0.003048	0.001854	-75411.272
460	0.108625	0.030843	0.023715	0.003824	0.035367	0.012013	0.002842	0.002359	-75413.765
470	0.125682	0.035359	0.018723	0.005419	0.035831	0.016013	0.002934	0.001720	-75418.430
