Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10k	theta_11u	theta_12j	theta_13l	theta_14j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10k	tau_11u	tau_12j	tau_13l	phi_j<-i	phi_l<-k	lnL
10	0.006740	0.002798	0.003685	0.007575	0.001831	0.005604	0.003280	0.003675	0.002428	0.005078	0.004814	0.004335	0.004310	0.000084	0.001791	0.001685	0.000084	0.926593	0.190879	-107175.839
20	0.007112	0.001777	0.003540	0.003988	0.004157	0.002586	0.003222	0.002886	0.002761	0.005359	0.005326	0.004825	0.002338	0.000088	0.002332	0.001127	0.000088	0.943523	0.135124	-103062.620
30	0.007779	0.003915	0.002435	0.002875	0.004051	0.004967	0.008894	0.003909	0.001629	0.005861	0.005827	0.005724	0.003101	0.000102	0.001783	0.001280	0.000102	0.942426	0.059524	-106046.957
40	0.009827	0.004352	0.007193	0.001072	0.010410	0.001455	0.001748	0.007302	0.003834	0.007404	0.007376	0.006823	0.006491	0.000129	0.006524	0.006044	0.000129	0.781420	0.070415	-100798.093
50	0.007246	0.005573	0.004110	0.004874	0.002926	0.003082	0.004475	0.002795	0.002588	0.005459	0.005209	0.005075	0.003777	0.000171	0.002521	0.002313	0.000171	0.891151	0.182818	-104652.850
60	0.002941	0.004188	0.003006	0.004310	0.001334	0.002491	0.002572	0.001705	0.003632	0.003256	0.003086	0.002923	0.002212	0.000239	0.001049	0.000415	0.000239	0.742032	0.134614	-105135.457
70	0.004695	0.004044	0.003233	0.003295	0.003560	0.005150	0.001666	0.004504	0.002409	0.005199	0.004989	0.004716	0.003263	0.000381	0.002460	0.001177	0.000381	0.801865	0.601503	-105403.880
80	0.006560	0.003988	0.005430	0.011666	0.002688	0.004101	0.001546	0.002374	0.001455	0.006751	0.006642	0.006147	0.003285	0.003227	0.005937	0.002140	0.003227	0.357202	0.693015	-110825.673
90	0.005388	0.006280	0.001826	0.002054	0.006683	0.002772	0.007062	0.003105	0.002211	0.005545	0.005534	0.005414	0.004268	0.001664	0.005049	0.001114	0.001664	0.201718	0.304678	-110278.931
100	0.007082	0.004186	0.004237	0.001347	0.002750	0.004630	0.003117	0.003626	0.001771	0.004442	0.004402	0.004248	0.003929	0.001069	0.003886	0.000413	0.001069	0.271346	0.429412	-104270.740
110	0.003590	0.004621	0.003795	0.001851	0.003201	0.002111	0.002829	0.007001	0.001933	0.002252	0.002214	0.002201	0.001525	0.000100	0.001722	0.001343	0.000100	0.425049	0.325504	-110592.707
120	0.004079	0.106093	0.002945	0.008086	0.004800	0.004755	0.003178	0.003521	0.002922	0.002559	0.002490	0.002411	0.000925	0.000114	0.001541	0.000489	0.000114	0.211082	0.656576	-105224.425
130	0.004615	0.026307	0.018999	0.009550	0.002195	0.002998	0.004790	0.002921	0.002018	0.002893	0.002888	0.002800	0.002319	0.000546	0.002586	0.001979	0.000546	0.257857	0.628003	-113063.393
140	0.003802	0.015761	0.001806	0.001886	0.001970	0.003607	0.005246	0.003554	0.005094	0.002497	0.002475	0.002375	0.002161	0.001707	0.002191	0.000650	0.001707	0.592894	0.628003	-107867.249
150	0.005306	0.009354	0.007142	0.011680	0.003739	0.004518	0.001671	0.010014	0.004248	0.003485	0.003456	0.003065	0.002744	0.001553	0.002419	0.001534	0.001553	0.488667	0.792454	-105725.808
160	0.003673	0.005155	0.002388	0.010399	0.002796	0.003370	0.002964	0.004492	0.003631	0.002606	0.002468	0.002323	0.002232	0.001052	0.001621	0.001034	0.001052	0.665344	0.518407	-107395.959
170	0.003129	0.005283	0.001739	0.004337	0.003673	0.006861	0.006360	0.007571	0.014225	0.002220	0.002077	0.002009	0.001413	0.000156	0.001105	0.000830	0.000156	0.129611	0.593276	-106964.085
180	0.002435	0.002461	0.005326	0.002146	0.007956	0.006910	0.006739	0.008013	0.002081	0.001920	0.001792	0.001589	0.001483	0.000174	0.001168	0.001103	0.000174	0.350338	0.790704	-111346.780
190	0.002248	0.003525	0.005353	0.010542	0.013265	0.001633	0.001716	0.002314	0.002483	0.001772	0.001597	0.001471	0.001163	0.001053	0.001454	0.000949	0.001053	0.073817	0.705032	-114029.752
200	0.004047	0.006882	0.006975	0.005613	0.001898	0.004394	0.004907	0.002144	0.002916	0.002853	0.002717	0.002411	0.001900	0.000597	0.002055	0.001734	0.000597	0.043814	0.569409	-109869.479
210	0.003583	0.009921	0.017482	0.001696	0.006571	0.004421	0.005252	0.002810	0.003132	0.003702	0.003493	0.002942	0.002277	0.001712	0.002926	0.001637	0.001712	0.084203	0.121419	-109106.967
220	0.003693	0.006543	0.018928	0.002161	0.004237	0.005472	0.002114	0.005039	0.003229	0.003815	0.003560	0.003134	0.003106	0.002433	0.002707	0.002601	0.002433	0.345533	0.171489	-111628.678
230	0.004185	0.018115	0.003021	0.005066	0.006831	0.001996	0.003252	0.004022	0.002530	0.003840	0.003263	0.003212	0.002917	0.002875	0.003173	0.001116	0.002875	0.039139	0.045501	-108120.330
240	0.003367	0.004399	0.002131	0.012673	0.002556	0.007616	0.003510	0.004169	0.002913	0.003089	0.002652	0.002643	0.002343	0.000373	0.001636	0.001298	0.000373	0.153413	0.008062	-107216.021
250	0.003124	0.004750	0.023686	0.004107	0.003223	0.002045	0.008081	0.010831	0.013321	0.002406	0.002066	0.001816	0.001740	0.001083	0.001676	0.001429	0.001083	0.206678	0.008062	-110088.387
260	0.006952	0.005591	0.001471	0.010049	0.001449	0.002565	0.009521	0.014688	0.003045	0.004386	0.003635	0.003612	0.003444	0.000185	0.003472	0.002956	0.000185	0.088041	0.008062	-104171.223
270	0.006216	0.004999	0.001230	0.005894	0.007707	0.002589	0.010324	0.009262	0.005407	0.003922	0.003250	0.003230	0.002921	0.000478	0.002935	0.000896	0.000478	0.171852	0.110543	-105072.222
280	0.006654	0.005299	0.003889	0.002131	0.002838	0.014253	0.003945	0.001451	0.002061	0.004253	0.003723	0.003538	0.003176	0.002933	0.002979	0.001158	0.002933	0.015181	0.232829	-109031.889
290	0.007758	0.006371	0.003929	0.002234	0.002984	0.001362	0.006717	0.004138	0.002102	0.004959	0.004558	0.004393	0.003748	0.003324	0.003782	0.003521	0.003324	0.139313	0.894306	-108932.893
300	0.005150	0.007627	0.001811	0.003937	0.005064	0.001784	0.004285	0.002716	0.001698	0.003292	0.003245	0.003233	0.002411	0.002158	0.002824	0.001874	0.002158	0.112064	0.977061	-107970.658
310	0.003596	0.001603	0.006302	0.003320	0.004805	0.004107	0.010311	0.001944	0.003398	0.003289	0.003256	0.003216	0.002914	0.002268	0.003178	0.001515	0.002268	0.365222	0.971045	-106021.458
320	0.003351	0.003847	0.007626	0.004310	0.003767	0.008783	0.004121	0.004437	0.002287	0.002958	0.002919	0.002849	0.002697	0.001606	0.002375	0.001958	0.001606	0.590513	0.918154	-107126.521
330	0.002479	0.002500	0.005506	0.004559	0.005165	0.002052	0.002463	0.002190	0.011482	0.002238	0.002138	0.001915	0.001817	0.001432	0.001891	0.000858	0.001432	0.483892	0.976051	-108516.368
340	0.005162	0.004169	0.005289	0.004559	0.020878	0.003333	0.010260	0.002954	0.004186	0.004661	0.004572	0.004236	0.003937	0.003457	0.003729	0.001160	0.003457	0.222125	0.558552	-100919.363
350	0.004122	0.004365	0.003470	0.004546	0.002283	0.011724	0.005099	0.013051	0.005415	0.003722	0.003660	0.003355	0.001684	0.000759	0.003336	0.001360	0.000759	0.101516	0.316076	-106686.234
360	0.004599	0.003122	0.002474	0.004635	0.008132	0.003825	0.006448	0.007775	0.004205	0.003731	0.003695	0.003350	0.002160	0.000982	0.002982	0.000239	0.000982	0.443843	0.576301	-109742.141
370	0.006898	0.014403	0.002672	0.014379	0.007176	0.004281	0.011819	0.002740	0.002294	0.005596	0.005546	0.005355	0.002839	0.001856	0.004714	0.000807	0.001856	0.328512	0.670247	-109514.886
380	0.004023	0.005677	0.012145	0.003089	0.004185	0.006392	0.014682	0.002090	0.015795	0.003264	0.003231	0.003197	0.002374	0.001375	0.003180	0.002030	0.001375	0.611127	0.461317	-109453.369
390	0.004979	0.003724	0.002453	0.006106	0.005762	0.004662	0.003611	0.006008	0.002003	0.004012	0.003998	0.003952	0.002704	0.002340	0.002787	0.002224	0.002340	0.828916	0.211461	-105847.282
400	0.003840	0.003731	0.005645	0.003742	0.004783	0.007641	0.003321	0.002105	0.004309	0.003094	0.003086	0.003017	0.001901	0.001686	0.002658	0.000980	0.001686	0.535897	0.541094	-108294.159
410	0.002993	0.010089	0.005791	0.002282	0.002249	0.014921	0.005419	0.004685	0.009390	0.002411	0.002333	0.002256	0.001366	0.000984	0.001819	0.000845	0.000984	0.787539	0.093096	-114207.146
420	0.002315	0.002983	0.004798	0.001554	0.005356	0.131936	0.001425	0.006329	0.011592	0.002411	0.002388	0.002385	0.001663	0.001195	0.001326	0.000440	0.001195	0.791515	0.155531	-114972.331
430	0.002866	0.002334	0.006226	0.002146	0.003279	0.008506	0.003224	0.004478	0.002760	0.002453	0.002432	0.002432	0.001692	0.001152	0.001853	0.001463	0.001152	0.822254	0.558310	-112365.341
440	0.003631	0.004031	0.006057	0.002758	0.002627	0.003655	0.004857	0.001538	0.002959	0.003109	0.003095	0.002956	0.002134	0.001864	0.002216	0.001553	0.001864	0.822254	0.662840	-107665.812
450	0.006445	0.006423	0.021619	0.003885	0.003047	0.027072	0.002518	0.013165	0.004578	0.005518	0.005456	0.005139	0.003429	0.001180	0.004453	0.001737	0.001180	0.832251	0.488279	-104264.620
460	0.003748	0.005137	0.007549	0.004251	0.001772	0.008878	0.003456	0.002673	0.004398	0.003209	0.003083	0.002870	0.001844	0.001011	0.002298	0.001752	0.001011	0.710357	0.636027	-108287.296
470	0.005192	0.004576	0.004828	0.005743	0.003076	0.005340	0.003903	0.001935	0.002069	0.004966	0.004961	0.003944	0.003502	0.001492	0.003131	0.001147	0.001492	0.828913	0.751887	-107150.350
480	0.010660	0.003478	0.005707	0.010182	0.005966	0.009729	0.002876	0.002257	0.026084	0.010195	0.010180	0.008546	0.007481	0.000868	0.007227	0.006927	0.000868	0.973720	0.883745	-105411.977
490	0.005417	0.002551	0.003378	0.001916	0.004750	0.005862	0.004032	0.002119	0.004470	0.005180	0.005175	0.004428	0.003579	0.001235	0.003222	0.000966	0.001235	0.760388	0.888570	-111812.495
500	0.008810	0.003025	0.009279	0.003081	0.005587	0.003080	0.003284	0.001440	0.001857	0.008426	0.008417	0.006639	0.006043	0.002569	0.005803	0.003354	0.002569	0.730264	0.883956	-105894.123
510	0.005275	0.022206	0.002348	0.003899	0.003621	0.004157	0.008576	0.003436	0.003511	0.005073	0.005012	0.003932	0.003545	0.002272	0.003514	0.001956	0.002272	0.360647	0.996875	-103449.736
520	0.004187	0.002226	0.001413	0.003078	0.003909	0.002977	0.004202	0.004563	0.003501	0.004027	0.003991	0.003419	0.002606	0.000258	0.001623	0.001198	0.000258	0.360647	0.996875	-105764.413
530	0.004168	0.004342	0.001862	0.005279	0.002963	0.001181	0.005996	0.003563	0.003157	0.004009	0.003835	0.002953	0.002310	0.000656	0.002707	0.000831	0.000656	0.242242	0.996875	-107036.321
540	0.003916	0.002611	0.001640	0.005634	0.003843	0.002857	0.008330	0.005651	0.009052	0.004500	0.004199	0.003300	0.001774	0.001265	0.003053	0.001755	0.001265	0.048549	0.854712	-107359.501
550	0.004313	0.010548	0.002797	0.011907	0.003147	0.015249	0.013951	0.006221	0.004245	0.004956	0.003447	0.003203	0.002383	0.001359	0.001774	0.001666	0.001359	0.164308	0.941306	-107568.377
