Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10k	theta_11u	theta_12j	theta_13l	theta_14j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10k	tau_11u	tau_12j	tau_13l	phi_j<-i	phi_l<-k	lnL
560	0.003220	0.006603	0.004536	0.010109	0.001461	0.002756	0.004193	0.002477	0.004250	0.003315	0.002292	0.001722	0.001324	0.000828	0.001315	0.000385	0.000828	0.240861	0.933933	-109405.397
570	0.003405	0.004974	0.003466	0.004652	0.005880	0.006935	0.007309	0.004296	0.004418	0.003505	0.002354	0.001992	0.001599	0.000850	0.001167	0.001118	0.000850	0.205644	0.384718	-105719.689
580	0.004363	0.004090	0.006784	0.003773	0.008036	0.009170	0.003394	0.006843	0.011193	0.004138	0.002814	0.002200	0.001470	0.000774	0.001430	0.000603	0.000774	0.230198	0.545350	-106703.655
590	0.002779	0.002587	0.008839	0.001598	0.003754	0.008100	0.001917	0.003951	0.003676	0.003011	0.002047	0.001615	0.001298	0.000369	0.001124	0.000577	0.000369	0.121628	0.570570	-105988.568
600	0.002465	0.006015	0.002238	0.002152	0.004561	0.004316	0.001698	0.004044	0.003295	0.002902	0.001815	0.001795	0.001544	0.000277	0.000460	0.000387	0.000277	0.108808	0.582310	-110934.836
610	0.004827	0.029331	0.005135	0.002948	0.004599	0.001893	0.001890	0.001524	0.003224	0.005684	0.003554	0.003530	0.002886	0.001161	0.002548	0.000200	0.001161	0.253530	0.765410	-109295.817
620	0.003328	0.013949	0.002010	0.002111	0.002846	0.013219	0.000764	0.003194	0.003470	0.003919	0.002450	0.002440	0.001409	0.001111	0.002363	0.000122	0.001111	0.158631	0.552265	-110400.744
630	0.003328	0.028654	0.004344	0.004688	0.008986	0.013371	0.002630	0.002620	0.004714	0.003919	0.002450	0.002430	0.001412	0.001345	0.002386	0.000337	0.001345	0.072140	0.720922	-109790.092
640	0.005522	0.025619	0.008592	0.003368	0.003647	0.006707	0.008532	0.003233	0.002408	0.004517	0.002892	0.001981	0.001628	0.001551	0.001614	0.000195	0.001551	0.386830	0.793319	-109936.192
650	0.003827	0.013448	0.003371	0.001646	0.005564	0.004904	0.002928	0.003198	0.003099	0.003131	0.001851	0.001447	0.001076	0.000268	0.001050	0.000630	0.000268	0.769178	0.692617	-112380.699
660	0.003793	0.015675	0.004558	0.010394	0.008615	0.002491	0.002035	0.002326	0.005035	0.004830	0.003477	0.002324	0.001432	0.000971	0.001419	0.001018	0.000971	0.908284	0.857724	-102106.860
670	0.002844	0.008145	0.004520	0.007655	0.020932	0.002708	0.003615	0.003208	0.003111	0.004656	0.003280	0.002240	0.001423	0.000734	0.001421	0.000726	0.000734	0.642427	0.687228	-104196.897
680	0.002473	0.017730	0.004225	0.007639	0.025659	0.004553	0.002920	0.004215	0.002679	0.004011	0.002514	0.002031	0.001183	0.000781	0.001747	0.000597	0.000781	0.299034	0.481638	-109293.818
690	0.001906	0.014392	0.003052	0.001949	0.005455	0.003077	0.014206	0.002301	0.002389	0.003362	0.002258	0.001865	0.001766	0.000323	0.001320	0.000148	0.000323	0.229860	0.571614	-111409.624
700	0.002948	0.003467	0.003051	0.004947	0.004950	0.001969	0.004817	0.005579	0.001913	0.004438	0.002885	0.002430	0.001379	0.000557	0.001735	0.001354	0.000557	0.207875	0.424866	-100333.575
710	0.003806	0.004177	0.006067	0.003925	0.004651	0.001716	0.005529	0.009769	0.004850	0.005731	0.003737	0.003557	0.001781	0.001229	0.002172	0.000456	0.001229	0.029253	0.123214	-103168.305
720	0.002434	0.002893	0.002520	0.002329	0.003703	0.002207	0.006986	0.005330	0.004948	0.005847	0.003787	0.003421	0.001816	0.000384	0.001875	0.001730	0.000384	0.194909	0.186688	-107274.966
730	0.002975	0.003536	0.002811	0.002207	0.002186	0.002602	0.002236	0.002837	0.006823	0.007147	0.004629	0.004183	0.002349	0.001079	0.002108	0.000780	0.001079	0.663460	0.399600	-108446.083
740	0.004207	0.007438	0.004676	0.003254	0.003092	0.001810	0.003934	0.004152	0.005315	0.010106	0.006401	0.005785	0.003418	0.001683	0.005063	0.001431	0.001683	0.563285	0.461397	-107444.375
750	0.004274	0.011511	0.001510	0.001292	0.014616	0.002896	0.002714	0.001255	0.006284	0.013104	0.008196	0.008093	0.006883	0.001250	0.003446	0.001950	0.001250	0.777660	0.601306	-103171.393
760	0.003483	0.004412	0.003197	0.002574	0.009106	0.002233	0.004319	0.008035	0.002895	0.008047	0.005033	0.005014	0.001978	0.001597	0.001686	0.000887	0.001597	0.777660	0.640786	-102265.748
770	0.003164	0.004921	0.001995	0.005141	0.005000	0.003400	0.002958	0.004005	0.001113	0.008976	0.005614	0.005593	0.002281	0.001220	0.001881	0.001689	0.001220	0.505927	0.842652	-99340.432
780	0.001821	0.003305	0.005557	0.002327	0.002878	0.001033	0.003736	0.004083	0.008695	0.005168	0.003232	0.003220	0.001856	0.000983	0.001596	0.001279	0.000983	0.410003	0.882453	-110234.385
790	0.001757	0.003377	0.020698	0.002912	0.004970	0.015396	0.008978	0.004920	0.001839	0.004984	0.003069	0.002262	0.001494	0.000437	0.001095	0.000113	0.000437	0.341684	0.534531	-108764.248
800	0.003003	0.003297	0.007761	0.003908	0.006152	0.004606	0.002247	0.004968	0.018070	0.006169	0.003615	0.002803	0.002515	0.000220	0.002317	0.000140	0.000220	0.288550	0.932748	-112218.592
810	0.002247	0.001876	0.011709	0.004039	0.009631	0.001265	0.001686	0.004360	0.003016	0.004617	0.002813	0.001939	0.001882	0.000400	0.001495	0.000523	0.000400	0.214378	0.840564	-105705.272
820	0.003470	0.001816	0.003213	0.002839	0.003352	0.003298	0.006458	0.002725	0.002699	0.004402	0.003030	0.001849	0.001680	0.001167	0.001201	0.000577	0.001167	0.042852	0.692002	-108788.767
830	0.003849	0.001796	0.003816	0.002432	0.006727	0.001428	0.014917	0.003792	0.012623	0.005228	0.003880	0.002196	0.002036	0.001470	0.001620	0.001136	0.001470	0.043912	0.493523	-106486.572
840	0.002291	0.002205	0.001374	0.002742	0.002483	0.003258	0.004207	0.003656	0.010816	0.005610	0.003384	0.002655	0.002190	0.001509	0.002034	0.001401	0.001509	0.125608	0.505495	-109826.749
850	0.004254	0.002000	0.001376	0.011803	0.005326	0.009081	0.002024	0.003677	0.002735	0.008900	0.006337	0.005032	0.003160	0.001713	0.003875	0.002381	0.001713	0.177266	0.344567	-103888.212
860	0.004425	0.003116	0.002129	0.005595	0.006411	0.001366	0.005644	0.002288	0.004436	0.010940	0.007315	0.005614	0.004072	0.003454	0.003615	0.001491	0.003454	0.518688	0.500897	-103977.549
870	0.003250	0.002220	0.001880	0.003457	0.010967	0.003074	0.009162	0.001924	0.002696	0.011046	0.008064	0.005890	0.005095	0.002809	0.003650	0.003006	0.002809	0.070426	0.878645	-99847.510
880	0.005494	0.002294	0.002492	0.008615	0.017084	0.001597	0.001628	0.003049	0.003197	0.014646	0.011692	0.007810	0.006934	0.000995	0.004991	0.004185	0.000995	0.227122	0.988202	-108980.219
890	0.003151	0.002462	0.001285	0.002970	0.004159	0.004601	0.003666	0.002332	0.004493	0.008400	0.006579	0.004443	0.002959	0.000172	0.004029	0.001976	0.000172	0.155619	0.988202	-108003.964
900	0.004606	0.003033	0.001882	0.008250	0.003508	0.003690	0.004131	0.002121	0.004701	0.012279	0.010066	0.007092	0.002649	0.000570	0.002488	0.001117	0.000570	0.002314	0.988202	-106972.713
910	0.002958	0.003449	0.002555	0.006678	0.001524	0.004508	0.002158	0.002328	0.005521	0.009103	0.007210	0.004393	0.002073	0.000571	0.001673	0.000538	0.000571	0.002314	0.954004	-105727.341
920	0.004100	0.003430	0.004249	0.005058	0.002364	0.005086	0.003261	0.011200	0.003269	0.012620	0.010293	0.005460	0.004033	0.000118	0.002801	0.000439	0.000118	0.002314	0.677904	-100163.412
930	0.003282	0.002884	0.004666	0.002235	0.003558	0.002518	0.003788	0.003185	0.002763	0.012909	0.009694	0.005854	0.002256	0.001199	0.004632	0.000940	0.001199	0.002314	0.457804	-105664.142
940	0.005605	0.004871	0.006047	0.005532	0.004841	0.007068	0.004651	0.002251	0.004947	0.022045	0.013897	0.010337	0.003609	0.001427	0.004798	0.003073	0.001427	0.107933	0.359396	-100524.335
950	0.004273	0.002440	0.006646	0.005583	0.001992	0.005136	0.002833	0.002245	0.007564	0.034683	0.027324	0.019356	0.012928	0.005433	0.011775	0.006031	0.005433	0.107594	0.400309	-101832.262
960	0.003416	0.002020	0.002200	0.002981	0.001988	0.005800	0.018166	0.001570	0.006291	0.034615	0.028817	0.025172	0.013400	0.003996	0.016979	0.005776	0.003996	0.064180	0.498610	-103500.088
970	0.005859	0.001680	0.002574	0.002191	0.003392	0.003478	0.008419	0.001091	0.007953	0.053350	0.046608	0.041152	0.022530	0.012395	0.023564	0.007540	0.012395	0.209267	0.321550	-95188.052
980	0.005286	0.000946	0.004041	0.003156	0.003774	0.006879	0.001348	0.011234	0.003607	0.039528	0.035764	0.026047	0.016020	0.010430	0.015506	0.009435	0.010430	0.080071	0.673847	-94315.979
990	0.004938	0.001491	0.001498	0.002223	0.004506	0.003371	0.004238	0.003420	0.002722	0.041343	0.036009	0.034339	0.019412	0.009283	0.025999	0.012884	0.009283	0.050408	0.660074	-97722.100
1000	0.002681	0.001457	0.003068	0.005190	0.002526	0.013867	0.005547	0.002422	0.002591	0.023174	0.019082	0.016707	0.011415	0.002171	0.009735	0.003850	0.002171	0.075492	0.537199	-102733.448
1010	0.005301	0.003737	0.008825	0.004147	0.002895	0.005356	0.004397	0.007392	0.002319	0.022686	0.015355	0.011682	0.005092	0.002235	0.008756	0.004938	0.002235	0.248696	0.543836	-106611.910
1020	0.003342	0.001930	0.004615	0.003451	0.004107	0.006568	0.003641	0.002408	0.002010	0.014303	0.009680	0.007741	0.003318	0.001217	0.005654	0.001596	0.001217	0.378238	0.445719	-103500.832
1030	0.003342	0.002531	0.003254	0.002855	0.012818	0.004027	0.007267	0.008018	0.006886	0.014303	0.009912	0.007878	0.003069	0.001665	0.007554	0.002587	0.001665	0.518817	0.530179	-101784.594
1040	0.004399	0.002499	0.002482	0.001305	0.007965	0.005500	0.009541	0.002518	0.007868	0.010907	0.007206	0.006008	0.002636	0.001241	0.005797	0.002174	0.001241	0.298718	0.442080	-102555.614
1050	0.004633	0.001889	0.002843	0.001557	0.002149	0.003918	0.002122	0.003131	0.007318	0.014278	0.010580	0.007864	0.003143	0.002315	0.007736	0.000052	0.002315	0.227062	0.062400	-100753.771
1060	0.004577	0.001500	0.003359	0.002890	0.003600	0.006077	0.001351	0.003037	0.005968	0.014105	0.011109	0.007769	0.002376	0.001885	0.007642	0.000052	0.001885	0.271143	0.054370	-101251.556
1070	0.004577	0.001982	0.003032	0.001645	0.007880	0.005903	0.002918	0.004425	0.006632	0.014105	0.011326	0.007769	0.002913	0.002835	0.007642	0.000052	0.002835	0.576368	0.156195	-97441.151
1080	0.008323	0.002329	0.002078	0.001510	0.004894	0.004621	0.002047	0.003051	0.001340	0.010880	0.007891	0.005993	0.002224	0.002075	0.005840	0.000105	0.002075	0.391925	0.322183	-98927.689
1090	0.012532	0.001939	0.001944	0.002514	0.002685	0.004254	0.006182	0.003421	0.009034	0.010179	0.007383	0.005607	0.002081	0.002028	0.005381	0.001686	0.002028	0.357283	0.331337	-103149.328
1100	0.006359	0.001205	0.002061	0.001919	0.005403	0.004117	0.012599	0.006859	0.023256	0.007376	0.005564	0.003916	0.001508	0.000752	0.002769	0.000925	0.000752	0.421331	0.356963	-98799.969
1110	0.004005	0.002874	0.002618	0.001708	0.002331	0.011299	0.007209	0.001756	0.003021	0.004645	0.003504	0.002103	0.000828	0.000737	0.001586	0.000476	0.000737	0.265059	0.415953	-106347.408
1120	0.006040	0.002872	0.001809	0.002218	0.003233	0.004262	0.005629	0.013862	0.002427	0.004906	0.003765	0.002581	0.001002	0.000679	0.002323	0.000500	0.000679	0.470544	0.270829	-107882.862
1130	0.002716	0.002177	0.002556	0.006165	0.002884	0.006456	0.004393	0.002975	0.004046	0.005129	0.004441	0.002606	0.001019	0.000153	0.002220	0.000570	0.000153	0.582179	0.278405	-104281.779
1140	0.002933	0.005913	0.001731	0.009488	0.003016	0.017788	0.005148	0.004558	0.003630	0.006857	0.005953	0.003484	0.001482	0.000691	0.002968	0.000611	0.000691	0.321109	0.133782	-106603.243
1150	0.001835	0.006365	0.000810	0.013104	0.005057	0.021025	0.005542	0.007846	0.006177	0.004157	0.004098	0.002112	0.000478	0.000214	0.001374	0.000271	0.000214	0.485136	0.139983	-103803.078
1160	0.003226	0.005138	0.001641	0.006636	0.003395	0.011386	0.006534	0.001735	0.003061	0.007309	0.007205	0.003482	0.000840	0.000759	0.002991	0.000569	0.000759	0.395022	0.238098	-111244.851
1170	0.003539	0.004570	0.003243	0.002723	0.006979	0.012476	0.002316	0.003153	0.003787	0.008387	0.007703	0.003996	0.000964	0.000247	0.003379	0.000896	0.000247	0.218484	0.428569	-104937.872
1180	0.003395	0.004465	0.002655	0.002100	0.004494	0.041759	0.002549	0.003058	0.006136	0.006292	0.005778	0.003099	0.000723	0.000112	0.000879	0.000359	0.000112	0.127872	0.447164	-105040.724
1190	0.003454	0.004361	0.001301	0.001992	0.004665	0.006500	0.006647	0.002635	0.007878	0.005967	0.005415	0.004684	0.000686	0.000213	0.003236	0.000243	0.000213	0.097578	0.464559	-106948.096
1200	0.002056	0.008121	0.001986	0.001629	0.007820	0.013782	0.003238	0.005593	0.002608	0.003747	0.003174	0.002585	0.000431	0.000098	0.000949	0.000327	0.000098	0.445507	0.315274	-106973.537
1210	0.001711	0.004492	0.001981	0.002985	0.008096	0.002466	0.001817	0.003862	0.003550	0.003118	0.002962	0.001926	0.000358	0.000076	0.000915	0.000272	0.000076	0.656268	0.431486	-108156.271
1220	0.003066	0.003397	0.004892	0.004988	0.006705	0.009681	0.003843	0.003187	0.002803	0.005589	0.005361	0.003327	0.000642	0.000151	0.000991	0.000191	0.000151	0.916213	0.612589	-110999.999
1230	0.002747	0.004203	0.004383	0.006556	0.009786	0.005104	0.003349	0.006389	0.006760	0.005008	0.004409	0.002980	0.000577	0.000122	0.001716	0.000113	0.000122	0.980545	0.636051	-107623.751
1240	0.003170	0.002053	0.005288	0.003860	0.002638	0.006553	0.003040	0.001955	0.004950	0.005008	0.004683	0.003339	0.000773	0.000509	0.001571	0.000533	0.000509	0.687844	0.469970	-109124.709
1250	0.002887	0.014755	0.007480	0.004860	0.002134	0.002091	0.003894	0.001501	0.002815	0.005037	0.004799	0.002401	0.000777	0.000203	0.002392	0.000690	0.000203	0.349869	0.711183	-106426.971
1260	0.003572	0.009369	0.010829	0.011282	0.002348	0.002312	0.001661	0.002342	0.003515	0.006233	0.005908	0.002971	0.000679	0.000226	0.002875	0.000309	0.000226	0.252675	0.824842	-103563.333
1270	0.003209	0.006303	0.007697	0.016337	0.004039	0.011105	0.003674	0.002220	0.001683	0.004826	0.004621	0.002332	0.000526	0.000329	0.002154	0.000230	0.000329	0.612034	0.701679	-103240.651
1280	0.002074	0.005502	0.002603	0.007556	0.005348	0.004226	0.007412	0.009482	0.002861	0.003119	0.002850	0.002297	0.000340	0.000092	0.001575	0.000180	0.000092	0.194829	0.505393	-111930.403
1290	0.002323	0.017508	0.003526	0.003591	0.007086	0.003253	0.004358	0.002444	0.008712	0.003154	0.002501	0.002189	0.000331	0.000276	0.001575	0.000163	0.000276	0.520052	0.872029	-105047.300
1300	0.001938	0.002931	0.001226	0.002550	0.006161	0.002910	0.011469	0.002751	0.002099	0.002422	0.002307	0.002092	0.000255	0.000126	0.001057	0.000237	0.000126	0.244033	0.745844	-115780.226
1310	0.001916	0.003479	0.004533	0.002199	0.002971	0.007748	0.016185	0.003498	0.005161	0.002395	0.002158	0.001724	0.000252	0.000134	0.000757	0.000236	0.000134	0.071617	0.418650	-111863.157
1320	0.002169	0.001545	0.003473	0.002195	0.003179	0.001982	0.003243	0.002392	0.005043	0.002727	0.002675	0.001844	0.000287	0.000224	0.001244	0.000189	0.000224	0.064058	0.562742	-108633.397
1330	0.003013	0.013409	0.004145	0.007735	0.001785	0.004148	0.004022	0.003301	0.008297	0.004319	0.004236	0.003609	0.000409	0.000076	0.001501	0.000205	0.000076	0.055347	0.246644	-106958.925
