Gen	theta_6PmunDintDludDcelDgol	theta_7DintDludDcelDgol	theta_8DludDcelDgol	theta_9DcelDgol	tau_6PmunDintDludDcelDgol	tau_7DintDludDcelDgol	tau_8DludDcelDgol	tau_9DcelDgol	lnL
10	0.001375	0.002076	0.001559	0.003125	0.089549	0.040981	0.025565	0.006679	-83515.235
20	0.001945	0.003146	0.001329	0.001826	0.103124	0.033629	0.019296	0.012684	-83501.762
30	0.003157	0.003440	0.001543	0.002905	0.092647	0.028392	0.012898	0.009300	-81824.339
40	0.003426	0.004381	0.002601	0.012528	0.119297	0.035506	0.014307	0.006969	-82565.778
50	0.007079	0.003232	0.008399	0.005698	0.082147	0.029258	0.011021	0.010324	-84295.690
60	0.003180	0.004881	0.005159	0.003890	0.053215	0.026675	0.008796	0.007800	-82768.356
70	0.002496	0.006436	0.006904	0.003803	0.075283	0.051699	0.012176	0.010138	-82824.989
80	0.001498	0.004036	0.006624	0.003849	0.066801	0.050075	0.009471	0.007186	-84078.537
90	0.002516	0.008038	0.004320	0.008788	0.068691	0.040295	0.009821	0.007328	-83447.408
100	0.003022	0.006702	0.005541	0.004547	0.074911	0.055316	0.012597	0.010024	-83355.286
110	0.001445	0.005952	0.003503	0.006058	0.068140	0.046734	0.012505	0.008921	-83080.820
120	0.001391	0.010244	0.003042	0.006360	0.065589	0.050013	0.012037	0.008171	-83605.852
130	0.001695	0.013951	0.002709	0.003738	0.079940	0.052378	0.014671	0.013701	-84558.324
140	0.001365	0.018766	0.006516	0.002783	0.086229	0.050230	0.016458	0.015370	-83554.041
150	0.001228	0.013352	0.005572	0.002567	0.090309	0.051079	0.016458	0.013872	-84108.881
160	0.001437	0.006558	0.005228	0.002043	0.071416	0.048514	0.013163	0.006747	-84811.190
170	0.001590	0.009692	0.002952	0.004070	0.082555	0.049146	0.020818	0.009892	-84087.141
180	0.001628	0.009492	0.003406	0.004800	0.082836	0.045191	0.022323	0.009848	-83293.716
190	0.001383	0.007652	0.001687	0.003922	0.079673	0.037549	0.019658	0.009885	-85036.331
200	0.002179	0.010535	0.001533	0.007128	0.082345	0.031590	0.017863	0.009255	-82766.014
210	0.002892	0.006609	0.001667	0.005635	0.083291	0.034341	0.019419	0.013992	-82884.065
220	0.003376	0.010855	0.002770	0.007962	0.105746	0.039019	0.019988	0.014790	-83870.217
230	0.002715	0.002159	0.006250	0.014134	0.087639	0.055296	0.018036	0.007751	-83053.207
240	0.002251	0.003412	0.006117	0.011032	0.126053	0.057232	0.022038	0.017483	-83499.370
250	0.001328	0.003064	0.003923	0.005539	0.084628	0.037010	0.014134	0.012800	-82511.613
260	0.001819	0.002517	0.004075	0.007948	0.101726	0.043058	0.022038	0.007912	-82112.225
270	0.001423	0.003304	0.003501	0.004047	0.093638	0.038118	0.015362	0.008036	-82603.643
280	0.001862	0.001383	0.002489	0.001723	0.095203	0.033308	0.015276	0.010603	-84961.162
290	0.001819	0.002176	0.002282	0.001591	0.083383	0.026470	0.014002	0.007690	-85302.650
300	0.003641	0.002203	0.004057	0.005064	0.122723	0.054190	0.021811	0.005861	-82563.859
310	0.003303	0.001675	0.005013	0.005430	0.104878	0.062640	0.021453	0.014555	-83221.665
320	0.003378	0.003868	0.004411	0.011080	0.122925	0.062165	0.027140	0.016119	-82932.739
330	0.001350	0.002772	0.002278	0.006067	0.108452	0.060143	0.027977	0.024197	-85809.445
340	0.001368	0.001556	0.002326	0.004398	0.106882	0.066867	0.028575	0.022093	-83836.444
350	0.001761	0.002014	0.003102	0.002810	0.084734	0.047726	0.022919	0.018024	-83376.063
360	0.002182	0.002069	0.009111	0.002629	0.082121	0.037590	0.022032	0.019118	-83883.843
370	0.001792	0.003115	0.004539	0.010195	0.080083	0.031194	0.022258	0.010955	-83553.624
380	0.001810	0.002689	0.003924	0.012669	0.056623	0.020718	0.017648	0.002842	-82984.881
390	0.002929	0.002617	0.005966	0.006628	0.094009	0.031125	0.026513	0.011010	-82521.403
